operator_label,row_count,zero_energy_abstain_count,active_count,beneficial_active_count,harmful_active_count,numerical_gray_active_count,abstain_count,energy_auc_beneficial_vs_all_nonbeneficial,energy_auc_beneficial_vs_harmful_only,pearson_energy_G1_active,pearson_energy_abs_G1_active,max_active_energy,max_energy_active_count,max_energy_harmful_rate,max_energy_beneficial_rate,image_count
D_ref,1088675,584680,503995,293415,210558,22,584702,0.8893952392817961,0.5822604964580304,0.2272781942671312,0.4870668603360971,2.189333099522628e-05,87510,0.295326248428751,0.704673751571249,1200
D_rep,1088675,584680,503995,293232,210755,8,584688,0.8895895639944317,0.583284059294952,0.2295866068499404,0.4902496620279128,2.189333099522628e-05,87673,0.30127861485291935,0.6987213851470806,1200
