operator_label,config,eligible_row_count,weighted_auc,weighted_logloss,weighted_brier,weighted_prevalence
D_ref,full_signed_features,503973,0.6268853545188904,0.6591508388519287,0.23374062776565552,0.5641463398933411
D_ref,energy_only,503973,0.5765241980552673,0.6756142973899841,0.24137815833091736,0.5641463398933411
D_ref,unsigned_magnitude_only,503973,0.6257762908935547,0.6591755151748657,0.23380199074745178,0.5641463398933411
D_ref,within_image_shuffled_label,503973,0.6195768117904663,0.664612889289856,0.23615296185016632,0.5641463398933411
D_ref,metadata_only_nondeployable_control,503973,0.5407854318618774,0.6821621656417847,0.24452431499958038,0.5641463398933411
D_rep,full_signed_features,503987,0.6328741312026978,0.6570163369178772,0.23269839584827423,0.5618536472320557
D_rep,energy_only,503987,0.5810056328773499,0.6751990914344788,0.24117456376552582,0.5618536472320557
D_rep,unsigned_magnitude_only,503987,0.6321232318878174,0.6572037935256958,0.2328149825334549,0.5618536472320557
D_rep,within_image_shuffled_label,503987,0.6243194937705994,0.6632946133613586,0.23549330234527588,0.5618536472320557
D_rep,metadata_only_nondeployable_control,503987,0.5436452031135559,0.6824010014533997,0.24463875591754913,0.5618536472320557
