operator_label,config,outer_fold,row_count,weighted_auc,weighted_logloss,weighted_brier,weighted_prevalence
D_ref,full_signed_features,0,2295,0.7228083610534668,0.6271091103553772,0.21920567750930786,0.5629295110702515
D_ref,full_signed_features,1,2032,0.5268743634223938,0.8188058733940125,0.3029111325740814,0.42646026611328125
D_ref,full_signed_features,2,3507,0.6121699213981628,0.5882328748703003,0.20138433575630188,0.7490034103393555
D_ref,full_signed_features,3,2801,0.5741761922836304,0.6381517648696899,0.2253696471452713,0.6932476758956909
D_ref,full_signed_features,4,3516,0.655340313911438,0.6165601015090942,0.21528612077236176,0.6331171989440918
D_ref,energy_only,0,2295,0.7122892737388611,0.6645685434341431,0.23628167808055878,0.5629295110702515
D_ref,energy_only,1,2032,0.4917786717414856,0.8044902086257935,0.301719069480896,0.42646026611328125
D_ref,energy_only,2,3507,0.6253582239151001,0.5926738381385803,0.20098812878131866,0.7490034103393555
D_ref,energy_only,3,2801,0.5149274468421936,0.6469398736953735,0.2273550033569336,0.6932476758956909
D_ref,energy_only,4,3516,0.5740662217140198,0.6489890217781067,0.22830143570899963,0.6331171989440918
D_ref,unsigned_magnitude_only,0,2295,0.7242532968521118,0.6261041760444641,0.2187206894159317,0.5629295110702515
D_ref,unsigned_magnitude_only,1,2032,0.5279489755630493,0.819492518901825,0.3033716082572937,0.42646026611328125
D_ref,unsigned_magnitude_only,2,3507,0.613426685333252,0.5876188278198242,0.20112261176109314,0.7490034103393555
D_ref,unsigned_magnitude_only,3,2801,0.5723406672477722,0.6397328972816467,0.2260572910308838,0.6932476758956909
D_ref,unsigned_magnitude_only,4,3516,0.6585759520530701,0.6152510046958923,0.21466681361198425,0.6331171989440918
D_ref,within_image_shuffled_label,0,2295,0.662590503692627,0.6697793006896973,0.23907382786273956,0.5629295110702515
D_ref,within_image_shuffled_label,1,2032,0.5335929989814758,0.7903844714164734,0.294916033744812,0.42646026611328125
D_ref,within_image_shuffled_label,2,3507,0.5789019465446472,0.5893545150756836,0.20131023228168488,0.7490034103393555
D_ref,within_image_shuffled_label,3,2801,0.5548794269561768,0.6265895962715149,0.2190861999988556,0.6932476758956909
D_ref,within_image_shuffled_label,4,3516,0.6182808876037598,0.6352367401123047,0.22245700657367706,0.6331171989440918
D_ref,metadata_only_nondeployable_control,0,2295,0.5894573330879211,0.6821739077568054,0.24453771114349365,0.5629295110702515
D_ref,metadata_only_nondeployable_control,1,2032,0.46406713128089905,0.7984947562217712,0.29948699474334717,0.42646026611328125
D_ref,metadata_only_nondeployable_control,2,3507,0.5213516354560852,0.6166869401931763,0.21229584515094757,0.7490034103393555
D_ref,metadata_only_nondeployable_control,3,2801,0.5313007831573486,0.6212044358253479,0.2148733288049698,0.6932476758956909
D_ref,metadata_only_nondeployable_control,4,3516,0.563464343547821,0.6968168020248413,0.24803996086120605,0.6331171989440918
D_rep,full_signed_features,0,2295,0.6906397938728333,0.6482964158058167,0.2286270409822464,0.5649358630180359
D_rep,full_signed_features,1,2032,0.5324496030807495,0.8391368985176086,0.31181269884109497,0.4112720489501953
D_rep,full_signed_features,2,3507,0.6190282106399536,0.5752407908439636,0.19555379450321198,0.7566694021224976
D_rep,full_signed_features,3,2801,0.5706473588943481,0.6379088759422302,0.2249770313501358,0.6921682953834534
D_rep,full_signed_features,4,3516,0.6580491662025452,0.6234031915664673,0.21801713109016418,0.6340699791908264
D_rep,energy_only,0,2295,0.7038965225219727,0.6613169312477112,0.23469267785549164,0.5649358630180359
D_rep,energy_only,1,2032,0.5116734504699707,0.8120114207267761,0.30541855096817017,0.4112720489501953
D_rep,energy_only,2,3507,0.6157302856445312,0.5900171995162964,0.19970810413360596,0.7566694021224976
D_rep,energy_only,3,2801,0.5209890007972717,0.6449211835861206,0.2263922393321991,0.6921682953834534
D_rep,energy_only,4,3516,0.5675387978553772,0.650030255317688,0.22881439328193665,0.6340699791908264
D_rep,unsigned_magnitude_only,0,2295,0.6916325688362122,0.6477562189102173,0.22828610241413116,0.5649358630180359
D_rep,unsigned_magnitude_only,1,2032,0.5334323644638062,0.8325832486152649,0.30935782194137573,0.4112720489501953
D_rep,unsigned_magnitude_only,2,3507,0.6218281984329224,0.5764831900596619,0.19606877863407135,0.7566694021224976
D_rep,unsigned_magnitude_only,3,2801,0.5701737999916077,0.639253556728363,0.2255076915025711,0.6921682953834534
D_rep,unsigned_magnitude_only,4,3516,0.651533842086792,0.6217604279518127,0.2178259789943695,0.6340699791908264
D_rep,within_image_shuffled_label,0,2295,0.6771108508110046,0.6684594750404358,0.2385023832321167,0.5649358630180359
D_rep,within_image_shuffled_label,1,2032,0.527404248714447,0.8056938052177429,0.302084743976593,0.4112720489501953
D_rep,within_image_shuffled_label,2,3507,0.5834943652153015,0.589936375617981,0.20101334154605865,0.7566694021224976
D_rep,within_image_shuffled_label,3,2801,0.5525041222572327,0.6290400624275208,0.21997284889221191,0.6921682953834534
D_rep,within_image_shuffled_label,4,3516,0.644571840763092,0.6270690560340881,0.21913035213947296,0.6340699791908264
D_rep,metadata_only_nondeployable_control,0,2295,0.5840970277786255,0.6860112547874451,0.24644215404987335,0.5649358630180359
D_rep,metadata_only_nondeployable_control,1,2032,0.4818268120288849,0.8036355972290039,0.30237776041030884,0.4112720489501953
D_rep,metadata_only_nondeployable_control,2,3507,0.5251713395118713,0.6163939833641052,0.21211770176887512,0.7566694021224976
D_rep,metadata_only_nondeployable_control,3,2801,0.5211315155029297,0.6227219700813293,0.21558403968811035,0.6921682953834534
D_rep,metadata_only_nondeployable_control,4,3516,0.5518937706947327,0.6984266042709351,0.24851439893245697,0.6340699791908264
