operator_label,config,outer_fold,row_count,weighted_auc,weighted_logloss,weighted_brier,weighted_prevalence
D_ref,full_signed_features,0,101215,0.6097391843795776,0.6612882614135742,0.2347453385591507,0.5809977054595947
D_ref,full_signed_features,1,99254,0.6304029226303101,0.6602503657341003,0.23417526483535767,0.5670796036720276
D_ref,full_signed_features,2,102761,0.6536305546760559,0.6528543829917908,0.23080095648765564,0.5507159233093262
D_ref,full_signed_features,3,101476,0.602990984916687,0.6639173030853271,0.23601892590522766,0.5758503675460815
D_ref,full_signed_features,4,99267,0.6391210556030273,0.6574630737304688,0.23297227919101715,0.5461369752883911
D_ref,energy_only,0,101215,0.5587198734283447,0.6758297085762024,0.24147264659404755,0.5809977054595947
D_ref,energy_only,1,99254,0.5936750769615173,0.6715537905693054,0.23939666152000427,0.5670796036720276
D_ref,energy_only,2,102761,0.590770423412323,0.6764650940895081,0.241810604929924,0.5507159233093262
D_ref,energy_only,3,101476,0.5665847063064575,0.6753761172294617,0.24123705923557281,0.5758503675460815
D_ref,energy_only,4,99267,0.5834617018699646,0.6788461208343506,0.24297316372394562,0.5461369752883911
D_ref,unsigned_magnitude_only,0,101215,0.6098090410232544,0.6614557504653931,0.23484580218791962,0.5809977054595947
D_ref,unsigned_magnitude_only,1,99254,0.6275529861450195,0.6592550873756409,0.23388056457042694,0.5670796036720276
D_ref,unsigned_magnitude_only,2,102761,0.649985671043396,0.6538411974906921,0.23131678998470306,0.5507159233093262
D_ref,unsigned_magnitude_only,3,101476,0.6038762331008911,0.6638668775558472,0.23601561784744263,0.5758503675460815
D_ref,unsigned_magnitude_only,4,99267,0.6393089890480042,0.6574780941009521,0.23296038806438446,0.5461369752883911
D_ref,within_image_shuffled_label,0,101215,0.6003831624984741,0.6652542352676392,0.23644007742404938,0.5809977054595947
D_ref,within_image_shuffled_label,1,99254,0.6241055130958557,0.6636383533477783,0.23568327724933624,0.5670796036720276
D_ref,within_image_shuffled_label,2,102761,0.6470373272895813,0.6618620157241821,0.23483580350875854,0.5507159233093262
D_ref,within_image_shuffled_label,3,101476,0.6001668572425842,0.6659095287322998,0.23677809536457062,0.5758503675460815
D_ref,within_image_shuffled_label,4,99267,0.6300582885742188,0.6664060354232788,0.23703022301197052,0.5461369752883911
D_ref,metadata_only_nondeployable_control,0,101215,0.5290914177894592,0.678990364074707,0.24294516444206238,0.5809977054595947
D_ref,metadata_only_nondeployable_control,1,99254,0.5432673692703247,0.6816531419754028,0.24427315592765808,0.5670796036720276
D_ref,metadata_only_nondeployable_control,2,102761,0.546305239200592,0.6854277849197388,0.2461530566215515,0.5507159233093262
D_ref,metadata_only_nondeployable_control,3,101476,0.5359966158866882,0.6803964972496033,0.24365001916885376,0.5758503675460815
D_ref,metadata_only_nondeployable_control,4,99267,0.5550473928451538,0.6843356490135193,0.24559657275676727,0.5461369752883911
D_rep,full_signed_features,0,101215,0.619931697845459,0.6610807180404663,0.23454812169075012,0.5728443264961243
D_rep,full_signed_features,1,99268,0.635331928730011,0.6520683765411377,0.23045717179775238,0.5699431300163269
D_rep,full_signed_features,2,102765,0.6538192629814148,0.6504082679748535,0.22965630888938904,0.5552972555160522
D_rep,full_signed_features,3,101473,0.6110767126083374,0.6635552048683167,0.23575010895729065,0.5716556906700134
D_rep,full_signed_features,4,99266,0.6439778208732605,0.6579960584640503,0.23309263586997986,0.5395680665969849
D_rep,energy_only,0,101215,0.570615291595459,0.6756535172462463,0.24138592183589935,0.5728443264961243
D_rep,energy_only,1,99268,0.5883350372314453,0.6717938780784607,0.23951856791973114,0.5699431300163269
D_rep,energy_only,2,102765,0.5899724364280701,0.6752970814704895,0.24123874306678772,0.5552972555160522
D_rep,energy_only,3,101473,0.5704129338264465,0.6756263375282288,0.24136103689670563,0.5716556906700134
D_rep,energy_only,4,99266,0.5946318507194519,0.6776269674301147,0.24236932396888733,0.5395680665969849
D_rep,unsigned_magnitude_only,0,101215,0.6187910437583923,0.6613543033599854,0.23472493886947632,0.5728443264961243
D_rep,unsigned_magnitude_only,1,99268,0.6346977949142456,0.6526052951812744,0.23071691393852234,0.5699431300163269
D_rep,unsigned_magnitude_only,2,102765,0.6538694500923157,0.6501165628433228,0.229542076587677,0.5552972555160522
D_rep,unsigned_magnitude_only,3,101473,0.6096935868263245,0.6644391417503357,0.2361503392457962,0.5716556906700134
D_rep,unsigned_magnitude_only,4,99266,0.6439720392227173,0.6575337648391724,0.23295442759990692,0.5395680665969849
D_rep,within_image_shuffled_label,0,101215,0.608752965927124,0.6652365922927856,0.23643268644809723,0.5728443264961243
D_rep,within_image_shuffled_label,1,99268,0.6319979429244995,0.6590948700904846,0.23343105614185333,0.5699431300163269
D_rep,within_image_shuffled_label,2,102765,0.6448105573654175,0.6599912643432617,0.23391303420066833,0.5552972555160522
D_rep,within_image_shuffled_label,3,101473,0.6051648259162903,0.666102945804596,0.2368495762348175,0.5716556906700134
D_rep,within_image_shuffled_label,4,99266,0.6328060030937195,0.6660584211349487,0.23684559762477875,0.5395680665969849
D_rep,metadata_only_nondeployable_control,0,101215,0.5284196138381958,0.6818723678588867,0.24436059594154358,0.5728443264961243
D_rep,metadata_only_nondeployable_control,1,99268,0.5505027770996094,0.6794552206993103,0.2431807816028595,0.5699431300163269
D_rep,metadata_only_nondeployable_control,2,102765,0.5473788380622864,0.6836258769035339,0.24525579810142517,0.5552972555160522
D_rep,metadata_only_nondeployable_control,3,101473,0.5327072143554688,0.6819425821304321,0.24441298842430115,0.5716556906700134
D_rep,metadata_only_nondeployable_control,4,99266,0.5618762373924255,0.685106635093689,0.2459825873374939,0.5395680665969849
