metric,count,mean,stdev,ci95_half_width,min,max
regular_mean_psnr_delta,10,-0.053994585037231445,0.012803283954241223,0.007935557609756701,-0.07625626881917318,-0.02925928751627604
regular_easy_top25_psnr_delta,10,-0.044413101196289065,0.014704751405832509,0.009114099346322766,-0.07175582885742188,-0.02036259969075521
regular_mean_ssim_delta,10,-9.612741072972616e-05,1.3087144635664682e-05,8.111496282883953e-06,-0.00010910292466481527,-6.654977798461914e-05
regular_worst_count_delta_le_-0p20,10,85.2,3.794733192202055,2.352,79.0,92.0
regular_strong_regression_ratio,10,0.508,0.026997942308422115,0.01673349800715784,0.44,0.5333333333333333
hard_mean_psnr_delta,10,-0.09085075950622559,0.02314205925143472,0.014343596928296575,-0.12915109634399413,-0.04635128657023112
hard_hard_bottom25_psnr_delta,10,-0.12387020619710286,0.023167258153219888,0.014359215369435073,-0.1565856679280599,-0.08009468078613281
hard_mean_ssim_delta,10,-0.0001368999679883321,2.5444031560264885e-05,1.5770374147178384e-05,-0.00016187469164530437,-8.234858512878418e-05
hard_worst_count_delta_le_-0p20,10,85.7,10.252912865240893,6.354821231859231,69.0,107.0
hard_strong_regression_ratio,10,0.532,0.03742317232892603,0.02319512251836527,0.48,0.5866666666666667
