low_size,K,fold,valid_count,coeff_mse,coeff_r2,coeff_corr,lowspace_weighted_field_l1
32,4,0,10,0.6409580707550049,-4.883305598452126,0.7217839360237122,0.02485959900666373
32,4,1,10,0.1281234323978424,0.08683919920016026,0.811320424079895,0.009382702143086523
32,4,2,9,0.33857324719429016,-2.692378620628911,0.1986180692911148,0.015772636516749892
32,4,3,9,0.21658574044704437,-0.4685962110463626,0.5861790776252747,0.012672186701208116
32,4,4,9,0.5331367254257202,-4.563031871183678,0.6900162696838379,0.020923037114274363
32,4,mean,47,0.3714754432439804,-2.5040946204221832,0.6015835553407669,0.016722032296396527
32,8,0,10,0.3852314352989197,-4.936058733183427,0.6340498924255371,0.02627802715272258
32,8,1,10,0.07978025078773499,-0.04770147849457107,0.7871619462966919,0.009495975287284473
32,8,2,9,0.20419803261756897,-2.4019549296452976,0.2885178327560425,0.015428575062269254
32,8,3,9,0.13791246712207794,-0.563916473841658,0.5303637981414795,0.012890377331102968
32,8,4,9,0.32242417335510254,-4.971872128777593,0.6650291085243225,0.022717811981463186
32,8,mean,47,0.22590927183628082,-2.5843007487885092,0.5810245156288147,0.017362153362968494
