low_size,K,index,name,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,target_abs_mean,projection_abs_mean,residual_abs_mean,projection_weighted_l1,group
32,4,0,1000_0.74_1.6.png,36.89458465576172,37.990272521972656,38.789039611816406,1.0956878662109375,1.8944549560546875,0.4761487543582916,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.01017309445887804,0.0062446920201182365,0.0062400744252942815,middle
32,4,1,1001_0.89_1.66.png,35.02743911743164,36.00202941894531,36.463478088378906,0.9745903015136719,1.4360389709472656,0.664504885673523,1.0,0.9999926090240479,0.15698379278182983,0.013404681347310543,0.01233460009098053,0.007374534383416176,0.007411830416735571,middle
32,4,2,1002_0.73_1.47.png,33.70071029663086,33.984405517578125,34.3560905456543,0.2836952209472656,0.6553802490234375,0.7128396034240723,1.0,0.9999188184738159,0.08550451695919037,0.014679329469799995,0.009290548972785473,0.010524077340960503,0.010478045354510615,open_hard
32,4,3,1003_0.9_1.06.png,38.71543502807617,39.0676383972168,39.21985626220703,0.352203369140625,0.5044212341308594,0.5789196491241455,1.0,0.9999078512191772,0.05866250395774841,0.009056659415364265,0.00869784690439701,0.005488742142915726,0.0054793698079156836,middle
32,4,4,1004_0.91_1.17.png,37.05818557739258,37.537818908691406,37.72386169433594,0.4796333312988281,0.6656761169433594,0.5738269686698914,1.0,0.9999440908432007,0.07627230137586594,0.01114090345799923,0.010772643610835075,0.006098499987274408,0.006086053482908217,middle
32,4,5,1005_0.74_1.81.png,38.33662796020508,38.65494155883789,39.121376037597656,0.3183135986328125,0.7847480773925781,0.6143404841423035,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.0053543164394795895,0.006168097723275423,0.00615991499597169,middle
32,4,6,1006_0.89_1.55.png,37.09894561767578,37.54551696777344,38.48366165161133,0.44657135009765625,1.3847160339355469,0.5962947607040405,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.005372978746891022,0.007259102072566748,0.0072526340786681215,middle
32,4,7,1007_0.68_1.25.png,38.79450607299805,38.87355041503906,38.94744873046875,0.07904434204101562,0.15294265747070312,0.561126172542572,1.0,0.9970719814300537,0.02106962539255619,0.007698973640799522,0.00592590868473053,0.005898547358810902,0.0058961125174691,middle
32,4,8,1008_0.52_1.98.png,39.02428436279297,39.03898239135742,39.0996208190918,0.014698028564453125,0.07533645629882812,0.3171454966068268,1.0,0.997860848903656,0.01296052522957325,0.00647794408723712,0.0038178798276931047,0.00643993029370904,0.006440115271975295,middle
32,4,9,1009_0.84_0.56.png,44.44461441040039,44.44461441040039,44.44461441040039,0.0,0.0,,0.0,8.601648005424067e-05,4.93106635985896e-05,0.004470694810152054,0.005078671500086784,0.00782853178679943,0.0,closed_easy
32,4,10,100_0.65_1.43.png,36.16236114501953,36.54248046875,37.09977722167969,0.38011932373046875,0.9374160766601562,0.6204296946525574,1.0,0.9997609257698059,0.11936704814434052,0.0106405820697546,0.007616969756782055,0.007915636524558067,0.00783539236972028,middle
32,4,11,1010_0.91_1.13.png,39.185401916503906,39.22535705566406,39.29069900512695,0.03995513916015625,0.10529708862304688,0.037567488849163055,1.0,0.9999287128448486,0.01370201725512743,0.007629727479070425,0.007425416260957718,0.007607376202940941,0.007470043862003346,middle
32,4,12,1011_0.79_0.66.png,43.748023986816406,43.748023986816406,43.748023986816406,0.0,0.0,,0.0,0.0007819355232641101,9.821240382734686e-05,0.005071797873824835,0.005078671500086784,0.008508727885782719,0.0,closed_easy
32,4,13,1012_0.85_1.28.png,38.438724517822266,38.49839782714844,38.60681915283203,0.059673309326171875,0.16809463500976562,0.03608201816678047,1.0,0.999962568283081,0.02146560698747635,0.008506431244313717,0.007884942926466465,0.008457057178020477,0.00832479204726667,middle
32,4,14,1013_0.63_1.83.png,39.83412170410156,40.26527786254883,40.726287841796875,0.4311561584472656,0.8921661376953125,0.7297976016998291,1.0,0.9999841451644897,0.11482831835746765,0.006926377769559622,0.005090473685413599,0.004925003740936518,0.00491425439706185,open_easy
32,4,15,1014_0.74_1.61.png,40.047698974609375,40.505279541015625,40.91287612915039,0.45758056640625,0.8651771545410156,0.73028963804245,1.0,0.9999018907546997,0.11008141934871674,0.00640513701364398,0.004860186483711004,0.004584212321788073,0.004599165554985084,open_easy
32,4,16,1015_0.7_1.92.png,39.555458068847656,40.1264533996582,40.884544372558594,0.5709953308105469,1.3290863037109375,0.6987872123718262,1.0,0.999993085861206,0.16993017494678497,0.00713506992906332,0.004862988367676735,0.005322279874235392,0.005314482736595243,open_easy
32,4,17,1016_0.8_1.72.png,39.64141082763672,40.21262741088867,40.935420989990234,0.5712165832519531,1.2940101623535156,0.6847329139709473,1.0,0.9999897480010986,0.16453078389167786,0.006814457476139069,0.005038421601057053,0.005151957273483276,0.0051752020423450045,open_easy
