ACTION_AGNOSTIC_auroc,ACTION_AGNOSTIC_retained_severe_prevalence_ratio,ACTION_AGNOSTIC_severe_capture_at_20pct,ACTION_CONDITIONED_auroc,ACTION_CONDITIONED_retained_severe_prevalence_ratio,ACTION_CONDITIONED_severe_capture_at_20pct,LABEL_SHUFFLE_auroc,LABEL_SHUFFLE_retained_severe_prevalence_ratio,LABEL_SHUFFLE_severe_capture_at_20pct,SIGN_SWAP_auroc,SIGN_SWAP_retained_severe_prevalence_ratio,SIGN_SWAP_severe_capture_at_20pct,cell,converged,final_loss,fold,initial_loss,iterations,primary_minus_ACTION_AGNOSTIC_auroc,primary_minus_LABEL_SHUFFLE_auroc,primary_minus_SIGN_SWAP_auroc,test_fold
0.7066217250681383,0.6813203047165091,0.45494375622679284,0.7085414316110463,0.7349443618539853,0.4120445105168116,0.6225484718140193,0.8762746048048917,0.29898031615608667,0.6283813493741781,0.8674272402834154,0.30605820777326764,,,,0,,,0.0019197065429080729,0.08599295979702704,0.08016008223686821,
0.702898830649113,0.7309898594981601,0.4152081124014719,0.7356399580210343,0.6560709746167026,0.47514322030663786,0.6143856378989173,0.8620106024560337,0.3103915180351731,0.6598778602169613,0.8077062011418673,0.3538350390865062,,,,1,,,0.032741127371921364,0.12125432012211701,0.07576209780407306,
,,,,,,,,,,,,ACTION_CONDITIONED,True,0.5835094460891029,,0.6931471805599454,12,,,,0
,,,,,,,,,,,,ACTION_AGNOSTIC,True,0.6333987727421089,,0.6931471805599454,22,,,,0
,,,,,,,,,,,,SIGN_SWAP,True,0.6264982927615604,,0.6931471805599454,15,,,,0
,,,,,,,,,,,,LABEL_SHUFFLE,True,0.6846006844399148,,0.6931471805599454,10,,,,0
,,,,,,,,,,,,ACTION_CONDITIONED,True,0.5897117703204614,,0.6931471805599454,12,,,,1
,,,,,,,,,,,,ACTION_AGNOSTIC,True,0.6530176408007401,,0.6931471805599454,22,,,,1
,,,,,,,,,,,,SIGN_SWAP,True,0.6192893886499146,,0.6931471805599454,15,,,,1
,,,,,,,,,,,,LABEL_SHUFFLE,True,0.67758466705248,,0.6931471805599454,10,,,,1
