auroc,cell,reject_fraction,retained_severe_prevalence_ratio,severe_capture_at_20pct
0.7221272157411213,ACTION_CONDITIONED,0.05,0.8893736431308776,0.1550950390256662
0.7221272157411213,ACTION_CONDITIONED,0.1,0.8078212028815303,0.27296091740662276
0.7221272157411213,ACTION_CONDITIONED,0.2,0.6954013698697952,0.4436789041041639
0.7221272157411213,ACTION_CONDITIONED,0.3,0.6245650640678005,0.5628044551525396
0.7047552604807024,ACTION_AGNOSTIC,0.05,0.8805154018047539,0.1635103682854839
0.7047552604807024,ACTION_AGNOSTIC,0.1,0.8032243482246773,0.27709808659779045
0.7047552604807024,ACTION_AGNOSTIC,0.2,0.7062220222081185,0.4350223822335052
0.7047552604807024,ACTION_AGNOSTIC,0.3,0.634191013184743,0.5560662907706798
0.6441720529233902,SIGN_SWAP,0.05,0.9305546975782636,0.11597303730064963
0.6441720529233902,SIGN_SWAP,0.1,0.8934308196588459,0.19591226230703876
0.6441720529233902,SIGN_SWAP,0.2,0.8374862341369789,0.3300110126904169
0.6441720529233902,SIGN_SWAP,0.3,0.80068115431016,0.4395231919828881
0.6184560537325935,LABEL_SHUFFLE,0.05,0.9516858041275801,0.09589848607879906
0.6184560537325935,LABEL_SHUFFLE,0.1,0.9191264736977482,0.17278617367202662
0.6184560537325935,LABEL_SHUFFLE,0.2,0.8691233799076205,0.30470129607390356
0.6184560537325935,LABEL_SHUFFLE,0.3,0.8346313957846792,0.4157580229507245
