step,weighted_target_l1,corr,mean_output_gain
0,0.011214221584799912,,0.0
50,0.005663257899290279,0.8333257362246513,0.4350188970565796
100,0.0037280953371603347,0.9096248261630535,0.6485152244567871
150,0.003234747314098696,0.9345970265567303,0.6932253837585449
200,0.0026512350120002194,0.9430420603603125,0.7029721736907959
250,0.003164120972296862,0.940491545945406,0.7307015657424927
300,0.003625299490736421,0.9313902519643307,0.7707271575927734
350,0.003519410008684575,0.9267383385449648,0.7718122005462646
400,0.002975306012945109,0.9461319576948881,0.7379955053329468
450,0.0026831863801098014,0.9416708145290613,0.7325756549835205
500,0.0034086295724208393,0.9410160928964615,0.7655584812164307
550,0.0035116568116783714,0.9319838788360357,0.7924422025680542
600,0.003267430472437867,0.9353080745786428,0.7692830562591553
650,0.0027429101073215925,0.9423228539526463,0.7358618974685669
700,0.003128021025115279,0.9390864316374063,0.745647668838501
750,0.003615659638625705,0.9409718569368124,0.7875452041625977
800,0.0034863796663589996,0.9308836832642555,0.7925653457641602
