phase,fold,step,loss,train_auc
fold,0,200,0.02396349608898163,0.9999368261455526
fold,0,400,0.006758290808647871,1.0
fold,0,600,0.002913669217377901,1.0
fold,0,800,0.0016333697130903602,1.0
fold,1,200,0.02519560605287552,0.9999460549770147
fold,1,400,0.007874278351664543,0.9999929636926541
fold,1,600,0.003736756043508649,1.0
fold,1,800,0.0021266681142151356,1.0
fold,2,200,0.023700853809714317,0.9999718659883244
fold,2,400,0.007461068220436573,0.9999976554990271
fold,2,600,0.0033184224739670753,1.0
fold,2,800,0.0018627360695973039,1.0
fold,3,200,0.024602040648460388,0.9999255650850626
fold,3,400,0.007865030318498611,0.9999976369868274
fold,3,600,0.003533054841682315,1.0
fold,3,800,0.0018973121186718345,1.0
fold,4,200,0.025734294205904007,0.9998154565639648
fold,4,400,0.007875153794884682,0.9999988320035694
fold,4,600,0.0034685195423662663,1.0
fold,4,800,0.0020290142856538296,1.0
final,,200,0.0252226609736681,0.9998829176911369
final,,400,0.00814428273588419,0.9999977484171373
final,,600,0.0034103405196219683,1.0
final,,800,0.0018902707379311323,1.0
