count,coverage,cvar5_gain_db,hard_count,mean_gain_db,operator,p10_gain_db,severe_count
39,0.05,-0.15367794036865234,0,0.0387116945706881,D_ref,-0.009412765502929684,0
77,0.1,-0.08638477325439453,0,0.026842810890891335,D_ref,-0.0003364562988281249,0
154,0.2,-0.044860124588012695,0,0.020227704729352678,D_ref,0.0,0
308,0.4,-0.08529651165008545,0,0.022894388669497008,D_ref,0.0,3
768,1.0,-0.06271778008876702,0,0.01085984210173289,D_ref,0.0,5
39,0.05,-0.1544342041015625,0,0.04334684518667368,D_rep,-0.0028656005859374984,0
77,0.1,-0.08526945114135742,0,0.029171287239371957,D_rep,-0.0003501892089843749,0
154,0.2,-0.04373288154602051,0,0.021370020779696377,D_rep,0.0,0
308,0.4,-0.08446049690246582,0,0.02342259419428838,D_rep,0.0,3
768,1.0,-0.056136057927058294,0,0.011635842422644297,D_rep,0.0,4
