selector,alpha,psnr_gain_n,psnr_gain_mean,psnr_gain_p50,psnr_gain_p75,psnr_gain_p90,psnr_gain_p95,psnr_gain_max,negative_delta_l1_n,negative_delta_l1_mean,negative_delta_l1_p50,negative_delta_l1_p75,negative_delta_l1_p90,negative_delta_l1_p95,negative_delta_l1_max,negative_touch_rate_n,negative_touch_rate_mean,negative_touch_rate_p50,negative_touch_rate_p75,negative_touch_rate_p90,negative_touch_rate_p95,negative_touch_rate_max,isolated_delta_l1_n,isolated_delta_l1_mean,isolated_delta_l1_p50,isolated_delta_l1_p75,isolated_delta_l1_p90,isolated_delta_l1_p95,isolated_delta_l1_max,isolated_touch_rate_n,isolated_touch_rate_mean,isolated_touch_rate_p50,isolated_touch_rate_p75,isolated_touch_rate_p90,isolated_touch_rate_p95,isolated_touch_rate_max,low_haze_delta_l1_n,low_haze_delta_l1_mean,low_haze_delta_l1_p50,low_haze_delta_l1_p75,low_haze_delta_l1_p90,low_haze_delta_l1_p95,low_haze_delta_l1_max,low_haze_touch_rate_n,low_haze_touch_rate_mean,low_haze_touch_rate_p50,low_haze_touch_rate_p75,low_haze_touch_rate_p90,low_haze_touch_rate_p95,low_haze_touch_rate_max,action_region_gain_n,action_region_gain_mean,action_region_gain_p50,action_region_gain_p75,action_region_gain_p90,action_region_gain_p95,action_region_gain_max
d7c_fixed,0.1,600,0.38595970841198673,0.3782089047132686,0.6080647939004962,0.7733100519363276,0.8349045062224221,0.9058748861384771,565,3.1650341884392744e-06,0.0,1.020453357874653e-06,6.907536392483543e-06,1.3580076672412731e-05,0.0001492130076800276,565,0.011283021979236665,0.0,0.003852504127682994,0.024041585445094216,0.048203868590727665,0.5724465558194775,594,0.00011309450250558544,1.4556991521755131e-05,7.92042493065805e-05,0.0002303212238359397,0.0004738705247125606,0.004593400364248161,594,0.04240453279123576,0.00946372239747634,0.043923865300146414,0.11238095238095239,0.17561341476481304,1.0,600,6.807464327539969e-05,1.2103059742354538e-05,4.74965672298162e-05,0.0001467570575522143,0.0002708547996449382,0.002985710236761305,600,0.03537425717450411,0.010988052672887416,0.03648835719746276,0.09158241241476604,0.1626361454679712,0.65,600,0.48196973215021255,0.5300914084894401,0.7215534635447156,0.8479738084564978,0.8789333761982618,0.9100255905385097
d7c_fixed,0.2,600,0.7818910543262868,0.7470021977098895,1.2352338867154913,1.6055219936482459,1.748197369695994,1.9159897939811543,565,6.330068376878549e-06,0.0,2.040906715749306e-06,1.3815072784967087e-05,2.7160153344825462e-05,0.0002984260153600552,565,0.011283021979236665,0.0,0.003852504127682994,0.024041585445094216,0.048203868590727665,0.5724465558194775,594,0.00022618900501117088,2.9113983043510263e-05,0.000158408498613161,0.0004606424476718794,0.0009477410494251212,0.009186800728496322,594,0.04240453279123576,0.00946372239747634,0.043923865300146414,0.11238095238095239,0.17561341476481304,1.0,600,0.00013614928655079938,2.4206119484709075e-05,9.49931344596324e-05,0.0002935141151044286,0.0005417095992898764,0.00597142047352261,600,0.03537425717450411,0.010988052672887416,0.03648835719746276,0.09158241241476604,0.1626361454679712,0.65,600,0.985563553093684,1.0663272739021323,1.487648613884602,1.7788173613796516,1.8518523231733752,1.9259220180741323
d7c_fixed,0.3,600,1.1863736446275193,1.1006398450874713,1.8755351862487402,2.50123212275858,2.752762244473935,3.0570321707344164,565,9.495102715847144e-06,0.0,3.0613602373370023e-06,2.072260917745063e-05,4.074023001723819e-05,0.00044763899944362805,565,0.011283021979236665,0.0,0.003852504127682994,0.024041585445094216,0.048203868590727665,0.5724465558194775,594,0.0003392835092976746,4.3670977148908426e-05,0.00023761273152005937,0.0006909636354247954,0.0014216116801191584,0.013780200583303077,594,0.04240453279123576,0.00946372239747634,0.043923865300146414,0.11238095238095239,0.17561341476481304,1.0,600,0.00020422393073883741,3.6309180492555005e-05,0.00014248970590859304,0.00044027118770119747,0.0008125643468897199,0.008957130379147,600,0.03537425717450411,0.010988052672887416,0.03648835719746276,0.09158241241476604,0.1626361454679712,0.65,600,1.5111855406543637,1.601600016672208,2.298014796542205,2.807582455314215,2.9395939387489562,3.07534866220621
d7c_fixed,0.5,600,2.0090970310971032,1.7341758221860104,3.149150258939713,4.483674071422307,5.091601007327483,5.90343778375248,565,1.5825170682135673e-05,0.0,5.1022669530863086e-06,3.453767930978555e-05,6.790038336206365e-05,0.0007460649676107737,565,0.011283021979236665,0.0,0.003852504127682994,0.024041585445094216,0.048203868590727665,0.5724465558194775,594,0.000565472492554251,7.278496535970476e-05,0.00039602123013322035,0.0011516060830966748,0.00236935241159985,0.022967000292916585,594,0.04240453279123576,0.00946372239747634,0.043923865300146414,0.11238095238095239,0.17561341476481304,1.0,600,0.00034037321136926144,6.051530250824687e-05,0.00023748281505335872,0.0007337852727165168,0.0013542738420894067,0.01492855019039578,600,0.03537425717450411,0.010988052672887416,0.03648835719746276,0.09158241241476604,0.1626361454679712,0.65,600,2.6248562925535674,2.6246105531095694,4.0257442121341995,5.231087001088234,5.578730936851542,5.955516651918934
d7c_fixed,1.0,600,3.5302949347528907,2.5100246555280137,5.053500267505299,8.491424852092287,10.996125956174716,20.402462263348532,565,3.165034136427135e-05,0.0,1.0204533906172617e-05,6.90753586195711e-05,0.0001358007667241273,0.0014921299352215474,565,0.011283021979236665,0.0,0.003852504127682994,0.024041585445094216,0.048203868590727665,0.5724465558194775,594,0.001130944985108502,0.00014556993071940952,0.0007920424602664407,0.0023032121661933497,0.0047387048231997,0.04593400058583317,594,0.04240453279123576,0.00946372239747634,0.043923865300146414,0.11238095238095239,0.17561341476481304,1.0,600,0.0006807464227385229,0.00012103060501649374,0.00047496563010671744,0.0014675705454330337,0.0027085476841788134,0.02985710038079156,600,0.03537425717450411,0.010988052672887416,0.03648835719746276,0.09158241241476604,0.1626361454679712,0.65,600,5.048005298346504,4.031309805129958,7.114401801111825,11.774727038074339,14.473310327873754,22.98179112481793
density_matched,0.1,600,0.3002197697545296,0.2786084131925506,0.4531861947062623,0.5885681215479934,0.6638564821312585,0.8829166423839183,565,1.4626078589294801e-05,0.0,1.0875990636736513e-05,4.0272086121115566e-05,7.812146506317163e-05,0.0003002299046733511,565,0.05779177283985404,0.0,0.04716254386715741,0.1794941160557284,0.32758394328289625,1.0,594,0.00024753425804330135,1.5581192430779755e-05,0.0002121400350225464,0.0007341283859183255,0.001301661619426822,0.006824958038049335,594,0.10820278750929664,0.010252904989747095,0.12031782065834279,0.3906014871204745,0.5484140233722872,0.9834410976186722,600,0.0001328426377697665,1.2483869215809478e-05,9.050012345110411e-05,0.00031415568599770644,0.0006351757024726147,0.005222566688299022,600,0.07370501252229512,0.015268123138033763,0.08656021615638784,0.24013708456204672,0.3460910677097991,0.826231956197113,600,0.3468344314394663,0.3402231867411487,0.5128941870769097,0.6624152497197358,0.7392464427678149,0.8879817402421999
density_matched,0.2,600,0.5977634962804022,0.5440064672828697,0.9031013802698524,1.1926656444669774,1.3583127368970764,1.8613014455463208,565,2.9252157178589602e-05,0.0,2.1751981273473026e-05,8.054417224223113e-05,0.00015624293012634325,0.0006004598093467022,565,0.05779177283985404,0.0,0.04716254386715741,0.1794941160557284,0.32758394328289625,1.0,594,0.0004950685160866027,3.116238486155951e-05,0.0004242800700450928,0.001468256771836651,0.002603323238853644,0.01364991607609867,594,0.10820278750929664,0.010252904989747095,0.12031782065834279,0.3906014871204745,0.5484140233722872,0.9834410976186722,600,0.000265685275539533,2.4967738431618956e-05,0.00018100024690220821,0.0006283113719954129,0.0012703514049452293,0.010445133376598043,600,0.07370501252229512,0.015268123138033763,0.08656021615638784,0.24013708456204672,0.3460910677097991,0.826231956197113,600,0.695657976435864,0.6690111428569523,1.0295430240130727,1.3551084489263943,1.5277419981095797,1.873331474013579
density_matched,0.3,600,0.8894417843352439,0.7924570773366355,1.3429133139824074,1.8058684923862742,2.0794739889513636,2.9568048802506404,565,4.38782362354489e-05,0.0,3.2627973780335194e-05,0.0001208162583633467,0.00023436439518951486,0.0009006897140200532,565,0.05779177283985404,0.0,0.04716254386715741,0.1794941160557284,0.32758394328289625,1.0,594,0.0007426027891964843,4.674357729233926e-05,0.0006364201050676392,0.0022023851577549765,0.0039049847708786203,0.020474877322640684,594,0.10820278750929664,0.010252904989747095,0.12031782065834279,0.3906014871204745,0.5484140233722872,0.9834410976186722,600,0.00039852791935835564,3.745160989878423e-05,0.0002715003604882602,0.0009424670302738561,0.0019055270481118144,0.01566770128601537,600,0.07370501252229512,0.015268123138033763,0.08656021615638784,0.24013708456204672,0.3460910677097991,0.826231956197113,600,1.0433563688551657,0.9813493146901706,1.5428030610565173,2.0741162077303272,2.3666903724678754,2.978762553986037
density_matched,0.5,600,1.4368416724654522,1.2221407642967534,2.1548624086184844,3.0128390645875527,3.560887093817101,5.625363624109983,565,7.313039160954594e-05,0.0,5.437995131355692e-05,0.00020136043826930587,0.00039060729869735787,0.0015011496085010454,565,0.05779177283985404,0.0,0.04716254386715741,0.1794941160557284,0.32758394328289625,1.0,594,0.0012376712664923016,7.790596215389877e-05,0.00106070013383885,0.0036706421037787174,0.006508307834928572,0.034124793398739355,594,0.10820278750929664,0.010252904989747095,0.12031782065834279,0.3906014871204745,0.5484140233722872,0.9834410976186722,600,0.0006642131766822603,6.241934382769159e-05,0.00045250062712057264,0.0015707783468307428,0.0031758784530570437,0.026112835883731717,600,0.07370501252229512,0.015268123138033763,0.08656021615638784,0.24013708456204672,0.3460910677097991,0.826231956197113,600,1.7154884263237447,1.5331113941031802,2.5158081510007975,3.5498113909914295,4.177520972496925,5.685319213386329
density_matched,1.0,600,2.204017386032571,1.720106686542124,3.201424875546998,4.776291987829943,5.952464220286409,14.981371244201735,565,0.00014626078321909188,0.0,0.00010875990262711383,0.00040272087653861173,0.0007812145973947157,0.0030022992170020907,565,0.05779177283985404,0.0,0.04716254386715741,0.1794941160557284,0.32758394328289625,1.0,594,0.0024753425329846032,0.00015581192430779754,0.0021214002676777,0.007341284207557435,0.013016615669857144,0.06824958679747871,594,0.10820278750929664,0.010252904989747095,0.12031782065834279,0.3906014871204745,0.5484140233722872,0.9834410976186722,600,0.0013284263533645205,0.00012483868765538318,0.0009050012542411453,0.0031415566936614857,0.0063517569061140875,0.052225671767463434,600,0.07370501252229512,0.015268123138033763,0.08656021615638784,0.24013708456204672,0.3460910677097991,0.826231956197113,600,2.727383275706898,2.1937673148814767,3.832820495802501,5.9268924718639155,7.5395340875710595,15.726250204708947
