bin,score_lo,score_hi,pixels,score_mean,action_rate,low_adjacent_rate,negative_rate,ignore_rate,isolated_rate
0,0.03390853852033615,0.30419065654277805,245760,0.20479394495487213,0.006119791666666667,0.0008015950520833333,0.47060953776041664,0.15698649088541666,0.03035888671875
1,0.30419065654277805,0.3927295863628388,245760,0.35209956765174866,0.03945719401041667,0.00391845703125,0.3676350911458333,0.3820882161458333,0.11794026692708333
2,0.3927295863628388,0.45252578854560854,245760,0.4243006706237793,0.10603434244791667,0.008272298177083333,0.21059977213541667,0.38940022786458334,0.15262858072916666
3,0.45252578854560854,0.4942705392837524,245760,0.47455474734306335,0.19850667317708334,0.0137939453125,0.11636962890625,0.33658447265625,0.15263671875
4,0.4942705392837524,0.5244870185852051,245759,0.5099709630012512,0.2996065250916548,0.01777757884757018,0.06244328793655573,0.27223824966735705,0.15096903877375803
5,0.5244870185852051,0.5495406031608582,245761,0.5372216105461121,0.4158633794621604,0.02040600420733965,0.028938684331525345,0.19848145149148969,0.11996614597108574
6,0.5495406031608582,0.5782563269138337,245760,0.5630108118057251,0.5079345703125,0.018359375,0.016153971354166668,0.10823160807291667,0.05905354817708333
7,0.5782563269138337,0.6207974791526795,245760,0.598576545715332,0.5509765625,0.010257975260416666,0.0030924479166666665,0.03189697265625,0.013480631510416667
8,0.6207974791526795,0.6804212093353272,245760,0.6482383608818054,0.6027058919270833,0.0035929361979166667,0.0005086263020833334,0.00828857421875,0.0029988606770833333
9,0.6804212093353272,0.9445474743843079,245760,0.7405408620834351,0.725048828125,0.0010579427083333333,4.475911458333333e-05,0.00150146484375,0.0006266276041666667
