selector,alpha,region,pixels,region_coverage,selector_touch_rate,base_region_psnr,shadow_region_psnr,region_psnr_gain,removed_energy_fraction,mean_abs_delta
d7c_fixed,0.1,all,140160000,3.564453125,0.2892921375570776,36.127843755983704,36.5904922143569,0.4626484583731951,0.10105079192502087,0.0004302188315844841
d7c_fixed,0.1,selected,40547186,1.031168263753255,1.0,33.483349824911215,34.39849995330152,0.9151501283903016,0.1900000591564509,0.0014871431875662416
d7c_fixed,0.1,action_positive,42400215,1.078293228149414,0.5711339671272894,31.986887853364216,32.544136863078144,0.557249009713928,0.12042049970443836,0.0012045028622307743
d7c_fixed,0.1,action_mid_high,41071344,1.044498291015625,0.5845601741204282,31.93038776909981,32.49466620400607,0.5642784349062637,0.12184302231261901,0.001233641630734434
d7c_fixed,0.1,low_adjacent,1328871,0.03379493713378906,0.1561709150098091,34.23963660961078,34.44231624239191,0.202679632781134,0.045596470537431856,0.00030391279785125955
d7c_fixed,0.1,negative_low_risk,21562895,0.5483727773030599,0.00269806071958334,50.97890115682769,50.98286262585569,0.003961469027998987,0.0009117460597737029,7.416682927661098e-07
d7c_fixed,0.1,ignore_abstain,26369607,0.6706137847900391,0.022625479401342612,36.80587309856537,36.8657329768913,0.05985987832593054,0.01368869232917068,3.154135954758431e-05
d7c_fixed,0.1,isolated_ldhn,9924190,0.2523852030436198,0.023606259049856967,33.29089624589143,33.35579645304063,0.06490020714920064,0.014832720131495648,5.7262052663362523e-05
d7c_fixed,0.1,low_haze,48573584,1.2352901204427083,0.016016112790853562,39.03018755145035,39.09897823738014,0.0687906859297911,0.015714853416786047,2.38451251318742e-05
d7c_fixed,0.1,heavy_haze,45766099,1.163892084757487,0.6458035892462672,33.78431229118918,34.483090508347274,0.6987782171580932,0.14862248094201722,0.001030136954997014
d7c_fixed,0.2,all,140160000,3.564453125,0.2892921375570776,36.127843755983704,37.0508532889666,0.9230095329828956,0.19146458625240903,0.0008604376631689682
d7c_fixed,0.2,selected,40547186,1.031168263753255,1.0,33.483349824911215,35.421549790276174,1.9381999653649586,0.3599999565572302,0.0029742863751324833
d7c_fixed,0.2,action_positive,42400215,1.078293228149414,0.5711339671272894,31.986887853364216,33.111643489740445,1.1247556363762286,0.22816505695150405,0.0024090057244615486
d7c_fixed,0.2,action_mid_high,41071344,1.044498291015625,0.5845601741204282,31.93038776909981,33.070335855334896,1.139948086235087,0.23086036579148367,0.002467283261468868
d7c_fixed,0.2,low_adjacent,1328871,0.03379493713378906,0.1561709150098091,34.23963660961078,34.63204368016654,0.3924070705557625,0.0863932640245915,0.0006078255957025191
d7c_fixed,0.2,negative_low_risk,21562895,0.5483727773030599,0.00269806071958334,50.97890115682769,50.98641016404655,0.007509007218864383,0.0017275189269916995,1.4833365855322197e-06
d7c_fixed,0.2,ignore_abstain,26369607,0.6706137847900391,0.022625479401342612,36.80587309856537,36.92000023238695,0.11412713382157591,0.025936462314974148,6.308271909516861e-05
d7c_fixed,0.2,isolated_ldhn,9924190,0.2523852030436198,0.023606259049856967,33.29089624589143,33.41469873540753,0.12380248951610184,0.028104097726659703,0.00011452410532672505
d7c_fixed,0.2,low_haze,48573584,1.2352901204427083,0.016016112790853562,39.03018755145035,39.16146524971188,0.13127769826153468,0.029775515660733543,4.76902502637484e-05
d7c_fixed,0.2,heavy_haze,45766099,1.163892084757487,0.6458035892462672,33.78431229118918,35.22065127846443,1.4363389872752492,0.28160036786701975,0.002060273909994028
d7c_fixed,0.3,all,140160000,3.564453125,0.2892921375570776,36.127843755983704,37.50200769743409,1.3741639414503837,0.2712415459947122,0.0012906565228658566
d7c_fixed,0.3,selected,40547186,1.031168263753255,1.0,33.483349824911215,36.581389224776274,3.0980393998650584,0.5100000225822796,0.0044614296598752485
