selector,alpha,selected_coverage,base_psnr,shadow_psnr,psnr_gain,removed_energy_fraction
d7c_fixed,0.1,0.2892921375570776,36.127843755983704,36.5904922143569,0.4626484583731951,0.10105079192502087
d7c_fixed,0.2,0.2892921375570776,36.127843755983704,37.0508532889666,0.9230095329828956,0.19146458625240903
d7c_fixed,0.3,0.2892921375570776,36.127843755983704,37.50200769743409,1.3741639414503837,0.2712415459947122
d7c_fixed,0.5,0.2892921375570776,36.127843755983704,38.3382653151789,2.210421559195197,0.3988846141716408
d7c_fixed,1.0,0.2892921375570776,36.127843755983704,39.42395778756546,3.2961140315817588,0.5318461526318137
density_matched,0.1,0.27971076626712327,36.127843755983704,36.466806521971485,0.3389627659877803,0.07508095221203015
density_matched,0.2,0.27971076626712327,36.127843755983704,36.794279935743475,0.6664361797597707,0.1422585809319068
density_matched,0.3,0.27971076626712327,36.127843755983704,37.10527420106101,0.977430445077303,0.20153302998821376
density_matched,0.5,0.27971076626712327,36.127843755983704,37.65441316724036,1.5265694112566521,0.2963720882389847
density_matched,1.0,0.27971076626712327,36.127843755983704,38.31145871818845,2.183614962204743,0.395162786699206
action_oracle,0.1,0.30251294948630136,36.127843755983704,36.829261194074036,0.7014174380903313,0.14913970850421363
action_oracle,0.2,0.30251294948630136,36.127843755983704,37.570111242944165,1.4422674869604606,0.2825803771733655
action_oracle,0.3,0.30251294948630136,36.127843755983704,38.34866453568379,2.220820779700084,0.4003222684548677
action_oracle,0.5,0.30251294948630136,36.127843755983704,39.986353771578685,3.8585100155949803,0.5887091967963126
action_oracle,1.0,0.30251294948630136,36.127843755983704,42.802360379132445,6.67451662314874,0.7849455974917514
