name,A0_PSNR,bucket,raw_best_action,raw_best_dPSNR,conservative_best_action,conservative_best_dPSNR
1000_0.74_1.6.png,36.9222412109375,regular,medium,7.047176361083984,medium,7.047176361083984
1006_0.89_1.55.png,37.09952926635742,regular,medium,4.353168487548828,medium,4.353168487548828
1010_0.91_1.13.png,39.22648620605469,regular,medium,5.731040954589844,medium,5.731040954589844
1017_0.91_1.44.png,33.62205123901367,hard,medium,8.123291015625,medium,8.123291015625
1022_0.66_1.05.png,40.141082763671875,easy,medium,7.4671173095703125,medium,7.4671173095703125
1030_0.75_1.69.png,38.21989059448242,regular,medium,5.223499298095703,medium,5.223499298095703
1041_0.64_0.82.png,36.111610412597656,regular,strong,9.726425170898438,strong,9.726425170898438
1047_0.89_1.57.png,31.743871688842773,hard,strong,6.84874153137207,strong,6.84874153137207
1051_0.69_0.54.png,42.749366760253906,easy,medium,5.639629364013672,medium,5.639629364013672
1057_0.96_1.31.png,40.0328254699707,regular,medium,4.622447967529297,medium,4.622447967529297
1062_0.58_1.51.png,34.548439025878906,regular,strong,7.405647277832031,strong,7.405647277832031
1068_0.69_1.34.png,40.14018630981445,easy,medium,6.977108001708984,medium,6.977108001708984
1077_0.94_0.84.png,40.86440658569336,easy,medium,4.331188201904297,medium,4.331188201904297
1082_0.94_0.87.png,33.75794982910156,hard,medium,8.571907043457031,medium,8.571907043457031
1090_0.54_0.58.png,41.2755241394043,easy,medium,7.363780975341797,medium,7.363780975341797
1099_0.54_1.76.png,33.76907730102539,hard,medium,7.460887908935547,medium,7.460887908935547
1001_0.89_1.66.png,35.00823211669922,regular,medium,7.541759490966797,medium,7.541759490966797
1007_0.68_1.25.png,38.78367614746094,regular,medium,6.204292297363281,medium,6.204292297363281
1011_0.79_0.66.png,43.75776290893555,easy,medium,6.652484893798828,medium,6.652484893798828
1018_0.88_0.54.png,38.6190071105957,regular,medium,9.983001708984375,medium,9.983001708984375
1025_0.95_1.79.png,34.59271240234375,regular,strong,7.390338897705078,strong,7.390338897705078
1032_0.6_0.6.png,43.00468444824219,easy,strong,6.061367034912109,strong,6.061367034912109
1042_0.91_0.56.png,42.3957405090332,easy,medium,6.369422912597656,medium,6.369422912597656
1048_0.73_0.95.png,33.03868103027344,hard,strong,8.373554229736328,strong,8.373554229736328
1052_0.73_1.22.png,38.58009719848633,regular,medium,4.943393707275391,medium,4.943393707275391
1058_0.6_1.0.png,42.032283782958984,easy,strong,5.464138031005859,strong,5.464138031005859
