name,oof_fold,variant,stages,A0_PSNR,action_PSNR,dPSNR,best_loss,delta_abs_mean,bottleneck_delta_abs_mean,bottleneck_delta_rms,bottleneck_delta_abs_max,early_delta_abs_mean,early_delta_rms,early_delta_abs_max,mid_delta_abs_mean,mid_delta_rms,mid_delta_abs_max,final_delta_abs_mean,final_delta_rms,final_delta_abs_max
1000_0.74_1.6.png,0,S1_bottleneck,bottleneck,36.9222412109375,44.30747604370117,7.385234832763672,0.0047055697068572044,0.046081818640232086,0.046081818640232086,0.05586906895041466,0.2780015170574188,,,,,,,,,
1000_0.74_1.6.png,0,S2_early_decoder,early,36.9222412109375,42.815650939941406,5.893409729003906,0.005530890543013811,0.03861045837402344,,,,0.03861045837402344,0.04919333755970001,0.39053019881248474,,,,,,
1000_0.74_1.6.png,0,S3_mid_decoder,mid,36.9222412109375,44.85573196411133,7.933490753173828,0.004364789463579655,0.013512065634131432,,,,,,,0.013512065634131432,0.03152044862508774,0.3636837601661682,,,
1000_0.74_1.6.png,0,S4_final_decoder,final,36.9222412109375,45.11879348754883,8.196552276611328,0.004127897787839174,0.005493102129548788,,,,,,,,,,0.005493102129548788,0.015822850167751312,0.11968325078487396
1000_0.74_1.6.png,0,S5_bottleneck_mid,bottleneck+mid,36.9222412109375,45.24699401855469,8.324752807617188,0.004106580745428801,0.01543512986972928,0.021898027509450912,0.030316144227981567,0.1893346905708313,,,,0.008972232230007648,0.021171582862734795,0.29840949177742004,,,
1000_0.74_1.6.png,0,S6_early_mid_final,early+mid+final,36.9222412109375,45.76679611206055,8.844554901123047,0.0039635938592255116,0.006703179717684786,,,,0.011324521154165268,0.015313761308789253,0.09988492727279663,0.006093621253967285,0.0142110800370574,0.22895732522010803,0.0026913967449218035,0.007488456554710865,0.10669507086277008
1006_0.89_1.55.png,0,S1_bottleneck,bottleneck,37.09952926635742,41.68977737426758,4.590248107910156,0.006093097385019064,0.050305068492889404,0.050305068492889404,0.060921020805835724,0.3686164915561676,,,,,,,,,
1006_0.89_1.55.png,0,S2_early_decoder,early,37.09952926635742,40.234893798828125,3.135364532470703,0.007206389214843512,0.042298100888729095,,,,0.042298100888729095,0.05327042192220688,0.5218566060066223,,,,,,
1006_0.89_1.55.png,0,S3_mid_decoder,mid,37.09952926635742,40.952232360839844,3.852703094482422,0.006608797702938318,0.012840624898672104,,,,,,,0.012840624898672104,0.026522165164351463,0.42362895607948303,,,
1006_0.89_1.55.png,0,S4_final_decoder,final,37.09952926635742,41.31755065917969,4.218021392822266,0.006314381025731564,0.00535427825525403,,,,,,,,,,0.00535427825525403,0.015926120802760124,0.21587853133678436
1006_0.89_1.55.png,0,S5_bottleneck_mid,bottleneck+mid,37.09952926635742,41.87946701049805,4.779937744140625,0.005950180813670158,0.018954760394990444,0.027977610006928444,0.03666972368955612,0.19412794709205627,,,,0.009931910783052444,0.0194893516600132,0.2798509895801544,,,
1006_0.89_1.55.png,0,S6_early_mid_final,early+mid+final,37.09952926635742,41.6169548034668,4.517425537109375,0.006184672936797142,0.007357048025975625,,,,0.012001806870102882,0.016870945692062378,0.12768472731113434,0.006504010874778032,0.015159452334046364,0.23013392090797424,0.0035653263330459595,0.01036062277853489,0.16497837007045746
1010_0.91_1.13.png,0,S1_bottleneck,bottleneck,39.22648620605469,45.61647033691406,6.389984130859375,0.004036366008222103,0.04073471948504448,0.04073471948504448,0.05572660639882088,0.536594033241272,,,,,,,,,
1010_0.91_1.13.png,0,S2_early_decoder,early,39.22648620605469,44.48234558105469,5.255859375,0.004529955331236124,0.04052465409040451,,,,0.04052465409040451,0.0599294975399971,0.6780056357383728,,,,,,
1010_0.91_1.13.png,0,S3_mid_decoder,mid,39.22648620605469,45.86069107055664,6.634204864501953,0.003930649254471064,0.009602286852896214,,,,,,,0.009602286852896214,0.02357775717973709,0.4530722498893738,,,
1010_0.91_1.13.png,0,S4_final_decoder,final,39.22648620605469,46.434059143066406,7.207572937011719,0.003651576116681099,0.0037299753166735172,,,,,,,,,,0.0037299753166735172,0.012229797430336475,0.16468395292758942
1010_0.91_1.13.png,0,S5_bottleneck_mid,bottleneck+mid,39.22648620605469,45.867919921875,6.6414337158203125,0.003912849817425013,0.012404605746269226,0.017398608848452568,0.027471620589494705,0.3050018548965454,,,,0.007410602644085884,0.016202660277485847,0.26482221484184265,,,
1010_0.91_1.13.png,0,S6_early_mid_final,early+mid+final,39.22648620605469,45.591026306152344,6.364540100097656,0.004071883857250214,0.00471178162842989,,,,0.007451159413903952,0.012400900945067406,0.14986813068389893,0.004365635570138693,0.009942909702658653,0.15163028240203857,0.0023185499012470245,0.006815328728407621,0.08547233045101166
1017_0.91_1.44.png,0,S1_bottleneck,bottleneck,33.62205123901367,41.98109436035156,8.35904312133789,0.00574121717363596,0.04438646510243416,0.04438646510243416,0.05417604371905327,0.25388243794441223,,,,,,,,,
1017_0.91_1.44.png,0,S2_early_decoder,early,33.62205123901367,37.70189666748047,4.079845428466797,0.007592152804136276,0.038674116134643555,,,,0.038674116134643555,0.04690035060048103,0.38159438967704773,,,,,,
1017_0.91_1.44.png,0,S3_mid_decoder,mid,33.62205123901367,39.41739273071289,5.795341491699219,0.005923639517277479,0.01643894799053669,,,,,,,0.01643894799053669,0.03788968175649643,0.3188519775867462,,,
1017_0.91_1.44.png,0,S4_final_decoder,final,33.62205123901367,38.969573974609375,5.347522735595703,0.005743781104683876,0.006047864444553852,,,,,,,,,,0.006047864444553852,0.014967892318964005,0.10355037450790405
