action,strength,mean_dPSNR,p05_dPSNR,severe_rate,unsafe_rate
noop,0.0,-3.6954879760742188e-06,-0.000194549560546875,0.0,0.0
mild,0.33,2.944932198524475,2.292669486999512,0.0,0.0
medium,0.67,6.50876476764679,4.327285385131836,0.0,0.0
strong,1.25,5.808358597755432,2.7555233001708985,0.0,0.0
