name,oof_fold,primary_variant,action,action_strength,A0_PSNR,action_PSNR,dPSNR,unsafe_action_label,safe_action_label,delta_abs_mean,delta_rms,delta_abs_max,input_luma_mean,input_luma_std,input_low_mean,input_low_std,best_action_class,best_action_dPSNR
1000_0.74_1.6.png,0,S6_early_mid_final,noop,0.0,36.9222412109375,36.92224884033203,7.62939453125e-06,0,1,0.0,0.0,0.0,0.6500923037528992,0.16767676174640656,0.6500924229621887,0.15515077114105225,medium,7.047176361083984
1000_0.74_1.6.png,0,S6_early_mid_final,mild,0.33,36.9222412109375,40.008033752441406,3.0857925415039062,0,1,0.002212049555964768,0.004071462821836273,0.07555592060089111,0.6500923037528992,0.16767676174640656,0.6500924229621887,0.15515077114105225,medium,7.047176361083984
1000_0.74_1.6.png,0,S6_early_mid_final,medium,0.67,36.9222412109375,43.969417572021484,7.047176361083984,0,1,0.004491130821406841,0.008266303377846876,0.15340140461921692,0.6500923037528992,0.16767676174640656,0.6500924229621887,0.15515077114105225,medium,7.047176361083984
1000_0.74_1.6.png,0,S6_early_mid_final,strong,1.25,36.9222412109375,43.49418258666992,6.571941375732422,0,1,0.008378975248585144,0.015422206682463488,0.28619664907455444,0.6500923037528992,0.16767676174640656,0.6500924229621887,0.15515077114105225,medium,7.047176361083984
1006_0.89_1.55.png,0,S6_early_mid_final,noop,0.0,37.09952926635742,37.0996208190918,9.1552734375e-05,0,1,0.0,0.0,0.0,0.6387787461280823,0.1788373738527298,0.638778805732727,0.16238263249397278,medium,4.353168487548828
1006_0.89_1.55.png,0,S6_early_mid_final,mild,0.33,37.09952926635742,39.418148040771484,2.3186187744140625,0,1,0.002427825820632279,0.004663012378538649,0.0759442001581192,0.6387787461280823,0.1788373738527298,0.638778805732727,0.16238263249397278,medium,4.353168487548828
1006_0.89_1.55.png,0,S6_early_mid_final,medium,0.67,37.09952926635742,41.45269775390625,4.353168487548828,0,1,0.0049292221665382385,0.00946732796728611,0.15418973565101624,0.6387787461280823,0.1788373738527298,0.638778805732727,0.16238263249397278,medium,4.353168487548828
1006_0.89_1.55.png,0,S6_early_mid_final,strong,1.25,37.09952926635742,40.35626983642578,3.2567405700683594,0,1,0.009196309528003136,0.01766292502482732,0.2876673936843872,0.6387787461280823,0.1788373738527298,0.638778805732727,0.16238263249397278,medium,4.353168487548828
1010_0.91_1.13.png,0,S6_early_mid_final,noop,0.0,39.22648620605469,39.226348876953125,-0.0001373291015625,0,1,0.0,0.0,0.0,0.47183841466903687,0.19779641926288605,0.47183847427368164,0.18078027665615082,medium,5.731040954589844
1010_0.91_1.13.png,0,S6_early_mid_final,mild,0.33,39.22648620605469,42.003475189208984,2.776988983154297,0,1,0.0015548881298551958,0.003207505370179812,0.05003799498081207,0.47183841466903687,0.19779641926288605,0.47183847427368164,0.18078027665615082,medium,5.731040954589844
1010_0.91_1.13.png,0,S6_early_mid_final,medium,0.67,39.22648620605469,44.95752716064453,5.731040954589844,0,1,0.003156893731405338,0.0065122079104185104,0.1015922948718071,0.47183841466903687,0.19779641926288605,0.47183847427368164,0.18078027665615082,medium,5.731040954589844
1010_0.91_1.13.png,0,S6_early_mid_final,strong,1.25,39.22648620605469,43.90040969848633,4.673923492431641,0,1,0.005889726957927148,0.012149640979866186,0.18953785300254822,0.47183841466903687,0.19779641926288605,0.47183847427368164,0.18078027665615082,medium,5.731040954589844
1017_0.91_1.44.png,0,S6_early_mid_final,noop,0.0,33.62205123901367,33.622066497802734,1.52587890625e-05,0,1,0.0,0.0,0.0,0.6577607989311218,0.24254904687404633,0.6577612161636353,0.23662148416042328,medium,8.123291015625
1017_0.91_1.44.png,0,S6_early_mid_final,mild,0.33,33.62205123901367,36.989105224609375,3.367053985595703,0,1,0.003021446638740599,0.0060444416012614965,0.10111121833324432,0.6577607989311218,0.24254904687404633,0.6577612161636353,0.23662148416042328,medium,8.123291015625
