variant,scope,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,p05_dPSNR,CVaR5_dPSNR,severe_count,severe_rate,strong_reference_regressions,strong_reference_regression_rate,wrong_direction_rate,delta_abs_mean,action_coverage
S1_bottleneck,fold0,16,6.297481179237366,7.181959629058838,5.423253059387207,4.4327239990234375,3.9601516723632812,0,0.0,0,0.0,0.0,0.047571678878739476,1.0
S1_bottleneck,fold1,16,6.105130195617676,6.414202690124512,5.216519355773926,4.180303573608398,4.152305603027344,0,0.0,0,0.0,0.0,0.043414787389338017,1.0
S1_bottleneck,fold2,16,6.134158730506897,7.568049907684326,5.198671340942383,3.6093969345092773,3.0992164611816406,0,0.0,0,0.0,0.0,0.043959576869383454,1.0
S1_bottleneck,fold3,16,6.709540486335754,6.603500843048096,6.106010437011719,4.988668441772461,4.834922790527344,0,0.0,0,0.0,0.0,0.0462013422511518,1.0
S1_bottleneck,fold4,16,6.366147994995117,5.760632514953613,5.741029739379883,3.9988021850585938,3.7805862426757812,0,0.0,0,0.0,0.0,0.046638279454782605,1.0
S2_early_decoder,fold0,16,4.6049805879592896,4.946478366851807,3.434572219848633,2.736724853515625,1.5408058166503906,0,0.0,0,0.0,0.0,0.040321561275050044,1.0
S2_early_decoder,fold1,16,4.620577096939087,4.931113243103027,3.8941192626953125,2.6661319732666016,1.9815521240234375,0,0.0,0,0.0,0.0,0.03623538138344884,1.0
S2_early_decoder,fold2,16,4.732758641242981,5.5921807289123535,4.019980430603027,1.8171062469482422,1.6920051574707031,0,0.0,0,0.0,0.0,0.03619402670301497,1.0
S2_early_decoder,fold3,16,5.073015809059143,4.495889186859131,4.746889114379883,3.2264442443847656,2.8875503540039062,0,0.0,0,0.0,0.0,0.03866834659129381,1.0
S2_early_decoder,fold4,16,4.775598764419556,3.426431655883789,4.765595436096191,3.0226173400878906,2.9764175415039062,0,0.0,0,0.0,0.0,0.03871638490818441,1.0
S3_mid_decoder,fold0,16,5.873072504997253,6.04428243637085,4.693957328796387,3.241922378540039,1.6693496704101562,0,0.0,0,0.0,0.0,0.01367626670980826,1.0
S3_mid_decoder,fold1,16,5.885873556137085,6.599116325378418,4.401873588562012,3.1860618591308594,2.00946044921875,0,0.0,0,0.0,0.0,0.011443457042332739,1.0
S3_mid_decoder,fold2,16,6.081955075263977,7.481375217437744,4.310829162597656,2.6839962005615234,2.065654754638672,0,0.0,0,0.0,0.0,0.012952881923411041,1.0
S3_mid_decoder,fold3,16,6.776412844657898,8.10630464553833,5.306048393249512,4.692737579345703,4.277900695800781,0,0.0,0,0.0,0.0,0.013199362787418067,1.0
S3_mid_decoder,fold4,16,5.98529577255249,4.784833908081055,5.289335250854492,3.4608192443847656,3.340862274169922,0,0.0,0,0.0,0.0,0.013532274024328217,1.0
S4_final_decoder,fold0,16,6.276070952415466,5.438431262969971,5.3690185546875,4.022178649902344,3.9959144592285156,0,0.0,0,0.0,0.0,0.005007053769077174,1.0
S4_final_decoder,fold1,16,6.508679151535034,7.708648681640625,5.557084083557129,3.992725372314453,3.88800048828125,0,0.0,0,0.0,0.0,0.004151377055677585,1.0
S4_final_decoder,fold2,16,6.382706046104431,7.511016368865967,4.931753158569336,3.490267753601074,2.8079566955566406,0,0.0,0,0.0,0.0,0.005135972969583236,1.0
S4_final_decoder,fold3,16,7.341718912124634,7.9962310791015625,6.21010684967041,5.392239093780518,4.056451797485352,0,0.0,0,0.0,0.0,0.005187589711567853,1.0
S4_final_decoder,fold4,16,6.548380494117737,5.423155307769775,5.882322311401367,3.549203395843506,3.516214370727539,0,0.0,0,0.0,0.0,0.005374429332732689,1.0
S5_bottleneck_mid,fold0,16,7.264984488487244,8.54554033279419,6.394047737121582,4.698794364929199,4.455364227294922,0,0.0,0,0.0,0.0,0.01812026217521634,1.0
S5_bottleneck_mid,fold1,16,7.2714197635650635,8.08553695678711,5.772791862487793,4.893795967102051,4.861263275146484,0,0.0,0,0.0,0.0,0.01562495407415554,1.0
S5_bottleneck_mid,fold2,16,7.24017608165741,9.20845365524292,5.540131568908691,4.149359703063965,3.3321914672851562,0,0.0,0,0.0,0.0,0.015876842124271207,1.0
S5_bottleneck_mid,fold3,16,8.333373427391052,9.926597118377686,6.317946434020996,5.612268447875977,5.108585357666016,0,0.0,0,0.0,0.0,0.01701176245114766,1.0
S5_bottleneck_mid,fold4,16,7.78304123878479,8.144492149353027,6.133504867553711,4.4866790771484375,3.896392822265625,0,0.0,0,0.0,0.0,0.017613119940506294,1.0
S6_early_mid_final,fold0,16,7.4683016538619995,8.814045429229736,6.789487838745117,4.549546241760254,4.517425537109375,0,0.0,0,0.0,0.0,0.007720230096310843,1.0
S6_early_mid_final,fold1,16,7.5049889087677,8.736664772033691,5.474946022033691,4.823521614074707,4.508697509765625,0,0.0,0,0.0,0.0,0.006446490867044001,1.0
S6_early_mid_final,fold2,16,7.2896095514297485,9.38839864730835,5.428812026977539,3.748455047607422,3.137134552001953,0,0.0,0,0.0,0.0,0.0066326458302986184,1.0
S6_early_mid_final,fold3,16,8.87009084224701,11.200109958648682,6.339498519897461,5.671469688415527,4.642368316650391,0,0.0,0,0.0,0.0,0.0071730786803527735,1.0
S6_early_mid_final,fold4,16,8.12151575088501,8.925497055053711,6.252049446105957,4.440987586975098,3.942394256591797,0,0.0,0,0.0,0.0,0.007928220972341174,1.0
