direction_selected_count,direction_selected_fraction,hard_vs_old25_count,image_count,max_anchor_excess,max_current_bound_saturation_fraction,max_direction_added_harm,max_direction_bound_saturation_fraction,max_direction_delta_abs,max_direction_grid_value,max_direction_total_harm,max_inherited_harm,max_predecessor_excess,max_shrink_delta_abs,max_shrink_grid_value,max_target_bound_saturation_fraction,mean_current_bound_saturation_fraction,mean_direction_added_harm,mean_direction_bound_saturation_fraction,mean_direction_delta_abs,mean_direction_grid_value,mean_direction_total_harm,mean_direction_vs_current_db,mean_direction_vs_old25_db,mean_direction_vs_shrink_db,mean_inherited_harm,mean_shrink_delta_abs,mean_shrink_grid_value,mean_target_bound_saturation_fraction,min_current_bound_saturation_fraction,min_direction_added_harm,min_direction_bound_saturation_fraction,min_direction_delta_abs,min_direction_grid_value,min_direction_total_harm,min_inherited_harm,min_shrink_delta_abs,min_shrink_grid_value,min_target_bound_saturation_fraction,operator,p05_direction_vs_current_db,p05_direction_vs_old25_db,p05_direction_vs_shrink_db,p10_direction_vs_current_db,p10_direction_vs_old25_db,p10_direction_vs_shrink_db,schema_version,severe_vs_old25_count,split
5,0.625,0,8,-8.41100700199604e-09,0.0,0.0,0.29409995675086975,0.007268986199051142,1.0,0.0,2.6193447411060333e-09,-1.635635271668434e-08,0.007268986199051142,1.0,0.29410621523857117,0.0,-3.2741809263825417e-10,0.08939206786453724,0.002142746207937307,0.908203125,0.0,0.013613898419666981,0.2080560369825717,0.012997933333803946,3.2741809263825417e-10,0.002266949910335825,0.759765625,0.1602795086801052,0.0,-2.6193447411060333e-09,0.0,1.1870688467752188e-05,0.359375,0.0,0.0,0.0,0.0,0.054871752858161926,D_ref,0.0,0.0016895633003343848,0.0,0.0,0.0031479620032740744,0.0,1,0,heldout128
5,0.625,0,8,-7.101334631443024e-09,0.0,0.0,0.2991794943809509,0.007269053254276514,1.0,0.0,1.4842953532934189e-09,-1.391163095831871e-08,0.007269053254276514,1.0,0.2991794943809509,0.0,-1.8553691916167736e-10,0.08939054422080517,0.0021413682644606524,0.91015625,0.0,0.014083392448942078,0.2085244288528183,0.013453837925519352,1.8553691916167736e-10,0.00226820483476331,0.76953125,0.1598888784646988,0.0,-1.4842953532934189e-09,0.0,1.0817880138347391e-05,0.375,0.0,0.0,0.0,0.0,0.05038277059793472,D_rep,0.0,0.0017019774759045704,0.0,0.0,0.0032073408644585303,0.0,1,0,heldout128
5,0.625,0,8,-2.2159656509757042e-07,0.0,0.0,0.8320844173431396,0.005201255436986685,1.0,0.0,1.8075952539220452e-06,-4.4293119572103024e-07,0.006424020975828171,1.0,0.8320844173431396,0.0,-2.882752596633509e-07,0.20254632830619812,0.002917297048952605,0.87890625,0.0,0.21535993167173384,0.2817171354274226,0.1444843510104512,2.882752596633509e-07,0.002402141079073772,0.57421875,0.28821732732467353,0.0,-1.8075952539220452e-06,0.0,6.469416985055432e-05,0.15625,0.0,0.0,0.0,0.0,0.03003842942416668,D_ref,0.0,0.0464188059858671,0.0,0.0,0.08559797791293564,0.0,1,0,update128
6,0.75,0,8,-2.1766754798591137e-07,0.0,0.0,0.7743546962738037,0.00507613830268383,1.0,0.0,1.815642463043332e-06,-4.34869434684515e-07,0.00642416812479496,1.0,0.7743546962738037,0.0,-3.153063516947441e-07,0.19623643532395363,0.002906332896600361,0.755859375,0.0,0.2170209411075863,0.2838555368030544,0.14657576709913922,3.153063516947441e-07,0.0024021710560191423,0.57421875,0.27677195030264556,0.0,-1.815642463043332e-06,0.0,6.327124719973654e-05,0.0,0.0,0.0,0.0,0.0,0.02903672866523266,D_rep,0.0,0.04672129525539788,0.0,0.0,0.08633461677557222,0.0,1,0,update128
