finite_element_count,max,metric,p50,p90,p95,p99,p99_9,quantile_method,source
2558538,4.76837158203125e-07,utility,0.0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,numpy_linear_finite_elements,saved_seed_ensemble
2558538,5.960464477539063e-08,risk,0.0,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,numpy_linear_finite_elements,saved_seed_ensemble
5117076,4.76837158203125e-07,combined,0.0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,numpy_linear_finite_elements,saved_seed_ensemble
2558538,0.000347137451171875,utility,0.0,2.384185791015625e-07,1.1920928955078125e-06,8.821487426757812e-06,5.4872974753379655e-05,numpy_linear_finite_elements,upstream_vs_current
2558538,7.426738739013672e-05,risk,0.0,5.960464477539063e-08,1.7881393432617188e-07,1.6689300537109375e-06,9.000301361083984e-06,numpy_linear_finite_elements,upstream_vs_current
5117076,0.000347137451171875,combined,0.0,5.960464477539063e-08,4.76837158203125e-07,5.245208740234375e-06,3.8623809814453125e-05,numpy_linear_finite_elements,upstream_vs_current
