checkpoint_label,present,score,pass_count,check_count,all_checks_pass,decision,regular_mean_psnr_delta,regular_hard_bottom25_psnr_delta,regular_easy_top25_psnr_delta,regular_mean_ssim_delta,regular_positive_ratio,regular_worst_count_delta_le_-0p20,regular_strong_regression_ratio,hard_mean_psnr_delta,hard_hard_bottom25_psnr_delta,hard_easy_top25_psnr_delta,hard_mean_ssim_delta,hard_positive_ratio,hard_worst_count_delta_le_-0p20,hard_strong_regression_ratio
model_5,True,-17.07587777153651,0,9,False,DIAGNOSTIC_ONLY,-1.058191089630127,-0.7980958302815755,-1.1271014404296875,-0.0013021363814671833,0.11666666666666667,241.0,0.88,-0.6394175402323405,-0.6399859873453776,-0.6569853210449219,-0.0014367306232452393,0.24,208.0,0.6933333333333334
model_10,True,-23.691062164386114,0,9,False,DIAGNOSTIC_ONLY,-2.568773409525553,-1.6496858978271485,-2.9019811503092448,-0.005415284335613251,0.04666666666666667,280.0,0.9866666666666667,-1.5113146018981933,-1.4382691446940103,-1.7217882283528645,-0.0033206109205881754,0.13,253.0,0.84
model_15,True,-27.45142758369446,0,9,False,DIAGNOSTIC_ONLY,-3.702051575978597,-2.305573247273763,-4.791080118815104,-0.0046419590711593624,0.03,287.0,1.0,-2.226431147257487,-1.9857653299967448,-2.6835667419433595,-0.005243139863014221,0.08333333333333333,265.0,0.92
model_20,True,-30.691381861686708,0,9,False,DIAGNOSTIC_ONLY,-4.586566874186198,-3.0735023498535154,-5.582194569905599,-0.006509507695833842,0.02666666666666667,291.0,1.0,-3.0695826784769693,-2.696621856689453,-3.721115926106771,-0.007472832401593526,0.06,279.0,0.9466666666666667
Final,True,-30.691381824334464,0,9,False,DIAGNOSTIC_ONLY,-4.586566874186198,-3.0735023498535154,-5.582194569905599,-0.006509504516919454,0.02666666666666667,291.0,1.0,-3.069582722981771,-2.696621856689453,-3.7211160532633465,-0.007472832600275675,0.06,279.0,0.9466666666666667
