variant,epoch,steps,loss_mean,smooth_l1_mean,ordinal_loss_mean,pair_loss_mean,ldhn_positive_loss_mean,tail_loss_mean,elapsed_sec,target_mode,core_only,ldhn_protection
f4_global_strat_control,1,300,0.96873508532842,0.027940447827180227,4.351024425824483,0.10097545296574632,0.04320746534193556,0.004782303123332289,31.597161293029785,global,False,True
f4_global_strat_control,2,300,0.9122365617752075,0.02585716632505258,4.095414694150289,0.09251093295713265,0.04321344956755638,0.004309181491141014,30.503424882888794,global,False,True
f4_global_strat_control,3,300,0.8965673744678497,0.025309149026870727,4.042016260623932,0.0863513905275613,0.04265009121658901,0.003605613000205873,30.56664776802063,global,False,True
f4_global_strat_control,4,300,0.8969504044453303,0.02541899623349309,4.043192139466604,0.08772080348804594,0.04044761809520423,0.004067158457619371,30.444480419158936,global,False,True
f4_global_strat_control,5,300,0.8918515682220459,0.025448216442018747,4.033236521879832,0.08423598347231746,0.040796540022517244,0.00333834158993947,30.49372935295105,global,False,True
f4_global_strat_control,6,300,0.8880722937981288,0.02499137748032808,4.005025428930918,0.08555913186011214,0.04264959586163362,0.003384338099034115,30.602134943008423,global,False,True
f4_global_strat_control,7,300,0.8822577301661173,0.02485277524217963,3.97945583264033,0.08794124834084262,0.04125001035630703,0.0032715237069351135,30.67050814628601,global,False,True
f4_global_strat_control,8,300,0.8786632132530212,0.02475698076809446,3.9695075742403665,0.08184083816284934,0.04193074284121394,0.0032806462547644816,30.72771692276001,global,False,True
f4_excess_strat_ldhn,1,300,0.9770316046476364,0.04021313227713108,4.3568513965606686,0.11808475859463215,0.04542337404564023,0.0025411687315742408,30.86285400390625,excess,True,True
f4_excess_strat_ldhn,2,300,0.9133127315839131,0.03542027713730931,4.079119153817495,0.10201008418574929,0.043722321186214684,0.0029263282800820888,31.002326726913452,excess,True,True
f4_excess_strat_ldhn,3,300,0.9059460570414861,0.03474084855988622,4.047858305772146,0.09893044810121258,0.04228704002996286,0.003409610941816936,31.102755784988403,excess,True,True
f4_excess_strat_ldhn,4,300,0.8999403466780981,0.034409682676196096,4.023471946716309,0.10039219666272402,0.04081191550940275,0.00330902922428019,31.051076650619507,excess,True,True
f4_excess_strat_ldhn,5,300,0.891776583592097,0.033798329929510755,3.989724578062693,0.0977811672911048,0.04151840655133128,0.003058391494390283,31.08216404914856,excess,True,True
f4_excess_strat_ldhn,6,300,0.8855145585536957,0.03365935685113072,3.964894104003906,0.09430589285989602,0.04062552732725938,0.003290544230355105,30.993672609329224,excess,True,True
f4_excess_strat_ldhn,7,300,0.8876199511686961,0.03350672699511051,3.9800996565818787,0.09477542695899804,0.039260919193426766,0.0033117327476793433,30.955476760864258,excess,True,True
f4_excess_strat_ldhn,8,300,0.8808659579356511,0.033045421950519085,3.9485872189203897,0.09438861587395271,0.03944160429139932,0.003236685605661478,31.10216450691223,excess,True,True
