feature_group,alpha,feature,gain_auc,gain_positive_count,gain_direction,gain_strength,risk_auc,risk_positive_count,risk_direction,risk_strength
all,0.25,bright_channel_max,0.5,1779,high,0.0,0.5,304,high,0.0
all,0.25,bright_channel_mean,0.4524054567557268,1779,low,0.0475945432442732,0.506015530835677,304,high,0.006015530835676963
all,0.25,bright_channel_min,0.48559323798222054,1779,low,0.014406762017779462,0.4824203055946163,304,low,0.017579694405383706
all,0.25,bright_channel_range,0.5144067620177795,1779,high,0.014406762017779462,0.5175796944053837,304,high,0.01757969440538365
all,0.25,bright_channel_std,0.507250902685563,1779,high,0.007250902685563054,0.5050534853354761,304,high,0.0050534853354761156
all,0.25,dark_channel_max,0.6129698875501354,1779,high,0.11296988755013537,0.4444956244977903,304,low,0.05550437550220971
all,0.25,dark_channel_mean,0.42877043771537504,1779,low,0.07122956228462496,0.5173843034351145,304,high,0.017384303435114545
all,0.25,dark_channel_min,0.5,1779,high,0.0,0.5,304,high,0.0
all,0.25,dark_channel_range,0.6129698875501354,1779,high,0.11296988755013537,0.4444956244977903,304,low,0.05550437550220971
all,0.25,dark_channel_std,0.5323930377575562,1779,high,0.0323930377575562,0.4941618119726798,304,low,0.005838188027320224
all,0.25,depth_far_ratio_lt_0_33,0.5062493267762471,1779,high,0.006249326776247122,0.46809634265769384,304,low,0.03190365734230616
all,0.25,depth_grad_mean,0.5571169820748235,1779,high,0.05711698207482352,0.39885653123744474,304,low,0.10114346876255526
all,0.25,depth_image_edge_mismatch,0.5536863696064028,1779,high,0.05368636960640283,0.4536476119927682,304,low,0.04635238800723179
all,0.25,depth_luma_std_ratio,0.4328971296002114,1779,low,0.06710287039978857,0.5312091954600241,304,high,0.031209195460024097
all,0.25,depth_max,0.5,1779,high,0.0,0.5,304,high,0.0
all,0.25,depth_mean,0.4995777359587023,1779,low,0.000422264041297693,0.5207553861992769,304,high,0.02075538619927686
all,0.25,depth_min,0.5,1779,high,0.0,0.5,304,high,0.0
all,0.25,depth_near_ratio_gt_0_66,0.443023772605609,1779,low,0.05697622739439101,0.5369524344616312,304,high,0.03695243446163121
all,0.25,depth_range,0.5,1779,high,0.0,0.5,304,high,0.0
all,0.25,depth_std,0.42646133681644594,1779,low,0.07353866318355406,0.5411231292687827,304,high,0.0411231292687827
all,0.25,filename_param_1,0.5321278215429791,1779,high,0.03212782154297911,0.4452057804339092,304,low,0.05479421956609082
all,0.25,filename_param_2,0.4456981115338277,1779,low,0.05430188846617229,0.5329449578143833,304,high,0.032944957814383335
all,0.25,input_edge_mean,0.5451311100430049,1779,high,0.04513111004300485,0.38160719666532744,304,low,0.11839280333467256
all,0.25,input_highfreq_energy,0.6705724959018211,1779,high,0.1705724959018211,0.35501676124949777,304,low,0.14498323875050223
all,0.25,input_luma_contrast,0.5189285627001002,1779,high,0.018928562700100238,0.502864164825231,304,high,0.002864164825230997
