label,split,name,fold,bucket,selected_alpha,delta_psnr,delta_ssim,a0_psnr
heldout,val_hard,736_0.78_1.76.png,4,hard_bottom25_by_a0_fulltrain,1.0,0.08575820922851562,0.0025467872619628906,33.931880950927734
heldout,val_hard,738_0.93_1.46.png,4,hard_bottom25_by_a0_fulltrain,1.0,0.5936203002929688,0.00046306848526000977,32.739479064941406
heldout,val_hard,739_0.97_1.72.png,0,hard_bottom25_by_a0_fulltrain,1.0,-0.024898529052734375,0.00018829107284545898,31.012990951538086
heldout,val_hard,745_0.97_1.58.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,34.71355056762695
heldout,val_hard,756_0.9_1.88.png,2,hard_bottom25_by_a0_fulltrain,1.0,2.0298728942871094,0.0020179152488708496,27.564537048339844
heldout,val_hard,757_0.87_1.78.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.599876403808594
heldout,val_hard,767_0.76_1.75.png,4,hard_bottom25_by_a0_fulltrain,1.0,0.5405845642089844,-0.00014191865921020508,34.87406921386719
heldout,val_hard,775_0.6_1.49.png,0,hard_bottom25_by_a0_fulltrain,1.0,4.309806823730469,0.0005570054054260254,33.15933609008789
heldout,val_hard,781_0.51_1.6.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,34.63966751098633
heldout,val_hard,783_0.77_1.38.png,1,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.46023941040039
heldout,val_hard,784_0.73_1.21.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,34.5540771484375
heldout,val_hard,78_0.95_1.86.png,1,hard_bottom25_by_a0_fulltrain,1.0,-0.022748947143554688,0.003290414810180664,31.18315887451172
heldout,val_hard,791_0.89_1.37.png,2,mid_by_a0_fulltrain,1.0,-0.04259490966796875,0.00012761354446411133,36.3046989440918
heldout,val_hard,802_0.9_1.9.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.61903381347656
heldout,val_hard,807_0.72_0.62.png,4,hard_bottom25_by_a0_fulltrain,1.0,1.7686691284179688,0.0006875395774841309,35.16727066040039
heldout,val_hard,808_0.74_0.67.png,0,hard_bottom25_by_a0_fulltrain,1.0,1.7744407653808594,0.0008418560028076172,34.7693977355957
heldout,val_hard,810_0.78_1.52.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,23.838165283203125
heldout,val_hard,812_0.59_0.82.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,36.51600646972656
heldout,val_hard,817_0.57_1.49.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.34801483154297
heldout,val_hard,821_0.5_1.55.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,33.95121383666992
heldout,val_hard,822_0.75_1.92.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,31.80467987060547
heldout,val_hard,833_0.95_1.89.png,3,hard_bottom25_by_a0_fulltrain,1.0,0.40728759765625,0.0003879070281982422,35.16368103027344
heldout,val_hard,840_0.64_1.72.png,0,hard_bottom25_by_a0_fulltrain,1.0,-0.14250564575195312,-0.0005820393562316895,29.9968318939209
heldout,val_hard,844_0.99_1.22.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.742095947265625
heldout,val_hard,845_0.6_1.37.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.29087829589844
heldout,val_hard,855_0.54_1.96.png,1,mid_by_a0_fulltrain,0.0,0.0,0.0,36.82237243652344
heldout,val_hard,856_0.91_1.72.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.788848876953125
heldout,val_hard,860_0.73_1.11.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,34.820064544677734
heldout,val_hard,867_0.89_1.83.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,36.0933952331543
heldout,val_hard,86_0.74_0.98.png,3,hard_bottom25_by_a0_fulltrain,1.0,-1.6808433532714844,-5.424022674560547e-05,35.95412826538086
heldout,val_hard,875_0.87_1.74.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.436214447021484
heldout,val_hard,879_0.76_1.47.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,34.86975860595703
heldout,val_hard,88_0.98_1.99.png,4,hard_bottom25_by_a0_fulltrain,1.0,-0.9873981475830078,-0.00045043230056762695,29.199832916259766
heldout,val_hard,892_0.84_0.9.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,34.15712356567383
heldout,val_hard,899_0.93_1.74.png,4,mid_by_a0_fulltrain,1.0,1.0509223937988281,0.0004475116729736328,37.18638610839844
heldout,val_hard,905_0.65_1.3.png,1,hard_bottom25_by_a0_fulltrain,1.0,2.9748802185058594,0.0012196898460388184,32.324989318847656
heldout,val_hard,907_0.73_1.72.png,1,hard_bottom25_by_a0_fulltrain,1.0,3.840984344482422,0.001980602741241455,31.085704803466797
heldout,val_hard,911_0.58_1.46.png,2,hard_bottom25_by_a0_fulltrain,1.0,3.5382957458496094,0.0001036524772644043,35.421234130859375
heldout,val_hard,929_0.67_0.83.png,4,mid_by_a0_fulltrain,0.0,0.0,0.0,37.37812423706055
heldout,val_hard,932_0.81_1.54.png,4,hard_bottom25_by_a0_fulltrain,1.0,2.4513092041015625,0.0011006593704223633,35.67013931274414
heldout,val_hard,937_0.96_1.89.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,31.789531707763672
heldout,val_hard,950_0.79_1.26.png,2,hard_bottom25_by_a0_fulltrain,1.0,-0.8535423278808594,-0.000831902027130127,32.81529235839844
heldout,val_hard,952_0.74_0.72.png,1,hard_bottom25_by_a0_fulltrain,1.0,-0.8487358093261719,-8.082389831542969e-05,35.17384338378906
heldout,val_hard,953_0.95_0.84.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.65346145629883
heldout,val_hard,955_0.94_0.9.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.98907470703125
heldout,val_hard,972_0.52_0.9.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,36.177764892578125
heldout,val_hard,978_0.96_1.69.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,31.94434356689453
heldout,val_hard,987_0.56_1.81.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.07011413574219
heldout,val_hard,996_0.93_0.78.png,1,mid_by_a0_fulltrain,0.0,0.0,0.0,37.009498596191406
