feature_group,alpha,coverage_target,risk_weight,score,oof_gate_pass,heldout_gate_pass,oof_mean_delta,oof_hard_bottom25_delta,oof_easy_top25_delta,oof_worst_ratio,oof_strong_ratio,heldout_mean_delta,heldout_hard_bottom25_delta,heldout_easy_top25_delta,heldout_worst_ratio,heldout_strong_ratio,gain_features,risk_features
all,1.0,0.2,2.0,0.5237511681035976,False,False,0.055712629159291586,0.33238324063977553,-0.10486600535958786,0.07833333333333334,0.06332842415316642,0.21404539426167807,0.41726520234738257,-0.060116673859072406,0.07166666666666667,0.056338028169014086,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.3,2.0,0.5168432049140965,False,False,0.07571180820465089,0.4669020563816559,-0.12645150073673658,0.11666666666666667,0.09572901325478646,0.2719006284077962,0.5365580522477833,-0.12633208153953016,0.11666666666666667,0.09859154929577464,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.3,1.5,0.5107330179338554,False,False,0.07498734951019287,0.4577663280958726,-0.13071348389750553,0.11541666666666667,0.09720176730486009,0.2719006284077962,0.5365580522477833,-0.12633208153953016,0.11666666666666667,0.09859154929577464,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.2,1.5,0.5001672514580922,False,False,0.05093557914098104,0.3173263740125809,-0.10794743241547484,0.07958333333333334,0.0662739322533137,0.21404539426167807,0.41726520234738257,-0.060116673859072406,0.07166666666666667,0.056338028169014086,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.3,1.0,0.4895839195210043,False,False,0.07018589973449707,0.44641867945871744,-0.1410967527678859,0.11708333333333333,0.10309278350515463,0.2719006284077962,0.5365580522477833,-0.12633208153953016,0.11666666666666667,0.09859154929577464,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.3,0.5,0.4660748923595405,False,False,0.06585801362991334,0.43348753840183746,-0.14133523033715137,0.11916666666666667,0.1134020618556701,0.2719006284077962,0.5365580522477833,-0.12633208153953016,0.11666666666666667,0.09859154929577464,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.2,1.0,0.46062985789573135,False,False,0.039639505545298256,0.2965850540459027,-0.11054848852143548,0.08208333333333333,0.07069219440353461,0.21404539426167807,0.41726520234738257,-0.060116673859072406,0.07166666666666667,0.056338028169014086,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,0.75,0.3,0.5,0.44268575090361373,False,False,0.15213983058929442,0.20927049384458463,0.12622966962991303,0.07875,0.11487481590574374,0.17908149401346843,0.2659693589260009,0.08714541582994058,0.058333333333333334,0.15492957746478872,"udp_a0_luma_shift_mean,input_highfreq_energy,input_edge_mean","udp_a0_luma_shift_mean,input_edge_mean,input_highfreq_energy"
all,0.75,0.3,1.0,0.44268575090361373,False,False,0.15213983058929442,0.20927049384458463,0.12622966962991303,0.07875,0.11487481590574374,0.17908149401346843,0.2659693589260009,0.08714541582994058,0.058333333333333334,0.15492957746478872,"udp_a0_luma_shift_mean,input_highfreq_energy,input_edge_mean","udp_a0_luma_shift_mean,input_edge_mean,input_highfreq_energy"
all,0.75,0.3,1.5,0.44268575090361373,False,False,0.15213983058929442,0.20927049384458463,0.12622966962991303,0.07875,0.11487481590574374,0.17908149401346843,0.2659693589260009,0.08714541582994058,0.058333333333333334,0.15492957746478872,"udp_a0_luma_shift_mean,input_highfreq_energy,input_edge_mean","udp_a0_luma_shift_mean,input_edge_mean,input_highfreq_energy"
