name,t_l1,t_rmse,t_pred_mean,t_gt_mean,t_pred_std,t_gt_std,spearman_tpred_tgt,spearman_depth_neglogt,rank_loss,tv_loss,proxy_loss,confidence_mean,airlight,stage2_gate_mean,stage2_gate_max,stage2_conf_mean,stage2_conf_min,stage2_gamma_abs_mean,stage2_beta_abs_mean,stage2_delta_abs_mean,stage3_gate_mean,stage3_gate_max,stage3_conf_mean,stage3_conf_min,stage3_gamma_abs_mean,stage3_beta_abs_mean,stage3_delta_abs_mean,output_delta_abs_mean
1001_0.89_1.66.png,0.18594126403331757,0.21709880232810974,0.2758539021015167,0.45859789848327637,0.21836461126804352,0.19351816177368164,0.8521301633682261,0.6113952936231312,0.5775682926177979,0.027660081163048744,0.2529774010181427,0.9470785856246948,0.8899999856948853,7.539253419963643e-05,8.029511081986129e-05,0.48108232021331787,0.1377507597208023,0.0010515409521758556,0.0009080872405320406,1.1189781190523718e-07,8.960770355770364e-05,0.00010165960702579468,0.48333701491355896,0.14078933000564575,0.0013852280098944902,0.0013808519579470158,2.1273373818075925e-07,0.000896499608643353
1003_0.9_1.06.png,0.1930805891752243,0.22918657958507538,0.32753339409828186,0.5177175402641296,0.22485867142677307,0.1961594969034195,0.8441096083762957,0.6007051011214437,0.5837445259094238,0.03131480887532234,0.20959608256816864,0.9466876983642578,0.8999999761581421,7.538484351243824e-05,8.027465810300782e-05,0.48091691732406616,0.1380259096622467,0.0010554023319855332,0.0009114962886087596,1.1811709299536233e-07,8.959163096733391e-05,0.00010161141108255833,0.48306044936180115,0.1410682052373886,0.0013870570110157132,0.0013828102964907885,2.1501327296391537e-07,0.0009688257123343647
1006_0.89_1.55.png,0.04706452041864395,0.05922559276223183,0.2791139483451843,0.29597070813179016,0.2309611290693283,0.24085621535778046,0.8403500785712494,0.8039626313856569,0.5943083167076111,0.02866310626268387,0.2468165159225464,0.9476891160011292,0.8899999856948853,7.543218816863373e-05,8.0498204624746e-05,0.48138102889060974,0.14463284611701965,0.0010522388620302081,0.0009088390506803989,9.724750071882227e-08,8.9851557277143e-05,0.00010218622628599405,0.48501068353652954,0.1492125689983368,0.001386778661981225,0.0013822444016113877,2.263918048583946e-07,0.0006019585416652262
1010_0.91_1.13.png,0.07161419093608856,0.09381722658872604,0.3775027096271515,0.4087565541267395,0.25456199049949646,0.2794443666934967,0.9663367377020221,0.9712390111884518,0.5628865361213684,0.02912846766412258,0.19820623099803925,0.9652332067489624,0.9100000262260437,7.673165237065405e-05,8.059744141064584e-05,0.49014973640441895,0.13430912792682648,0.0010427795350551605,0.0008969385526143014,1.0925970173047972e-07,9.272588067688048e-05,0.00010244429722661152,0.49974751472473145,0.1373092234134674,0.0013973434688523412,0.001391833764500916,2.392592648448044e-07,0.0006575846928171813
1012_0.85_1.28.png,0.06905888766050339,0.09140453487634659,0.36186131834983826,0.39701446890830994,0.2564249634742737,0.2772408723831177,0.9694347276024391,0.9711039163716897,0.5578997135162354,0.02779572084546089,0.21230249106884003,0.9654197096824646,0.8500000238418579,7.674847438465804e-05,8.059766696533188e-05,0.4902471899986267,0.1343071013689041,0.0010431032860651612,0.0008972239447757602,1.0686316187502598e-07,9.275221236748621e-05,0.00010244427539873868,0.49987053871154785,0.13730712234973907,0.0013975594192743301,0.0013920558849349618,2.3791159264874295e-07,0.0006364487926475704
1013_0.63_1.83.png,0.06031106412410736,0.07771372050046921,0.26909708976745605,0.3249821364879608,0.22392629086971283,0.24858742952346802,0.9759580719345609,0.9790437339538439,0.574871838092804,0.022952619940042496,0.2789838910102844,0.9754035472869873,0.6299999952316284,7.757679850328714e-05,8.058959792833775e-05,0.49536874890327454,0.13464851677417755,0.001045470591634512,0.000901702675037086,1.0146954565470878e-07,9.447926277061924e-05,0.00010241928976029158,0.5086401700973511,0.13738587498664856,0.0014046862488612533,0.0013990660663694143,2.254684119407102e-07,0.0007560416706837714
1017_0.91_1.44.png,0.061823680996894836,0.1050901785492897,0.32321858406066895,0.34812086820602417,0.2978273630142212,0.311161071062088,0.9115599316279768,0.9397873915821043,0.519989013671875,0.022598646581172943,0.23645378649234772,0.9763220548629761,0.9100000262260437,7.801987521816045e-05,8.055101352510974e-05,0.49635034799575806,0.13474711775779724,0.0011150988284498453,0.0009581889607943594,1.1414503120477093e-07,9.558721649227664e-05,0.00010231882333755493,0.5110607147216797,0.1377510279417038,0.0014435302000492811,0.0014401389053091407,2.2800328736138908e-07,0.0010193379130214453
1019_0.82_1.87.png,0.06348756700754166,0.10570167005062103,0.29640695452690125,0.3222693204879761,0.29078856110572815,0.2996896207332611,0.9245785720475358,0.940381652130175,0.5361087918281555,0.021407056599855423,0.24713720381259918,0.9764619469642639,0.8199999928474426,7.802262553013861e-05,8.054108184296638e-05,0.4964098036289215,0.13484477996826172,0.001113499398343265,0.0009569056564942002,1.1391028209573051e-07,9.559425961924717e-05,0.00010229770850855857,0.5111678242683411,0.1378498524427414,0.0014427861897274852,0.001439343555830419,2.2516825026741571e-07,0.0010224815923720598
1035_0.76_1.14.png,0.03816032037138939,0.05500316619873047,0.3227739632129669,0.33713653683662415,0.30238139629364014,0.3019190728664398,0.9694921388337147,0.9270845938975228,0.5208081603050232,0.021178383380174637,0.23692986369132996,0.9694685339927673,0.7599999904632568,7.722034933976829e-05,8.042572881095111e-05,0.4925161600112915,0.13606280088424683,0.0010654593352228403,0.0009182055364362895,1.072535980028988e-07,9.362161654280499e-05,0.00010200570977758616,0.5033418536186218,0.14016009867191315,0.0014103521825745702,0.0014056481886655092,2.2396784515876789e-07,0.000668433029204607
1038_0.87_1.29.png,0.10958307236433029,0.13791672885417938,0.3499475121498108,0.2546892762184143,0.25280892848968506,0.20392154157161713,0.9443383681051701,0.8749261578793517,0.5527361631393433,0.03136011213064194,0.1665453165769577,0.9658225178718567,0.8700000047683716,7.710941281402484e-05,8.051746408455074e-05,0.49091488122940063,0.1350887566804886,0.0011004992993548512,0.000946779502555728,1.2391842574288603e-07,9.362123819300905e-05,0.00010223480785498396,0.5017101168632507,0.1380959004163742,0.0014291646657511592,0.0014254898997023702,2.3414686722844635e-07,0.0010709087364375591
1039_0.79_1.79.png,0.07582318782806396,0.09969311207532883,0.2769918143749237,0.2186949998140335,0.23471929132938385,0.19721734523773193,0.9486384397555203,0.8747648715823964,0.5665048956871033,0.02726493962109089,0.20814462006092072,0.9665370583534241,0.7900000214576721,7.717826520092785e-05,8.052135672187433e-05,0.49129441380500793,0.13505221903324127,0.0011028845328837633,0.0009486690978519619,1.1876248606768058e-07,9.379538096254691e-05,0.00010224634752376005,0.5024816393852234,0.13805925846099854,0.0014311248669400811,0.0014275023713707924,2.334429041184194e-07,0.0009691616869531572
1040_0.78_2.0.png,0.06601253896951675,0.08834654092788696,0.25280916690826416,0.20474234223365784,0.22793306410312653,0.19427120685577393,0.9499044893507911,0.8737238113409677,0.5714290738105774,0.025663141161203384,0.22821871936321259,0.9668275713920593,0.7799999713897705,7.720750727457926e-05,8.052289922488853e-05,0.4914504885673523,0.1350340098142624,0.0011040978133678436,0.0009496338898316026,1.1700181090645856e-07,9.385855810251087e-05,0.00010224767902400345,0.5027496218681335,0.13804121315479279,0.0014319545589387417,0.001428357558324933,2.3355333667041123e-07,0.0009160205372609198
