gamma,count,mean_delta,hard_delta,easy_delta,p05_delta,cvar5_delta,worst_delta,severe_count,strong_reference_regression_count,residual_energy_hard_mean,residual_energy_easy_mean,residual_energy_easy_to_hard_ratio,fold_pass_count,global_gate_pass,gate_pass
0.0,160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1000000000000.0,0,False,False
0.03125,160,-0.00021330442710587594,0.0025034180634908587,-0.0012881885325260356,-0.012502644576157351,-0.018174417058937742,-0.03993999714067087,0,4,1.0667671863917593e-09,3.0627677460176584e-10,0.28710741997766026,0,False,False
0.0625,160,-0.0004691946272769032,0.0049953545652802415,-0.0026399980822697346,-0.02500478749987955,-0.03638933408948297,-0.07988515721537937,0,11,4.267068745567037e-09,1.2251070984070634e-09,0.28710741997766026,0,False,False
0.125,160,-0.0011085906683568458,0.009944651027192197,-0.005534231819415858,-0.050007162049152495,-0.07293668617588533,-0.15977716618868243,0,18,1.706827498226815e-08,4.9004283936282535e-09,0.28710741997766026,0,False,False
0.25,160,-0.0028967988118476563,0.01970400675175892,-0.012083279657075252,-0.100001444764586,-0.14647436046341955,-0.319476513711642,1,23,6.82730999290726e-08,1.9601713574513014e-08,0.28710741997766026,0,False,False
0.5,160,-0.008501676172210936,0.038658193661472676,-0.028206630229218276,-0.19980030298271634,-0.29511593164515393,-0.6378781514673904,8,24,2.730923997162904e-07,7.840685429805206e-08,0.28710741997766026,0,False,False
0.75,160,-0.01679128532584573,0.05684486724583833,-0.048325636023042226,-0.29914265115090793,-0.4454835767568053,-0.9538823538771908,18,25,6.144578993616534e-07,1.764154221706171e-07,0.28710741997766026,0,False,False
1.0,160,-0.02773813378540042,0.07424560991061382,-0.07238662811512456,-0.39807800150753353,-0.5971844126265609,-1.2664573955922975,27,25,1.0923695988651615e-06,3.136274171922082e-07,0.28710741997766026,0,False,False
