baseline_psnr_db,best_global_minus_keep_psnr_db,bidirectional_scene,cross_observation_transfer_psnr_db,cross_observation_transfer_raw_psnr_db,dataset,direction_and_strength_stable_scene,edge_local_minus_global_psnr_db,exact_alpha_agreement_fraction,exact_alpha_stable_cell_count,global_endpoint_selection_fraction,hazy_psnr_db,interior_local_minus_global_psnr_db,joint_useful_bidirectional_scene,keep_supported_scene,local_endpoint_selection_fraction,local_minus_keep_psnr_db,material_utility_scene,maximum_full_image_padded_pixels,near_clear_cell_mitigation_fraction,near_clear_damaged_cell_count,near_clear_damaged_scene,near_clear_exposed_cell_count,near_clear_exposed_scene,near_clear_mitigated_cell_count,near_clear_mitigated_scene,negative_tail_scene,nested_variants,null_local_minus_global_psnr_db,primary_clipped_high,primary_clipped_low,primary_local_minus_global_psnr_db,primary_raw_local_minus_global_psnr_db,repeat_keep_supported_cells,repeat_strengthen_cells,repeat_weaken_cells,scene_id_sha256,selected_candidate_saturation_fraction,spatial_specificity_psnr_db,spatial_specificity_raw_psnr_db,stable_cell_count,unresolved_cell_fraction,whole_image_inference_before_scoring_crop
39.48070869646439,0.021177282276441427,False,0.08162396920564599,0.08162396920564599,HAZE4K_TRAIN,False,0.9309089234278343,0.6875,11,0.0,20.318123078431732,0.6682201431996103,False,True,0.0,0.9379284225720054,True,173056,0.0,0,False,0,False,0,False,False,2,-0.7232763907995003,True,False,0.25,0.9167511402955639,9,0,2,bf405b9fec5cc791fc28097b0934892f3691bf15bd3577629ec20953e897522b,0.00038178369341563786,0.25,4.681350795968427,11,0.0,True
31.65203894267559,3.354848844704164,False,0.25,3.518318770949257,HAZE4K_TRAIN,True,4.865815445967057,1.0,16,0.0,14.163531530062883,0.2174789776721992,False,True,0.0,6.837512158505155,True,173056,0.0,0,False,0,False,0,False,False,2,2.1827323079958347,True,False,0.25,3.4826633138009906,9,7,0,ae448763d643b01ebea6b2ef3adabae818dad312f9f10cc643ce37f1fcb0c7c6,0.002620241769547325,0.25,6.3639737050455025,16,0.0,True
33.20244603222908,0.8314080181644227,False,-0.25,-1.7053281279746202,HAZE4K_TRAIN,True,3.4724163208360297,0.6875,11,0.0,11.691426039677399,0.39773985021392066,False,True,0.0625,3.7233808292328345,True,173056,0.0,0,False,0,False,0,False,False,2,-0.06732752200661574,True,False,0.25,2.8919728110684124,10,3,0,033919e41c6f22bdda9c35753ec9f7ec2922fc9c10799bde662883b47861fd0b,0.02969071502057613,0.25,6.229509344893353,13,0.0,True
40.36642408964002,0.16418122059374887,False,-0.25,-2.3734096219857155,HAZE4K_TRAIN,False,1.043207494887949,0.6875,11,0.0,21.889955520137256,-0.01855155663170545,False,True,0.03125,1.0163537068834225,True,307200,0.0,0,False,2,True,0,False,False,2,-6.443659928554085,True,False,0.25,0.852172486289674,10,1,0,8cc5598ce6f9fd3c856324cb5bfdf5d2cb3ef3ce49237cf5f5f25d0dd446895a,0.0,0.25,5.090531741702677,11,0.0,True
42.08127356808815,0.167540253721818,False,-0.25,-0.541095754161354,HAZE4K_TRAIN,True,0.7818962014760513,0.8125,13,0.0,20.905007768517976,-0.0026529467726609766,False,True,0.0,0.7326410962919065,True,307200,0.0,0,False,1,True,0,False,False,2,0.642893931359739,True,False,0.25,0.5651008425700887,11,0,2,bf8db3b11f04ae3a55ca6eb35d2c2cfbb1514bcf8f3b3eaa53f4086a46d6d9d9,0.0011805555555555556,0.25,3.396589837082408,13,0.0,True
40.625653865049635,1.0515513441400144,False,-0.25,-1.1594068908760005,HAZE4K_TRAIN,True,-1.0558126709759565,0.875,14,0.0,17.41562259404803,-0.34546562577550277,False,True,0.0,0.10535994895708017,False,307200,0.0,0,False,1,True,0,False,True,2,-8.385368756212312,False,True,-0.25,-0.9461913951829342,14,0,0,8e41785ecc7351eb699df3e018c1c7629d5215882760f8c3e5c608085b71ac5a,0.00025205761316872427,0.25,2.619955618692862,14,0.0,True
35.72602528177213,1.9778025890770001,False,-0.25,-2.01276892117014,HAZE4K_TRAIN,False,0.3334278167200766,0.6875,11,0.0,16.24795653190111,2.562739533069456,False,True,0.0,2.63472151972609,True,307200,0.0,0,False,0,False,0,False,False,2,-2.6942343705932883,True,False,0.25,0.6569189306490903,9,2,0,2ee927fa0de76402cb40d96bef90c2ef706faa6889719da3294542bfb5deeefa,1.286008230452675e-06,0.25,3.6282753747176484,11,0.03125,True
44.24919117460213,0.05865676793542621,False,-0.056459270617056946,-0.056459270617056946,HAZE4K_TRAIN,True,-0.02579562578905646,0.9375,15,0.0,19.99437347112714,0.14266722418766084,False,True,0.03125,0.07178094190848996,False,307200,0.0,0,False,1,True,0,False,False,2,0.08399971341029466,False,False,0.013124173973063924,0.013124173973063924,15,0,0,041760644c03fd7325ca0794b8fc418e8f6544b146f9462aa20f409992ac6a2d,0.0,0.25,2.300522650295264,15,0.0,True
42.30563698530956,0.665815838194582,False,-0.25,-5.24538819141817,HAZE4K_TRAIN,False,2.422992205006869,0.625,10,0.0,22.6486030211467,-2.6586717078637574,False,True,0.0,2.393738538101494,True,307200,0.0,0,False,0,False,0,False,False,2,-3.207839681021319,True,False,0.25,1.7279226999069126,9,1,0,034a26453c12e609818ad0acae3749e51263405b9df2ad70b9481c211ae06bb9,0.0,0.25,4.826787462389794,10,0.0,True
37.3333736793609,0.747804447584459,False,-0.25,-1.5817261720688216,HAZE4K_TRAIN,True,-0.39645046682241797,0.8125,13,0.0,13.79009209932293,-0.6583178502617814,False,True,0.03125,0.29910833684154575,False,307200,0.0,0,False,1,True,0,False,True,2,-3.8487282812792234,False,True,-0.25,-0.4486961107429127,13,0,1,adbc587eec5e229c7f5bfa8fddd5ad15bd14974aa7900efe0e51fd6480a56fa0,0.0,0.25,7.123808890679847,14,0.0,True
