step,weighted_target_l1,corr,mean_output_gain
0,0.006688854286768924,,0.0
50,0.018880819340365246,0.4200575742870569,0.3005443811416626
100,0.01576606094514282,0.011769862527216901,-0.05344116687774658
150,0.016775870951988202,0.05545130872633308,0.07667505741119385
200,0.014048053419347296,0.4471379497554153,0.15319973230361938
250,0.015945211650462615,0.1805563010275364,0.043398141860961914
300,0.014095457338118712,0.24818198330467567,0.08079016208648682
350,0.016378571222913377,0.29085390199907124,0.07212674617767334
400,0.015236099095210556,0.2785975693841465,0.13393044471740723
450,0.015170447146093533,0.35429090063553303,0.21390032768249512
500,0.015209988085327565,0.2558161278429907,0.1402970552444458
550,0.014673800470434076,0.24297742056660354,0.12664580345153809
600,0.013456111890019681,0.3866501465672627,0.23237347602844238
650,0.014635680646202716,0.4256347658665618,0.17874693870544434
700,0.014194440059570055,0.3549680537544191,0.2146773338317871
750,0.014286769696599227,0.4164695973304333,0.16893446445465088
800,0.013834467912605631,0.3899218487786129,0.22486555576324463
