image_id,hazy_file,gt_file,width,height,pixels
01,01_hazy.png,01_GT.png,1600,1200,1920000
02,02_hazy.png,02_GT.png,1600,1200,1920000
03,03_hazy.png,03_GT.png,1600,1200,1920000
04,04_hazy.png,04_GT.png,1600,1200,1920000
05,05_hazy.png,05_GT.png,1600,1200,1920000
06,06_hazy.png,06_GT.png,1600,1200,1920000
07,07_hazy.png,07_GT.png,1600,1200,1920000
08,08_hazy.png,08_GT.png,1600,1200,1920000
09,09_hazy.png,09_GT.png,1600,1200,1920000
10,10_hazy.png,10_GT.png,1600,1200,1920000
11,11_hazy.png,11_GT.png,1600,1200,1920000
12,12_hazy.png,12_GT.png,1600,1200,1920000
13,13_hazy.png,13_GT.png,1600,1200,1920000
14,14_hazy.png,14_GT.png,1600,1200,1920000
15,15_hazy.png,15_GT.png,1600,1200,1920000
16,16_hazy.png,16_GT.png,1600,1200,1920000
17,17_hazy.png,17_GT.png,1600,1200,1920000
18,18_hazy.png,18_GT.png,1600,1200,1920000
19,19_hazy.png,19_GT.png,1600,1200,1920000
20,20_hazy.png,20_GT.png,1600,1200,1920000
21,21_hazy.png,21_GT.png,1600,1200,1920000
22,22_hazy.png,22_GT.png,1600,1200,1920000
23,23_hazy.png,23_GT.png,1600,1200,1920000
24,24_hazy.png,24_GT.png,1600,1200,1920000
25,25_hazy.png,25_GT.png,1600,1200,1920000
26,26_hazy.png,26_GT.png,1600,1200,1920000
27,27_hazy.png,27_GT.png,1600,1200,1920000
28,28_hazy.png,28_GT.png,1600,1200,1920000
29,29_hazy.png,29_GT.png,1600,1200,1920000
30,30_hazy.png,30_GT.png,1600,1200,1920000
31,31_hazy.png,31_GT.png,1600,1200,1920000
32,32_hazy.png,32_GT.png,1600,1200,1920000
33,33_hazy.png,33_GT.png,1600,1200,1920000
34,34_hazy.png,34_GT.png,1600,1200,1920000
35,35_hazy.png,35_GT.png,1600,1200,1920000
36,36_hazy.png,36_GT.png,1600,1200,1920000
37,37_hazy.png,37_GT.png,1600,1200,1920000
38,38_hazy.png,38_GT.png,1600,1200,1920000
39,39_hazy.png,39_GT.png,1600,1200,1920000
40,40_hazy.png,40_GT.png,1600,1200,1920000
41,41_hazy.png,41_GT.png,1600,1200,1920000
42,42_hazy.png,42_GT.png,1600,1200,1920000
43,43_hazy.png,43_GT.png,1600,1200,1920000
44,44_hazy.png,44_GT.png,1600,1200,1920000
45,45_hazy.png,45_GT.png,1600,1200,1920000
46,46_hazy.png,46_GT.png,1600,1200,1920000
47,47_hazy.png,47_GT.png,1600,1200,1920000
48,48_hazy.png,48_GT.png,1600,1200,1920000
49,49_hazy.png,49_GT.png,1600,1200,1920000
50,50_hazy.png,50_GT.png,1600,1200,1920000
51,51_hazy.png,51_GT.png,1600,1200,1920000
52,52_hazy.png,52_GT.png,1600,1200,1920000
53,53_hazy.png,53_GT.png,1600,1200,1920000
54,54_hazy.png,54_GT.png,1600,1200,1920000
55,55_hazy.png,55_GT.png,1600,1200,1920000
