alpha,group,bin,count,A0_mean_PSNR,candidate_mean_PSNR,mean_dPSNR,mean_bootstrap_LCB,median_dPSNR,p5_dPSNR,p95_dPSNR,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,best_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
0.0,A0-PSNR_q4,q1,14,10.077588558197021,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.21531701192718142
0.125,A0-PSNR_q4,q1,14,10.077588558197021,,0.010919843401227678,-0.021147026334490095,0.025304794311523438,-0.0921715259552002,0.09870848655700683,0.06040763854980469,0.043317159016927086,0.02760473887125651,-0.09741020202636719,0.11330127716064453,0.0034309732062476023,0.5714285714285714,0.3259026690286936,0.5714285714285714,0,0.0,0.21531701192718142
0.25,A0-PSNR_q4,q1,14,10.077588558197021,,0.017459801265171597,-0.046706836564200264,0.04261445999145508,-0.1914949893951416,0.19394421577453613,0.11857446034749348,0.08487224578857422,0.04730796813964844,-0.19530296325683594,0.22140216827392578,0.006164565682411194,0.5714285714285714,0.3259026690286936,0.5714285714285714,0,0.0,0.21531701192718142
0.375,A0-PSNR_q4,q1,14,10.077588558197021,,0.019588266100202287,-0.07818364415849957,0.04900169372558594,-0.2956710338592529,0.2854143619537354,0.17438952128092447,0.12461090087890625,0.05890655517578125,-0.29951000213623047,0.3238344192504883,0.008231578128678458,0.5714285714285714,0.3259026690286936,0.5714285714285714,3,128.57142857142856,0.4758972377320828
0.5,A0-PSNR_q4,q1,14,10.077588558197021,,0.017290524074009488,-0.11422949518476212,0.0453333854675293,-0.40151267051696776,0.37282152175903316,0.22773869832356772,0.1624736785888672,0.06225395202636719,-0.41875362396240234,0.4201202392578125,0.00967144753251757,0.5714285714285714,0.3259026690286936,0.5714285714285714,4,171.42857142857142,0.546495411724844
0.75,A0-PSNR_q4,q1,14,10.077588558197021,,-0.0005550384521484375,-0.195750321660723,0.00809621810913086,-0.6221613883972168,0.534264850616455,0.3265978495279948,0.2323598861694336,0.04393227895100912,-0.6815280914306641,0.5923843383789062,0.010839402675628662,0.5714285714285714,0.3259026690286936,0.5714285714285714,4,171.42857142857142,0.546495411724844
1.0,A0-PSNR_q4,q1,14,10.077588558197021,,-0.03585726874215262,-0.29566145624433243,-0.06764554977416992,-0.8526167392730712,0.6759456634521483,0.4142862955729167,0.29412587483723956,-0.0075677235921223955,-0.9713544845581055,0.7345771789550781,0.009984791278839111,0.42857142857142855,0.21380509930400526,0.42857142857142855,4,171.42857142857142,0.546495411724844
0.0,A0-PSNR_q4,q2,14,11.648230825151716,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.21531701192718142
0.125,A0-PSNR_q4,q2,14,11.648230825151716,,0.007739816393171038,-0.020046142169407435,-0.013212203979492188,-0.07619118690490723,0.14290037155151367,-0.016655604044596355,-0.03562323252360026,-0.03563467661539713,-0.0932474136352539,0.1633281707763672,0.0009475435529436384,0.42857142857142855,0.21380509930400526,0.42857142857142855,0,0.0,0.21531701192718142
0.25,A0-PSNR_q4,q2,14,11.648230825151716,,0.011191027505057198,-0.04365272521972657,-0.03026866912841797,-0.15525460243225098,0.2787417888641357,-0.03566106160481771,-0.0727386474609375,-0.07476043701171875,-0.19109344482421875,0.32318592071533203,0.001427005444254194,0.42857142857142855,0.21380509930400526,0.42857142857142855,0,0.0,0.21531701192718142
