selected_threshold,selected_coverage,selected_spearman,selected_auroc,selected_auprc,selected_precision,selected_recall,selected_false_global,selected_false_p90,selected_false_p95,selected_ldhn_recall,selected_ldhn_precision,safe_points,ldhn_passing_points,safe_and_ldhn_points,best_safe_ldhn_recall,best_safe_false_p90,best_safe_false_p95,best_safe_and_ldhn_threshold,best_safe_and_ldhn_recall,first_ldhn_false_global,first_ldhn_false_p90,first_ldhn_false_p95,selected_gate_pass,variant,target_contract,spec
0.5132026076316833,0.29731608072916665,0.5226141032789422,0.8499852386047211,0.6439747250717298,0.6273696974341849,0.4385866382955924,0.00682846276702573,0.05741626794258373,0.14285714285714285,0.07979159216524152,0.6064891274428846,44,93,0,0.05206574533866273,0.034807149576669805,0.09615384615384616,nan,nan,0.009452097154169602,0.07920792079207921,0.2,False,f4_global_strat_control,global_v2e_contract,tail2_topk10
0.5132026076316833,0.29731608072916665,0.36832544143567403,0.73683400753047,0.42455527638344676,0.4022108052181244,0.35931001093008413,0.007528425341270163,0.06666666666666667,0.1891891891891892,0.0719086384505575,0.6412744288466832,44,92,0,0.0464408349087542,0.043478260869565216,0.1,nan,nan,0.012207858347510637,0.1111111111111111,0.28125,False,f4_global_strat_control,density_conditioned_contract,tail2_topk10
0.4599088132381439,0.29629842122395833,0.30537976707443126,0.7115521322360193,0.570540487419249,0.5665952102699459,0.3947441436821419,0.22313643855180482,0.9577464788732394,1.0,0.6660676374862502,0.448887261855733,17,122,0,0.0488110704213876,0.02564102564102564,0.05660377358490566,nan,nan,0.01282169806208099,0.08333333333333333,0.2545454545454545,False,f4_excess_strat_ldhn,global_v2e_contract,tail2_topk10
0.4599088132381439,0.29629842122395833,0.42523259796331386,0.7706088403437864,0.4873297840711266,0.5104582227269794,0.4544506471245565,0.21033460898318282,0.9622641509433962,1.0,0.6428565916894942,0.5083115971872665,17,122,0,0.04505960878120298,0.02857142857142857,0.06521739130434782,nan,nan,0.012189406324615367,0.08450704225352113,0.3,False,f4_excess_strat_ldhn,density_conditioned_contract,tail2_topk10
0.51926189661026,0.29766764322916667,0.5379870127576577,0.8581930259546239,0.6561607082224895,0.6419237015206111,0.4492918074696038,0.007163191334036795,0.058823529411764705,0.15151515151515152,0.07266208869554983,0.5785755478662054,43,92,0,0.050395404525763535,0.03076923076923077,0.09900990099009901,nan,nan,0.01048816176634671,0.08727810650887574,0.2222222222222222,False,f4_global_strat_control,global_v2e_contract,tail3_cap128_temp04
0.51926189661026,0.29766764322916667,0.38815128808405086,0.749579264357235,0.437380313408314,0.41648121517658443,0.372498245562557,0.00781996730301543,0.08333333333333333,0.21428571428571427,0.06553493576141055,0.6122404844290658,41,91,0,0.036166518770014276,0.037037037037037035,0.09876543209876543,nan,nan,0.012510471522993066,0.13615023474178403,0.3333333333333333,False,f4_global_strat_control,density_conditioned_contract,tail3_cap128_temp04
0.45876044034957886,0.29419637044270835,0.3142851880259926,0.7219063025659945,0.5770951431357644,0.5702853459877154,0.3944963432695877,0.20220155760359848,0.9652173913043478,1.0,0.6252370842820477,0.4522276935971817,18,121,0,0.04948101741409514,0.025,0.08108108108108109,nan,nan,0.009283138925106875,0.09803921568627451,0.24545454545454545,False,f4_excess_strat_ldhn,global_v2e_contract,tail3_cap128_temp04
0.45876044034957886,0.29419637044270835,0.4133059666659334,0.7651765664433599,0.4819599475223141,0.5000228210401692,0.44200208820846876,0.19040273385171216,0.9629629629629629,1.0,0.6061113468883831,0.5143536283510353,18,120,0,0.044990161657471356,0.027777777777777776,0.09090909090909091,nan,nan,0.010812885416628224,0.12903225806451613,0.32558139534883723,False,f4_excess_strat_ldhn,density_conditioned_contract,tail3_cap128_temp04
0.5031057000160217,0.298642578125,0.517865754298486,0.8476874205259104,0.6417597376825755,0.6301339066740786,0.4424844718119855,0.0016863943995128901,0.011210762331838564,0.02459016393442623,0.026245626106204706,0.5929637962773573,54,81,0,0.04832219018346589,0.03389830508474576,0.0913978494623656,nan,nan,0.011320201347202784,0.10526315789473684,0.25,False,f4_global_strat_control,global_v2e_contract,tail4_topk20
0.5031057000160217,0.298642578125,0.3305825626784204,0.7129477508379248,0.4121899880561406,0.39354364910674383,0.35313585825612587,0.002029722518479701,0.0196078431372549,0.04225352112676056,0.023137466723253213,0.6133156064634895,52,81,0,0.0343686099000733,0.03614457831325301,0.0892018779342723,nan,nan,0.013041889782376841,0.13725490196078433,0.32432432432432434,False,f4_global_strat_control,density_conditioned_contract,tail4_topk20
0.4174581468105316,0.2999137369791667,0.3391766066367176,0.7344492106780922,0.5846932289362954,0.5896701525503752,0.41583301122468896,0.14922199517353285,0.8198198198198198,0.9894736842105263,0.5368131345823922,0.4778346361511806,21,117,0,0.05233281880197182,0.03333333333333333,0.06103286384976526,nan,nan,0.015174361704501621,0.12096774193548387,0.2692307692307692,False,f4_excess_strat_ldhn,global_v2e_contract,tail4_topk20
0.4174581468105316,0.2999137369791667,0.42460768437861346,0.7722691373138819,0.47375079827799277,0.49741814866470935,0.448244706733861,0.14357519014809594,0.8333333333333334,1.0,0.5091593039854933,0.5317471190265131,21,117,0,0.048014969713337706,0.03625377643504532,0.07142857142857142,nan,nan,0.014879711262745735,0.13636363636363635,0.28888888888888886,False,f4_excess_strat_ldhn,density_conditioned_contract,tail4_topk20
