policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,best_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count
A0,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
CEILING_ALPHA_SECANT_Q3_RAW,600,0.4163768537399268,0.3471364007006734,0.05768316107357166,0.029865894915984015,0.00033385962138510195,1.8736374545904795,1.0,0,0
CEILING_FULL_CLIP_P99_D7C,600,0.2434092141507017,0.14272539206673684,0.0029205274435597063,0.0005809217524692656,-0.025186011276801423,1.2817259307125966,0.9833333333333333,0,0
CEILING_HALF_BILINEAR_P99_D7C,600,0.2419147147832037,0.14002581926927604,0.00290123491948151,0.0005359041806702435,-0.02914232950219997,1.2804774947759014,0.9833333333333333,0,0
CEILING_HALF_SMOOTH3_P99_D7C,600,0.23989719970052714,0.13717558503370952,0.0027807774438727505,0.0005389461622076653,-0.032559627221644405,1.2788379246407047,0.9816666666666667,0,0
CEILING_QUARTER_BILINEAR_P99_D7C,600,0.2401682617501785,0.13725919906072193,0.0027001098874833928,0.0005285848592350817,-0.03201485789190883,1.2786523327894557,0.9833333333333333,0,0
HARD_D7C_ALPHA1,600,0.008634343867902773,0.0019312297462281691,-0.13134300922241735,-0.1759438353143171,-0.3497653327339876,0.6653993149518982,0.5166666666666667,23,0
PRIMARY_CC_MIN4_FROM_OPEN_TOP_0.5_RAW,600,0.38260323780122446,0.3075830278287057,0.04615802005952432,0.02175374361990592,0.0,1.7633830147728204,0.9983333333333333,0,0
PRIMARY_FULL_CLIP_P99_D7C,600,0.22964086484805668,0.1305933613120729,0.0024537244463978423,0.0004804098723482752,-0.018075797959021145,1.2494713111130764,0.985,0,0
PRIMARY_HALF_BILINEAR_P99_D7C,600,0.22821993709972466,0.12923374331400694,0.002395750308184574,0.00048239798702987,-0.018774944301995333,1.248174373644268,0.9833333333333333,0,0
PRIMARY_HALF_SMOOTH3_P99_D7C,600,0.22630278308280471,0.12875185769434516,0.002268256494058107,0.0003982997594636828,-0.018685105039239147,1.2464875579827748,0.9783333333333334,0,0
PRIMARY_QUARTER_BILINEAR_P99_D7C,600,0.2265582177600098,0.1290011933479427,0.002248651671548885,0.00042843615563477045,-0.019013748496384153,1.2463607208954741,0.9783333333333334,0,0
