fold,head,step,loss
0,linear,120,1.0503794328542426e-05
0,linear,240,1.0122036655957345e-05
0,linear,360,1.0154182746191509e-05
0,context,120,9.760387911228463e-06
0,context,240,9.78086973191239e-06
0,context,360,9.949670129572041e-06
0,context,480,9.938908078765962e-06
1,linear,120,1.0298535926267505e-05
1,linear,240,1.0017304703069385e-05
1,linear,360,1.0070900316350162e-05
1,context,120,9.967507139663212e-06
1,context,240,9.919939657265786e-06
1,context,360,9.74818249233067e-06
1,context,480,9.886342922982294e-06
2,linear,120,9.950656021828763e-06
2,linear,240,1.0156853022635914e-05
2,linear,360,1.0207440936937928e-05
2,context,120,9.80641652859049e-06
2,context,240,1.016384794638725e-05
2,context,360,9.73631176748313e-06
2,context,480,9.943596523953602e-06
3,linear,120,1.0163887054659426e-05
3,linear,240,1.0250020750390831e-05
3,linear,360,1.0109536560776178e-05
3,context,120,9.710680387797765e-06
3,context,240,9.96618746285094e-06
3,context,360,9.97724237095099e-06
3,context,480,9.895246876112651e-06
4,linear,120,1.0237397873424925e-05
4,linear,240,1.0267924153595231e-05
4,linear,360,1.0048773219750728e-05
4,context,120,9.712925930216443e-06
4,context,240,9.683671123639215e-06
4,context,360,1.0052064681076445e-05
4,context,480,9.732009857543744e-06
99,linear,120,1.0275657587044407e-05
99,linear,240,1.0166813808609731e-05
99,linear,360,1.0352480785513762e-05
99,context,120,1.058061116054887e-05
99,context,240,9.925362064677756e-06
99,context,360,9.961127943824977e-06
99,context,480,9.967754522222094e-06
