n,mean,ci95_low,ci95_high,policy
600,0.23477487028279892,0.21282598968178584,0.25676984001315883,CEILING_FULL_CLIP_P99_D7C
600,0.23328037091530093,0.21147188047303034,0.2552884705388594,CEILING_HALF_BILINEAR_P99_D7C
600,0.2312628558326244,0.20946717799817527,0.2532250796647008,CEILING_HALF_SMOOTH3_P99_D7C
600,0.23153391788227576,0.20971559153399572,0.2534713660462881,CEILING_QUARTER_BILINEAR_P99_D7C
600,0.22100652098015391,0.19996765545856815,0.2421197671001916,PRIMARY_FULL_CLIP_P99_D7C
600,0.21958559323182195,0.19865244967989568,0.24075731507495932,PRIMARY_HALF_BILINEAR_P99_D7C
600,0.21766843921490192,0.19673861877018695,0.23891654432447904,PRIMARY_HALF_SMOOTH3_P99_D7C
600,0.21792387389210707,0.19703846890583207,0.23914293158568029,PRIMARY_QUARTER_BILINEAR_P99_D7C
