K,low_size,step,loss,loss_field,loss_coeff,loss_tv,count,coeff_mse,coeff_mae,lowspace_weighted_field_l1,lowspace_zero_field_l1,lowspace_field_l1_drop,lowspace_field_corr
16,32,1,0.1534339189529419,0.006709779147058725,0.7336141467094421,0.0012954112607985735,26,0.0259056705981493,0.10368040204048157,0.010534611092914245,0.011238165398022932,0.06260401766577126,0.2715013027191162
16,32,100,0.039593346416950226,0.003186458256095648,0.1820213347673416,0.002623602282255888,26,0.005817164666950703,0.03171661123633385,0.006526960768949076,0.011238165398022932,0.4192147438853918,0.7937030792236328
16,32,200,0.006224033422768116,0.00214963685721159,0.020357636734843254,0.002868928946554661,26,0.0003129755496047437,0.00532595906406641,0.005201245452524724,0.011238165398022932,0.5371802008324463,0.8845149874687195
16,32,300,0.0026962135452777147,0.0021039301063865423,0.0029469516593962908,0.002893042052164674,26,2.7868793040397577e-05,0.0015839457046240568,0.005141978982358094,0.011238165398022932,0.5424538792370244,0.8889961838722229
16,32,400,0.002256308449432254,0.002099762437865138,0.0007682596333324909,0.002893977565690875,26,2.9479062959580915e-06,0.0007814521668478847,0.005135088225199543,0.011238165398022932,0.5430670360036762,0.8893804550170898
16,32,500,0.002130796667188406,0.0020996318198740482,0.00014135733363218606,0.002893302822485566,26,2.970861601170327e-07,0.0002787852718029171,0.005134895999031474,0.011238165398022932,0.543084140767778,0.8894169926643372
16,32,600,0.0021092132665216923,0.002099524950608611,3.3973086829064414e-05,0.0028936262242496014,26,9.177409054927921e-08,0.00014796617324464023,0.005134749482695302,0.011238165398022932,0.5430971781569766,0.8894205093383789
16,32,700,0.002283924026414752,0.0021024243906140327,0.0008930645999498665,0.0028866161592304707,26,5.5118848649726715e-06,0.0014002312673255801,0.005139307405933084,0.011238165398022932,0.5426916027737754,0.8893356919288635
16,32,800,0.0021030069328844547,0.002099561272189021,2.7612732083071023e-06,0.002893442288041115,26,1.7813881925121677e-08,5.2822211728198454e-05,0.005134814782455156,0.011238165398022932,0.5430913676214006,0.889421284198761
16,32,900,0.002103450708091259,0.0020995894446969032,4.839070697926218e-06,0.0028933477587997913,26,3.226132605504972e-08,0.00010703596490202472,0.0051348278424071265,0.011238165398022932,0.5430902055142854,0.8894208669662476
16,32,1000,0.0021027910988777876,0.0020995577797293663,1.6997588545564213e-06,0.0028934350702911615,26,1.5898802274705304e-08,6.016351835569367e-05,0.005134808252479171,0.011238165398022932,0.5430919486749582,0.8894216418266296
16,32,1100,0.002130076987668872,0.002099107252433896,0.0001403726782882586,0.0028951799031347036,26,5.671354870173673e-07,0.0005064852884970605,0.005134191985995552,0.011238165398022932,0.5431467856044562,0.8894218802452087
16,32,1200,0.0021026195026934147,0.002099554054439068,8.604708909842884e-07,0.0028934660367667675,26,1.2056081466482738e-08,3.5536435461835936e-05,0.005134798457515193,0.011238165398022932,0.5430928202552946,0.8894215226173401
16,32,1300,0.0021026693284511566,0.002099510980769992,1.3238312703833799e-06,0.0028936010785400867,26,1.5506081751937018e-08,4.9039223085856065e-05,0.005134703364739906,0.011238165398022932,0.5431012818477271,0.8894214630126953
16,32,1400,0.0021027536131441593,0.0020995873492211103,1.3641313216794515e-06,0.0028933645226061344,26,1.5347186632652665e-08,5.3822681366000324e-05,0.005134870287251032,0.011238165398022932,0.5430864286661611,0.8894211053848267
16,32,1500,0.0021026916801929474,0.0020995677914470434,1.1526154821694945e-06,0.002893415279686451,26,1.4734350628486936e-08,4.917889600619674e-05,0.005134800906256187,0.011238165398022932,0.5430926023602105,0.8894211053848267
16,32,1600,0.0021028576884418726,0.002099597593769431,1.8331916180613916e-06,0.0028934055007994175,26,1.3604095627783863e-08,6.028910502209328e-05,0.0051348539623110685,0.011238165398022932,0.543087881300055,0.8894209861755371
16,32,1700,0.00210860138759017,0.0020992362406104803,3.235229814890772e-05,0.0028947261162102222,26,1.779258980150189e-07,0.0002566474722698331,0.0051342352470864555,0.011238165398022932,0.5431429361246372,0.8894236087799072
16,32,1800,0.0021026115864515305,0.002099541947245598,8.804183266875043e-07,0.0028935065492987633,26,1.219921941242319e-08,3.207383997505531e-05,0.00513477723509324,0.011238165398022932,0.5430947086793568,0.8894215226173401
16,32,1900,0.0021388453897088766,0.0020988991018384695,0.00018525058112572879,0.00289619667455554,26,1.2887287539342651e-06,0.0006659790524281561,0.00513383161294586,0.011238165398022932,0.543178852497666,0.889413595199585
16,32,2000,0.002108742715790868,0.002099565463140607,3.1418334401678294e-05,0.0028936308808624744,26,1.3002652110571944e-07,0.00025395292323082685,0.005134878449721014,0.011238165398022932,0.543085702349214,0.8894194960594177
32,32,1,0.1539471596479416,0.006673958618193865,0.7363584637641907,0.0015061905141919851,26,0.014108018949627876,0.06933782994747162,0.010498503590703194,0.011238165398022932,0.06581695331249196,0.280630886554718
32,32,100,0.040667928755283356,0.0025586960837244987,0.19052916765213013,0.00339914346113801,26,0.003305107820779085,0.021498339250683784,0.005665538580665316,0.011238165398022932,0.495866239727881,0.8236119747161865
32,32,200,0.007379838731139898,0.0014497991651296616,0.029631827026605606,0.003673992119729519,26,0.00024894686066545546,0.0048523228615522385,0.004212449144547026,0.011238165398022932,0.6251657636852276,0.9204406142234802
32,32,300,0.0025063029024749994,0.0013681312557309866,0.005672207102179527,0.0037302200216799974,26,1.8722301319940016e-05,0.0013844035565853119,0.004088158397888676,0.011238165398022932,0.6362254644687929,0.9273321628570557
32,32,400,0.0017049664165824652,0.0013634817441925406,0.001688772696070373,0.003730227705091238,26,3.3875455756060546e-06,0.0007389328093267977,0.004080262024428379,0.011238165398022932,0.6369281034833144,0.9277839660644531
