feature,positive_gain_auroc,positive_gain_auprc,gain_spearman,harmful_gain_auroc_inverted,mean,p90
d7c_score,0.49223702322101043,0.48689129370965173,-0.015069061514363899,0.4854428721621273,0.5047240257263184,0.682708740234375
d7c_gate,0.49225127558057624,0.49108995913685705,-0.01904294123232041,0.4902382760561797,0.30211323499679565,1.0
control_change,0.5320342057763143,0.5197297646704225,0.033662286505244325,0.5096696901322588,0.0006065680645406246,0.0012584428768604994
residual_abs_input_a0,0.4735289200152662,0.4681378970418066,-0.06103377162338926,0.4650056306750999,0.1252652257680893,0.2842526137828827
score_x_change,0.5250184613611892,0.5154657240450552,0.0234359296987418,0.502655705745562,0.0003203896339982748,0.0007184309652075171
gate_x_change,0.4970660541994271,0.5011460365939394,-0.013926934039467532,0.4902915017746221,0.00020151727949269116,0.0007745027542114258
control_change_inside_gate,0.4970660541994271,0.5011460365939394,-0.013926934039467532,0.4902915017746221,0.00020151727949269116,0.0007745027542114258
