candidate,kind,selected,train_pass,train_fail_count,train_hard_mean_b,train_easy_mean_b,train_ratio,train_hard_bce,test_hard_mean_b,test_easy_mean_b,test_ratio,test_hard_bce,test_auc_z,test_spearman_z
base_power_g1,base_power,False,False,3,0.7932885008749753,0.17069683144886483,4.6473534051076895,0.6473162951052189,0.7823520310468931,0.14615736544632463,5.352806057072827,0.4770446471931954,0.97664,-0.7466395691194065
base_power_g1.5,base_power,False,False,2,0.7290337091471567,0.09226708539602237,7.901341047222299,0.5422692899841582,0.7180211880406737,0.06670878484529967,10.76351772417671,0.6011234410760351,0.97664,-0.7466395691194065
base_power_g2,base_power,False,False,1,0.6778767399381123,0.05629863124534845,12.040732162455908,0.5004503327420831,0.6680039305041424,0.03310023834628661,20.181242307552246,0.752212950652472,0.97664,-0.7466395691194065
base_power_g2.5,base_power,False,False,1,0.635682042386042,0.03750877565165184,16.94755510789506,0.48821141566128395,0.6275018256326885,0.017536014427818908,35.78360568848687,0.9143144500583252,0.97664,-0.7466395691194065
base_power_g3,base_power,False,True,0,0.5999896253267897,0.026631405388114898,22.529401531116864,0.49220121552609664,0.593687242223383,0.009792981945173135,60.623745203166195,1.0816752124382794,0.97664,-0.7466395691194065
base_power_g4,base_power,False,True,0,0.5422971391015418,0.015247797326066107,35.56560514970152,0.5263938473144228,0.5396084817313459,0.0034593835004524073,155.98400167566783,1.4227055939320798,0.97664,-0.7466395691194065
base_power_g5,base_power,False,False,1,0.49713118696980857,0.009716056544754511,51.16594213711106,0.5789031655416169,0.49746146568277855,0.0013927873258800059,357.1697246515846,1.7550896382671732,0.97664,-0.7466395691194065
base_power_g6,base_power,False,False,1,0.4604199467525168,0.006612847816094921,69.62506314328101,0.6374781803068095,0.4631302681870866,0.0006210525709659336,745.7183012168716,2.07043182647919,0.97664,-0.7466395691194065
base_power_g8,base_power,False,False,1,0.4035914173738077,0.003463648887151948,116.52203514937351,0.7587374615910677,0.4096126632045061,0.000154251216397369,2655.490652010785,2.6067860458052157,0.97664,-0.7466395691194065
shifted_b0.02_g1,shifted_power,False,False,3,0.7890698988520155,0.15408859868304878,5.120884384672004,0.6359034736486653,0.7779102357621358,0.1288842301897684,6.035728611768446,0.49095854315545484,0.97664,-0.7466395691194065
shifted_b0.02_g1.5,shifted_power,False,False,2,0.7244910300310442,0.08419957895497006,8.604449559284639,0.5376028496222572,0.713402761599336,0.058293722293970264,12.238071845913472,0.6289897213204381,0.97664,-0.7466395691194065
shifted_b0.02_g2,shifted_power,False,False,1,0.6732040815317714,0.05192453931683487,12.965046784989125,0.5001477997336755,0.6633796847795363,0.028793202430426372,23.039454759590384,0.7920649870348042,0.97664,-0.7466395691194065
shifted_b0.02_g3,shifted_power,False,True,0,0.5952674556642565,0.02491558291071209,23.89137182932734,0.4979961289253434,0.5891867215513845,0.008472621190844753,69.54007600245849,1.1412806163920712,0.97664,-0.7466395691194065
shifted_b0.02_g4,shifted_power,False,True,0,0.5376374310440444,0.014362051540194761,37.434584435195084,0.5369159743538167,0.5352437973592797,0.002982397430192465,179.467629612576,1.490947193265707,0.97664,-0.7466395691194065
shifted_b0.05_g1,shifted_power,False,False,3,0.7824119619636609,0.13185667698539522,5.933806158715215,0.6222580143185434,0.770974429137026,0.10470732069295421,7.363137782866648,0.5551116618286632,0.97664,-0.7466395691194065
shifted_b0.05_g1.5,shifted_power,False,False,2,0.7174334901797551,0.07356514587039537,9.752355979062498,0.5343423270121286,0.7062538914289185,0.047066571406884944,15.005424663790297,0.7058777765701448,0.97664,-0.7466395691194065
shifted_b0.05_g2,shifted_power,False,False,1,0.6659810345740486,0.04610168033054057,14.445916717115015,0.5037100106553776,0.656251933892388,0.023157858373234082,28.338196188767,0.8787128541801793,0.97664,-0.7466395691194065
shifted_b0.05_g3,shifted_power,False,True,0,0.587995658965838,0.02256369840888567,26.059365282700426,0.5110827494081033,0.5822765043027208,0.006766656388172808,86.05084563189298,1.2447020842174685,0.97664,-0.7466395691194065
shifted_b0.05_g4,shifted_power,False,False,1,0.5304771705371073,0.013120556818042868,40.43099526139136,0.555081042016013,0.5285486339341214,0.002370008891210524,223.01546458087583,1.6046725454529267,0.97664,-0.7466395691194065
shifted_b0.1_g1,shifted_power,False,False,3,0.7705503123302824,0.10283421095579476,7.493131956460657,0.6206942865808164,0.758646125423574,0.07199770963030977,10.537086934001541,0.7310993435536988,0.97664,-0.7466395691194065
shifted_b0.1_g1.5,shifted_power,False,False,1,0.7050279904441105,0.059273854065029614,11.894417894112657,0.5453247745249427,0.6937078953830655,0.032313774182219,21.467869753350747,0.8975510257076033,0.97664,-0.7466395691194065
shifted_b0.1_g2,shifted_power,False,False,1,0.6533480007598367,0.03803911982591643,17.17568660236729,0.5220148774584659,0.6438379392033269,0.0157989303152206,40.75199563245476,1.0815654058848938,0.97664,-0.7466395691194065
shifted_b0.1_g3,shifted_power,False,True,0,0.5753436862620073,0.019142741503915452,30.05544875295561,0.538138648027967,0.5703129513329305,0.004550916259176198,125.31826974029354,1.4589224740330875,0.97664,-0.7466395691194065
shifted_b0.1_g4,shifted_power,False,False,1,0.5180623784915259,0.011253854839594709,46.034215464448195,0.588908270009568,0.5169704552455322,0.0015830981843196587,326.556154486212,1.814114916701189,0.97664,-0.7466395691194065
shifted_b0.15_g1,shifted_power,False,False,3,0.757682251498062,0.08120999433975178,9.329913856762595,0.6284504597903312,0.7452921987417093,0.049037139944953755,15.198525027730634,0.9671309543207949,0.97664,-0.7466395691194065
shifted_b0.15_g1.5,shifted_power,False,False,2,0.6917699524837705,0.0481356823683523,14.371250566057988,0.5656348223346083,0.6803367065133168,0.02169236261357809,31.362960256227122,1.1342896878882298,0.97664,-0.7466395691194065
shifted_b0.15_g2,shifted_power,False,False,2,0.6399150796129425,0.031540671227224835,20.28856884505963,0.5502790068499215,0.6307235096961016,0.010454830238305204,60.32843148281918,1.3140050135509498,0.97664,-0.7466395691194065
shifted_b0.15_g3,shifted_power,False,False,1,0.561972087318972,0.016225429054600348,34.63526822174466,0.5758402346409017,0.5577516389079021,0.0029639540159433603,188.1782362032976,1.6800911411514756,0.97664,-0.7466395691194065
shifted_b0.15_g4,shifted_power,False,False,1,0.5050001658273227,0.009600912323244485,52.5991852466647,0.6300545653533023,0.5048217432689003,0.001030548503826646,489.8573346081137,2.0283690434796227,0.97664,-0.7466395691194065
shifted_b0.2_g1,shifted_power,False,False,2,0.7440121136249398,0.06466603927779577,11.50545358791457,0.6507915318826766,0.7308700559706492,0.03220404358172758,22.694977856300675,1.2413938179980257,0.97664,-0.7466395691194065
shifted_b0.2_g1.5,shifted_power,False,False,2,0.6776155727117369,0.03941169223904336,17.19326256284053,0.5970169316934597,0.6661171212109553,0.013903193597214564,47.911087229944684,1.3969901603827237,0.97664,-0.7466395691194065
shifted_b0.2_g2,shifted_power,False,False,1,0.6255957452318518,0.026253535630916043,23.829009319992434,0.5862573148695875,0.6168699682113139,0.006605959311708264,93.38083071719599,1.5635147894279902,0.97664,-0.7466395691194065
shifted_b0.2_g3,shifted_power,False,False,1,0.5478088167502126,0.01370459984098932,39.97262401721223,0.6159785863209785,0.5445373622498603,0.0018680829983566086,291.49527228121076,1.9034656027121524,0.97664,-0.7466395691194065
shifted_b0.2_g4,shifted_power,False,False,1,0.49123098533904713,0.008126353989223388,60.449124661623635,0.6734439236949021,0.49203886014534753,0.0006556984328891401,750.4042033123743,2.2357179160740097,0.97664,-0.7466395691194065
