fold,phase,feature,direction,threshold,coverage,udp_accept_count,mean_delta,hard_bottom25_delta,easy_top25_delta,mean_ssim_delta,strong_regression_ratio,worst_regression_ratio,utility_score,mechanism_gate_pass,utility_gate_pass,promotion_gate_pass,feature_source,note
all,posthoc,udp_a0_luma_shift_mean,low,-0.003941523376852274,0.2,120,0.23582391421000162,0.524293581644694,0.04118237813313802,9.390284617741902e-05,0.06666666666666667,0.04833333333333333,0.48806672986348465,True,True,True,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,udp_a0_luma_shift_mean,low,-0.004575583408586681,0.15,90,0.2112187385559082,0.4555481974283854,0.07308298746744792,8.67992639541626e-05,0.02666666666666667,0.03166666666666667,0.4522143236796061,True,True,True,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,udp_a0_luma_shift_mean,low,-0.005482202582061291,0.1,60,0.1611432393391927,0.3405420430501302,0.07100067138671876,6.147056818008423e-05,0.013333333333333334,0.023333333333333334,0.3448017985026041,True,True,True,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,udp_a0_luma_shift_mean,low,-0.0026885244995355608,0.3,180,0.27064444541931154,0.5576696904500326,0.0627081298828125,0.00010751873254776001,0.12,0.08,0.49724625968933106,True,True,False,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,udp_a0_luma_shift_mean,low,-0.007018719427287578,0.05,30,0.11350674629211426,0.2707998275756836,0.05562810262044271,2.8724372386932374e-05,0.0,0.008333333333333333,0.2709866428375244,True,True,False,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,dark_channel_max,low,0.9490196108818054,0.20666666666666667,124,0.1112330404917399,0.2942989349365234,-0.007261759440104167,-6.479024887084961e-06,0.05333333333333334,0.075,0.2112190500895182,True,True,False,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,dark_channel_range,low,0.9490196108818054,0.20666666666666667,124,0.1112330404917399,0.2942989349365234,-0.007261759440104167,-6.479024887084961e-06,0.05333333333333334,0.075,0.2112190500895182,True,True,False,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,udp_a0_luma_shift_mean,low,-0.0015576479258015753,0.4,240,0.27394174575805663,0.6004653930664062,0.029063008626302084,0.00010491460561752319,0.18,0.12166666666666667,0.4712209815979003,True,False,False,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,udp_a0_luma_shift_mean,low,-0.00058150794939138,0.5,300,0.28757447242736817,0.5995085271199544,0.001992950439453125,0.00010039647420247395,0.24,0.15333333333333332,0.4352795886993408,True,False,False,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
all,posthoc,udp_a0_luma_shift_mean,low,6.35715150565371e-05,0.6,360,0.2857083797454834,0.6270167922973633,0.03456120808919271,4.926333824793498e-05,0.3333333333333333,0.19166666666666668,0.38025178845723473,True,False,False,udp_switch_feature_table,Threshold selected on train folds only for OOF rows; PSNR/SSIM delta labels excluded as router features.
