fold,split,name,choose_udp,a0_psnr,udpnet_psnr,udpnet_delta_psnr,switch_delta_psnr,delta_ssim,feature,feature_value,threshold,direction,bucket
0,val_regular,1031_0.76_0.7.png,False,42.88265609741211,42.50189971923828,-0.3807563781738281,0.0,0.0,udp_a0_luma_shift_mean,0.002103401580825448,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1037_0.89_0.54.png,False,35.92600631713867,35.36244201660156,-0.5635643005371094,0.0,0.0,udp_a0_luma_shift_mean,-0.0027549953665584326,-0.0039256124291568995,low,hard_bottom25_by_a0
0,val_regular,1076_0.71_1.18.png,False,35.264984130859375,35.30143737792969,0.0364532470703125,0.0,0.0,udp_a0_luma_shift_mean,0.0035619204863905907,-0.0039256124291568995,low,hard_bottom25_by_a0
0,val_regular,1122_0.94_0.53.png,False,40.95265197753906,42.30426025390625,1.3516082763671875,0.0,0.0,udp_a0_luma_shift_mean,0.0004467878316063434,-0.0039256124291568995,low,mid_by_a0
0,val_regular,1128_0.8_1.45.png,False,37.508033752441406,36.950931549072266,-0.5571022033691406,0.0,0.0,udp_a0_luma_shift_mean,0.0013917804462835193,-0.0039256124291568995,low,mid_by_a0
0,val_regular,1183_0.84_1.24.png,True,34.02747344970703,36.809669494628906,2.782196044921875,2.782196044921875,0.0005608797073364258,udp_a0_luma_shift_mean,-0.004693108145147562,-0.0039256124291568995,low,hard_bottom25_by_a0
0,val_regular,1233_0.54_0.63.png,False,37.283382415771484,35.32888412475586,-1.954498291015625,0.0,0.0,udp_a0_luma_shift_mean,0.000616310746408999,-0.0039256124291568995,low,mid_by_a0
0,val_regular,1376_0.65_1.6.png,False,40.26970672607422,38.527565002441406,-1.7421417236328125,0.0,0.0,udp_a0_luma_shift_mean,0.0034094909206032753,-0.0039256124291568995,low,mid_by_a0
0,val_regular,1413_0.65_1.47.png,False,40.04090118408203,37.393985748291016,-2.6469154357910156,0.0,0.0,udp_a0_luma_shift_mean,-0.0029475977644324303,-0.0039256124291568995,low,mid_by_a0
0,val_regular,1432_0.91_1.29.png,False,32.578590393066406,33.49134826660156,0.9127578735351562,0.0,0.0,udp_a0_luma_shift_mean,-0.002048735972493887,-0.0039256124291568995,low,hard_bottom25_by_a0
0,val_regular,1467_0.61_1.24.png,False,40.498504638671875,39.303794860839844,-1.1947097778320312,0.0,0.0,udp_a0_luma_shift_mean,-0.0016344015020877123,-0.0039256124291568995,low,mid_by_a0
0,val_regular,1534_0.7_0.91.png,False,45.483734130859375,46.09242248535156,0.6086883544921875,0.0,0.0,udp_a0_luma_shift_mean,-0.0013413353590294719,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1575_0.51_1.39.png,False,42.521217346191406,41.72882080078125,-0.7923965454101562,0.0,0.0,udp_a0_luma_shift_mean,-0.00028790030046366155,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1642_0.91_0.72.png,False,42.781009674072266,42.97706985473633,0.1960601806640625,0.0,0.0,udp_a0_luma_shift_mean,0.0004998531076125801,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1701_0.55_0.71.png,False,45.161842346191406,45.3714599609375,0.20961761474609375,0.0,0.0,udp_a0_luma_shift_mean,-0.0019230747129768133,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1739_0.98_1.18.png,False,35.712276458740234,36.479984283447266,0.7677078247070312,0.0,0.0,udp_a0_luma_shift_mean,0.0011214971309527755,-0.0039256124291568995,low,hard_bottom25_by_a0
0,val_regular,1744_0.79_1.18.png,False,45.941978454589844,44.570281982421875,-1.3716964721679688,0.0,0.0,udp_a0_luma_shift_mean,-2.4583006961620413e-05,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1778_0.61_0.57.png,False,48.499267578125,48.52613067626953,0.02686309814453125,0.0,0.0,udp_a0_luma_shift_mean,-0.00022652273764833808,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1900_0.59_0.94.png,False,46.69776153564453,48.392948150634766,1.6951866149902344,0.0,0.0,udp_a0_luma_shift_mean,-6.435457908082753e-05,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1919_0.59_0.94.png,False,49.67170333862305,49.19795227050781,-0.4737510681152344,0.0,0.0,udp_a0_luma_shift_mean,0.00039684385410510004,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,1944_0.99_1.3.png,False,37.30205154418945,36.281707763671875,-1.0203437805175781,0.0,0.0,udp_a0_luma_shift_mean,0.0036225474905222654,-0.0039256124291568995,low,mid_by_a0
0,val_regular,1953_0.73_0.63.png,False,46.21620559692383,44.85142135620117,-1.3647842407226562,0.0,0.0,udp_a0_luma_shift_mean,-0.001961529953405261,-0.0039256124291568995,low,easy_top25_by_a0
0,val_regular,2045_0.94_0.71.png,False,40.68414306640625,39.799949645996094,-0.8841934204101562,0.0,0.0,udp_a0_luma_shift_mean,0.0005801591323688626,-0.0039256124291568995,low,mid_by_a0
0,val_regular,2080_0.53_1.58.png,False,40.515220642089844,41.96865463256836,1.4534339904785156,0.0,0.0,udp_a0_luma_shift_mean,-0.003575590206310153,-0.0039256124291568995,low,mid_by_a0
0,val_regular,2189_0.81_0.71.png,False,43.01202392578125,44.22473907470703,1.2127151489257812,0.0,0.0,udp_a0_luma_shift_mean,-0.0004265253955963999,-0.0039256124291568995,low,easy_top25_by_a0
