feature,accept_auc,accept_pr_auc,accept_spearman,accept_brier_minmax,risk_auc,risk_pr_auc,risk_spearman,risk_brier_minmax,note
input_luma_mean,0.5263836264847387,0.49307110236920376,0.045697591151138556,0.2686068946083036,0.48167879855090345,0.47458538654717136,-0.0315846828382481,0.28779127494284756,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_luma_std,0.46306070067445193,0.46459818291477617,-0.06398047664011797,0.29921957449107667,0.5288753799392097,0.5129773084807577,0.049779471054220835,0.2675417560476635,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_luma_min,0.4980833120368004,0.481910587615564,-0.0033198258796910754,0.41754732515936793,0.5084736257696924,0.48744928039825686,0.01460820729356153,0.36519736011394305,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_luma_max,0.45452171690796567,0.46676050190983265,-0.07951522186168924,0.4468374334423874,0.5484359402864545,0.4999440707703963,0.08429031986062381,0.468727723133571,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_luma_range,0.485266502961144,0.48209173621851625,-0.025519092430798463,0.3724675093187168,0.5135768682914793,0.48325903276809035,0.02340575971324082,0.40236184478416825,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_saturation_mean,0.48428315870176336,0.47929001498465645,-0.027222254235959354,0.3590189072225734,0.5057145100326383,0.46140967654593695,0.009851482036172273,0.3227511912019452,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_saturation_std,0.4709718996877743,0.46300434999473356,-0.0502779350946934,0.3551267294872791,0.5217757040792292,0.48850805486509186,0.03754004391212653,0.3072056748524877,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_saturation_min,0.5,0.45585166924707216,,0.25,0.5,0.5150924558151716,,0.25,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_saturation_max,0.5033222591362126,0.45806933529198923,0.03338922864990756,0.49687972539703473,0.49570430354759476,0.5120201958579217,-0.04297048142604446,0.5464601599967139,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_saturation_range,0.5033222591362126,0.45806933529198923,0.03338922864990756,0.49687972539703473,0.49570430354759476,0.5120201958579217,-0.04297048142604446,0.5464601599967139,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
dark_channel_mean,0.5297503305592285,0.4953232018508929,0.05152886936499199,0.269261753993883,0.4808712524815218,0.47083946176988634,-0.0329768451672067,0.2873751356681811,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
dark_channel_std,0.44524939165990735,0.4552613692671093,-0.09483044025994325,0.30830900263352584,0.5439271413990736,0.5194672835894616,0.07572783001897686,0.26441143267955747,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
dark_channel_min,0.5,0.45585166924707216,,0.25,0.5,0.5150924558151716,,0.25,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
dark_channel_max,0.45496061067345195,0.4661502562135648,-0.07882081138708659,0.43096249999999997,0.5449309660269855,0.4992295483658065,0.07826325679149942,0.4421847222222222,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
dark_channel_range,0.45496061067345195,0.4661502562135648,-0.07882081138708659,0.43096249999999997,0.5449309660269855,0.4992295483658065,0.07826325679149942,0.4421847222222222,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
bright_channel_mean,0.5310947899421105,0.49941178539415837,0.05385753162200937,0.2708666300473535,0.4725378256822082,0.46742086451980597,-0.0473431869785433,0.29609615055482236,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
bright_channel_std,0.4829498105534506,0.4740812223399594,-0.029531671350356753,0.29228049787485344,0.5095503538622013,0.5003843341315805,0.016464253098725595,0.276283226213098,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
bright_channel_min,0.4885943177146413,0.472022027438807,-0.019781522314026134,0.40713606426393095,0.5195044807590933,0.5052839233602434,0.0336694937244855,0.3524461421333123,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
bright_channel_max,0.5,0.45585166924707216,,0.25,0.5,0.5150924558151716,,0.25,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
bright_channel_range,0.5114056822853588,0.49393749921831287,0.019781522314026134,0.38756242112853795,0.4804955192409067,0.471640093196876,-0.0336694937244855,0.4422523436091581,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_mean,0.4721830242558251,0.469932037767882,-0.04818021454911576,0.2914895388277675,0.5364573402572932,0.5050069117459423,0.06285032847610986,0.26415088733801523,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_std,0.5086278736430405,0.5097794490236687,0.014943853244413177,0.2820230068699139,0.5288865958568401,0.4826599540768596,0.049798806642123036,0.2740687676604216,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_min,0.5,0.45585166924707216,,0.25,0.5,0.5150924558151716,,0.25,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_max,0.5,0.45585166924707216,,0.25,0.5,0.5150924558151716,,0.25,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_range,0.5,0.45585166924707216,,0.25,0.5,0.5150924558151716,,0.25,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_luma_contrast,0.46306070067445193,0.46459818291477617,-0.06398047664011797,0.29921957449107667,0.5288753799392097,0.5129773084807577,0.049779471054220835,0.2675417560476635,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_highfreq_energy,0.4978277536417071,0.4820068587883075,-0.0037624253822057642,0.3152379231802691,0.486210029273545,0.4678518815419569,-0.02377310532575821,0.29365163059963817,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
input_edge_mean,0.5513172368581873,0.520588788330745,0.08888369119036994,0.315602787803069,0.4408079947060869,0.45559815232978684,-0.10204356515387472,0.3069973979205132,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_grad_mean,0.48036089289881,0.4852736227186355,-0.03401578958081171,0.4220900538764953,0.5082044437465651,0.4722295996868476,0.014143982550461271,0.3753318104808506,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
depth_near_ratio_gt_0_66,0.48456093956599516,0.48143040945386684,-0.026741126784676633,0.3696571271807554,0.5478246727756031,0.5062851709218606,0.0824469502502915,0.31908137953466587,AUC orientation uses high feature score as positive; values below 0.5 may still be useful after inversion.
