sots_indoor_id,ots_scene_id,correlation_score,score_gap,admitted
1400,5979,0.5740009546279907,0.053901731967926025,False
1401,3520,0.5816667079925537,0.02372676134109497,False
1402,2413,0.8356165885925293,0.0020943284034729004,False
1403,3886,0.5525627732276917,0.10644683241844177,False
1404,6461,0.7852907180786133,0.03505128622055054,False
1405,3459,0.7151432037353516,0.012099623680114746,False
1406,0055,0.7471316456794739,0.02410179376602173,False
1407,6748,0.5715863704681396,0.046746134757995605,False
1408,1819,0.6723843216896057,0.014745593070983887,False
1409,5240,0.5386067032814026,0.0022779107093811035,False
1410,0846,0.6859633922576904,0.01751410961151123,False
1411,7335,0.8397058844566345,0.005318701267242432,False
1412,7584,0.5893427133560181,0.010628461837768555,False
1413,3438,0.665880560874939,0.019731760025024414,False
1414,3093,0.7279573678970337,0.02905350923538208,False
1415,4643,0.7351058125495911,0.04091376066207886,False
1416,2288,0.6229036450386047,0.008990824222564697,False
1417,5195,0.6051353216171265,0.011415362358093262,False
1418,5720,0.7429651021957397,0.021845221519470215,False
1419,3313,0.5894084572792053,0.034060895442962646,False
1420,7692,0.5845924019813538,0.05278599262237549,False
1421,7228,0.5340865254402161,0.011054396629333496,False
1422,4642,0.7969920039176941,0.0019107460975646973,False
1423,7303,0.4642440676689148,0.03685519099235535,False
1424,1197,0.5569988489151001,0.04245138168334961,False
1425,0009,0.4815313220024109,0.0028152167797088623,False
1426,0044,0.39791589975357056,0.0005231499671936035,False
1427,4148,0.7532379627227783,0.007756710052490234,False
1428,3224,0.38645675778388977,0.005493134260177612,False
1429,8754,0.5152183175086975,0.00046646595001220703,False
1430,1113,0.8168650269508362,0.0006951689720153809,False
1431,8654,0.6066060066223145,0.013442933559417725,False
1432,6057,0.7664345502853394,0.00237429141998291,False
1433,4603,0.7087326645851135,0.017006397247314453,False
1434,2910,0.7391451597213745,0.005518972873687744,False
1435,0245,0.7134660482406616,0.03277963399887085,False
1436,2239,0.7331656217575073,0.06229555606842041,False
1437,4897,0.5885096192359924,0.03475528955459595,False
1438,6872,0.7265007495880127,0.027925848960876465,False
1439,1849,0.5712605714797974,0.03891336917877197,False
1440,8902,0.7026934623718262,0.0648236870765686,False
1441,6167,0.6197091341018677,0.01798778772354126,False
1442,0922,0.5032513737678528,0.0444527268409729,False
1443,8960,0.4871886372566223,0.012972235679626465,False
1444,1824,0.6238402128219604,0.005737185478210449,False
1445,4628,0.6419062614440918,0.023950397968292236,False
1446,7430,0.6935999989509583,0.017586469650268555,False
1447,1274,0.8115171194076538,0.01652705669403076,False
1448,0598,0.71711665391922,0.014747798442840576,False
1449,2300,0.7071281671524048,0.005589127540588379,False
