haze4k_group_digest,haze4k_representative_source,haze4k_representative_id,ots_scene_id,candidate_hamming_distance,correlation_score,score_gap,prequalified,reverse_score_gap,mutual_nearest,verified
0037f8a7968450e0b4cc3325f5ab0c3a966a229f92f54d3319018e2f6bb57c59,HAZE4K_TEST,649,8010,16,0.4880157709121704,0.03409528732299805,False,,False,False
0039d26e407effb0aa982139d26a306f5b2c6bdc05a48f871a8878141bd421b7,HAZE4K_TRAIN,1557,1186,17,0.41004079580307007,0.017115920782089233,False,,False,False
013638dc88a019784416ea3e3c0011262f3b7733033cee400e3976c19a71eadf,HAZE4K_TRAIN,2153,4742,17,0.7251352071762085,0.03573334217071533,False,,False,False
019bbb44abd3c673eeb1b109714ac4381837ab527b9b43f885c666a1fdbd89aa,HAZE4K_TRAIN,1877,5968,16,0.8134559988975525,0.05333191156387329,False,,False,False
01ebc5533ba9d17b531b492f9c800a7b382d414e36b5fb7ed2bbee1ea4eda307,HAZE4K_TRAIN,1873,0682,18,0.890828013420105,0.019280552864074707,False,,False,False
028274c26aff1216e9a20d8072b0af52e8aac3f406d766767006c19a9c939286,HAZE4K_TEST,957,2637,14,0.40522530674934387,0.030288398265838623,False,,False,False
0309b77884716b12b58584957090f013e44a3280db10e99c0f6704a551b1a8c0,HAZE4K_TRAIN,1709,1108,16,0.38664475083351135,0.0009790360927581787,False,,False,False
03612b035790c2908387fcab30082279c8472b248f938bbcf462a1d3d68accda,HAZE4K_TEST,761,1915,18,0.5683915615081787,0.060347795486450195,False,,False,False
047ae453ce6db9ec29746e8eb693bfc99723921b333201d0e0f3830559bf1888,HAZE4K_TRAIN,1857,1706,17,0.7089194059371948,0.006218910217285156,False,,False,False
049f919008bec16d6d084d711aaddfbe691d8ab446e5d2ec1e181ff19a31b227,HAZE4K_TEST,805,6063,15,0.74031662940979,0.05176889896392822,False,,False,False
04e2d69860df3a1e698bb6bcd58ee6ebb43452a42c56d732c3e8570012c62381,HAZE4K_TRAIN,2521,1796,17,0.7961280345916748,0.01375645399093628,False,,False,False
05026d4c3bdb3587510aff91e92dd995c700544e3c9d68bc8ffbfc7646d417a1,HAZE4K_TEST,717,0701,15,0.56766277551651,0.030599117279052734,False,,False,False
0560992d05593cf1aa3941388b228fd66c4fbc3c5590a66e0c21bdba7a2b487b,HAZE4K_TRAIN,1721,6023,18,0.6260225772857666,0.007161974906921387,False,,False,False
05c7135eeecb05b84a07cd548c8612668488622e5a434d91df5dd2b65df8e295,HAZE4K_TRAIN,2537,1161,18,0.5770020484924316,0.024103224277496338,False,,False,False
060d9bcf89ea3199d2cbfef361cbc110ee9f56fe71e44814444e4511ec399a92,HAZE4K_TRAIN,1021,1989,0,0.9999799728393555,0.11542057991027832,True,0.1407395601272583,True,True
06467bb84487e81dad41b88696a69002ed6d3c38536f5d87d8a2e4e8474c05dc,HAZE4K_TRAIN,2145,1243,18,0.6900222301483154,0.005729556083679199,False,,False,False
065169c021a48fa7d7df1e930275f0d1b0468d026a79902864fb104235679e43,HAZE4K_TRAIN,2613,4199,18,0.687644362449646,0.0020254850387573242,False,,False,False
06db0c77231439b6fa6d2c64a3b1f053a4fdba5960bc9777cdb4cf1f5d55dd9d,HAZE4K_TRAIN,2689,7524,17,0.7432640194892883,0.0005905032157897949,False,,False,False
07114f0d855e4d6188896c7ad0a20e6e9a56b034d4df138919cd7f29ad16cdad,HAZE4K_TEST,621,4274,18,0.43775704503059387,0.010378479957580566,False,,False,False
