action,calibration_scenes,cell,effective_raw_risk_maximum,effective_raw_utility_threshold,fold,model,quantile,risk_correction,risk_residual_max,risk_residual_mean,risk_residual_median,risk_structurally_unselectable,utility_correction,utility_residual_max,utility_residual_mean,utility_residual_median
weaken,120,R0_L0,0.06379084694716666,0.1519043244043986,0,R0_L0_fold_0,0.95,0.03620915305283334,0.06465507122675579,0.006940590567122456,0.0,False,0.10190432440439859,0.2136756397485733,0.01129601019357193,0.0
strengthen,120,R0_L0,-0.008537573115030922,0.843618464206656,0,R0_L0_fold_0,0.95,0.10853757311503093,0.3216487548828125,0.019318171196083225,0.0,True,0.7936184642066559,2.090195129175981,0.08995112314207825,0.0
weaken,120,R0_L0,0.049314957809448244,0.14579744183222454,1,R0_L0_fold_1,0.95,0.05068504219055176,0.07429359019597373,0.008221495314659896,0.0,False,0.09579744183222455,0.2507882645765941,0.011709241196715308,0.0
strengthen,120,R0_L0,0.006872133678860123,0.6528885071078937,1,R0_L0_fold_1,0.95,0.09312786632113988,0.36618961130777994,0.01821945400232518,0.0,False,0.6028885071078937,2.4403463658014934,0.08717896470370944,0.0
weaken,120,R0_L0,0.047172297668457035,0.14838080219096608,2,R0_L0_fold_2,0.95,0.05282770233154297,0.07522771027882895,0.008907522692774181,0.0,False,0.09838080219096608,0.15789922575950624,0.009994080613085102,0.0
strengthen,120,R0_L0,0.002474648091528142,0.5573840194816392,2,R0_L0_fold_2,0.95,0.09752535190847186,0.23136603844960532,0.014277041634508858,0.0,False,0.5073840194816391,1.5113560400247572,0.05774208915778057,0.0
weaken,120,R0_L0,0.06538749651776421,0.15974904473622642,3,R0_L0_fold_3,0.95,0.0346125034822358,0.06742690903345745,0.007764330848507859,0.0,False,0.1097490447362264,0.13871374968687694,0.010731855320702137,0.0
strengthen,120,R0_L0,0.04231346130371094,0.2749605923559931,3,R0_L0_fold_3,0.95,0.057686538696289064,0.26701040894190475,0.011392168653684635,0.0,False,0.2249605923559931,1.7024289230306946,0.03777549968078664,0.0
weaken,120,R0_L0,0.06820850575764975,0.08672423491477967,4,R0_L0_fold_4,0.95,0.03179149424235026,0.07350092871983846,0.0068174844573189826,0.0,False,0.03672423491477966,0.08824488836924235,0.003010610170637568,0.0
strengthen,120,R0_L0,0.01369407100809944,0.2764001956085364,4,R0_L0_fold_4,0.95,0.08630592899190057,0.20626660038630168,0.013139469821938763,0.0,False,0.22640019560853641,0.8704265643040339,0.03175402701072257,0.0
weaken,120,R0_L1,0.0739859487215678,0.1392575004510581,0,R0_L1_fold_0,0.95,0.02601405127843221,0.048750615851084395,0.00467629782381985,0.0,False,0.0892575004510581,0.1791870826224486,0.009657929191744232,0.0
strengthen,120,R0_L1,-0.024511771106719954,1.0390625530809166,0,R0_L1_fold_0,0.95,0.12451177110671996,0.3504070250034332,0.020689955134700844,0.0,True,0.9890625530809165,2.410430008276304,0.1043350387603938,0.0
weaken,120,R0_L1,0.04549886941909791,0.10824833149313925,1,R0_L1_fold_1,0.95,0.05450113058090209,0.09594435803095501,0.011178050123971921,0.0,False,0.05824833149313926,0.312117573723197,0.009457641112324262,0.0
strengthen,120,R0_L1,0.042984572378794356,0.3678815614740054,1,R0_L1_fold_1,0.95,0.05701542762120565,0.33270393088658656,0.01403061345490041,0.0,False,0.3178815614740054,2.1780365841468177,0.06056344347027165,0.0
weaken,120,R0_L1,0.04634809201558431,0.14420905854701999,2,R0_L1_fold_2,0.95,0.053651907984415693,0.07636353212992351,0.008972264947162734,0.0,False,0.09420905854701997,0.17349845371246336,0.008215498587315283,0.0
strengthen,120,R0_L1,0.004606248696645082,0.5847709832350414,2,R0_L1_fold_2,0.95,0.09539375130335492,0.2547367156982422,0.015712497230884102,0.0,False,0.5347709832350414,1.7259033823569616,0.07191445882003823,0.0
weaken,120,R0_L1,0.06884653081893921,0.12692243495749106,3,R0_L1_fold_3,0.95,0.031153469181060798,0.07522099835077922,0.006478740033121021,0.0,False,0.07692243495749107,0.15128021232287092,0.007605635711797341,0.0
strengthen,120,R0_L1,0.034936515258418205,0.4581258264183999,3,R0_L1_fold_3,0.95,0.0650634847415818,0.31101094083786013,0.013281795370755375,0.0,False,0.4081258264183999,2.1827373311996463,0.05336037387125402,0.0
weaken,120,R0_L1,0.0619328037235472,0.10069882328510285,4,R0_L1_fold_4,0.95,0.0380671962764528,0.07071098620096843,0.006009909327537925,0.0,False,0.05069882328510284,0.17264274983406064,0.005241016658399668,0.0
strengthen,120,R0_L1,0.025092722309960264,0.41246441223323344,4,R0_L1_fold_4,0.95,0.07490727769003974,0.1958441562652588,0.012527383593607833,0.0,False,0.36246441223323345,0.96607056359152,0.04159972785624297,0.0
weaken,120,R0_L2,0.04261579536729388,2.281781325685978,0,R0_L2_fold_0,0.95,0.057384204632706125,0.08005335532956653,0.012448414769340999,0.0,False,2.231781325685978,2.3247448525051277,1.7355113892843819,1.9190143325695277
strengthen,120,R0_L2,-0.07515219066937764,2.284214497146011,0,R0_L2_fold_0,0.95,0.17515219066937765,0.3996176527102788,0.035151740921923406,0.0,True,2.234214497146011,2.526364641244213,1.381468158570398,1.5661167501472044
weaken,120,R0_L2,0.03963249746958415,2.319646372712321,1,R0_L2_fold_1,0.95,0.060367502530415854,0.0982269521554311,0.013701266721034493,1.4123982853362499e-06,False,2.2696463727123213,2.3289317988375826,1.8046318478563046,1.9540575279040626
strengthen,120,R0_L2,-0.04006272959709167,2.2718347080461685,1,R0_L2_fold_1,0.95,0.14006272959709168,0.4285827016472817,0.029051278114205714,0.0,True,2.2218347080461687,2.568770368740956,1.3462668992198759,1.4779444935421149
weaken,120,R0_L2,0.04216704633500842,2.3137268503838113,2,R0_L2_fold_2,0.95,0.05783295366499159,0.1406799978574117,0.012944869643245583,0.0,False,2.2637268503838115,2.4033473632554214,1.8055231895191446,1.9483012221651772
strengthen,120,R0_L2,-0.03408397819201153,2.261837479837735,2,R0_L2_fold_2,0.95,0.13408397819201154,0.30373759473959605,0.02319249379052608,0.0,True,2.2118374798377354,2.381996845771373,1.3657502027474882,1.4937056294621514
weaken,120,R0_L2,0.05093267351786296,2.310660190830628,3,R0_L2_fold_3,0.95,0.04906732648213705,0.11140560433069865,0.012854082545798135,0.0,False,2.2606601908306283,2.359356503319492,1.78277154836124,1.937656626817584
strengthen,120,R0_L2,-0.021211047073205327,2.2779240211264957,3,R0_L2_fold_3,0.95,0.12121104707320533,0.3581163739681244,0.022386681658824285,0.0,True,2.227924021126496,2.463990220359465,1.397347255120522,1.5946233597633224
weaken,120,R0_L2,0.04352638858159383,2.3131628541813956,4,R0_L2_fold_4,0.95,0.05647361141840618,0.11315986312230429,0.011204255011721894,0.0,False,2.2631628541813957,2.362460974888007,1.7593995206854154,1.9318205731973053
strengthen,120,R0_L2,-0.03227759712272221,2.2680189963907003,4,R0_L2_fold_4,0.95,0.13227759712272222,0.22258814516067507,0.021156144236922265,0.0,True,2.2180189963907004,2.445035470494628,1.353850357608259,1.5573147145590636
weaken,120,R1_L0,0.06245520505905151,0.18983272988796235,0,R1_L0_fold_0,0.95,0.03754479494094849,0.07497956749598186,0.00746861979925798,0.0,False,0.13983272988796233,0.319224759443601,0.015177878649917396,0.0
strengthen,120,R1_L0,0.007663145987192796,1.0700982196013133,0,R1_L0_fold_0,0.95,0.09233685401280721,0.3288015220006307,0.018657511509590677,0.0,False,1.0200982196013133,2.183294954387347,0.09590775400524248,0.0
weaken,120,R1_L0,0.05108804338508181,0.13894345169067385,1,R1_L0_fold_1,0.95,0.04891195661491819,0.08612717755635578,0.0086978984713444,0.0,False,0.08894345169067384,0.28652463354269664,0.011462222750463555,0.0
strengthen,120,R1_L0,0.020309461466471362,0.4593742008050283,1,R1_L0_fold_1,0.95,0.07969053853352864,0.33530515748659767,0.016708488467898634,0.0,False,0.4093742008050283,2.139281008577347,0.06981919408106003,0.0
weaken,120,R1_L0,0.04810027952194215,0.14376333718299866,2,R1_L0_fold_2,0.95,0.051899720478057854,0.08660451288223266,0.008428166496130051,0.0,False,0.09376333718299867,0.2845368142843247,0.011867923639777496,0.0
strengthen,120,R1_L0,0.0029497570792833827,0.5017663599967956,2,R1_L0_fold_2,0.95,0.09705024292071662,0.21156264136632283,0.014929405980684141,0.0,False,0.45176635999679565,1.192841743373871,0.059842584511816364,0.0
weaken,120,R1_L0,0.06399269981384278,0.11255635356323586,3,R1_L0_fold_3,0.95,0.03600730018615723,0.0665452241897583,0.0076169769384905155,0.0,False,0.06255635356323586,0.12559832041263583,0.006932721566100847,0.0
strengthen,120,R1_L0,0.04512529633839925,0.33405499410298134,3,R1_L0_fold_3,0.95,0.05487470366160076,0.25344603101412455,0.011384446527417063,0.0,False,0.28405499410298135,1.4688488421122234,0.033712207257876665,0.0
weaken,120,R1_L0,0.06689011081059774,0.12596859712600708,4,R1_L0_fold_4,0.95,0.03310988918940226,0.08009604155222576,0.007678651315307729,0.0,False,0.07596859712600708,0.2483427028020223,0.008041225396704826,0.0
strengthen,120,R1_L0,0.025583420296510062,0.23651369132200872,4,R1_L0_fold_4,0.95,0.07441657970348994,0.22267381892204285,0.014844317878639258,0.0,False,0.18651369132200873,0.9376657172958056,0.04078145100844058,0.0
weaken,120,R1_L1,0.07408440888722738,0.11339683990478515,0,R1_L1_fold_0,0.95,0.025915591112772623,0.04855799983342489,0.004364880409593935,0.0,False,0.06339683990478515,0.19975658962726595,0.008942457968374302,0.0
strengthen,120,R1_L1,-0.01380028978983562,0.9334352314631146,0,R1_L1_fold_0,0.95,0.11380028978983563,0.367754562664032,0.01896013736879936,0.0,True,0.8834352314631145,2.5915713731845225,0.12303155143248629,0.0
weaken,120,R1_L1,0.05077597233984206,0.152716787494719,1,R1_L1_fold_1,0.95,0.049224027660157946,0.08212576805750528,0.010380711677471796,0.0,False,0.10271678749471902,0.34288894611597065,0.012688411022563361,0.0
strengthen,120,R1_L1,0.029099314308166507,0.49891195899645496,1,R1_L1_fold_1,0.95,0.0709006856918335,0.3817129562060038,0.017198105925666514,0.0,False,0.448911958996455,2.657102708252271,0.08693508625385042,0.0
weaken,120,R1_L1,0.0486820019721985,0.12797656714916228,2,R1_L1_fold_2,0.95,0.05131799802780151,0.08247507546742758,0.008794424897608934,0.0,False,0.07797656714916229,0.37246557014783227,0.00916795633910431,0.0
strengthen,120,R1_L1,0.015481430557039044,0.5341450183818739,2,R1_L1_fold_2,0.95,0.08451856944296096,0.22737380259831744,0.012792501708550586,0.0,False,0.48414501838187385,1.615285180981954,0.0595681784358524,0.0
weaken,120,R1_L1,0.07392308101654053,0.1179776997168859,3,R1_L1_fold_3,0.95,0.02607691898345947,0.07306122296651205,0.005676919738539943,0.0,False,0.0679776997168859,0.22711113974253339,0.00818070027214889,0.0
strengthen,120,R1_L1,0.041603385162353526,0.3816835969852077,3,R1_L1_fold_3,0.95,0.05839661483764648,0.26870124683380125,0.013333620022325604,0.0,False,0.3316835969852077,1.7701298623402917,0.044522268850329436,0.0
weaken,120,R1_L1,0.0672766210714976,0.13820666535860965,4,R1_L1_fold_4,0.95,0.03272337892850241,0.07906410188674927,0.0069190479994261705,0.0,False,0.08820666535860966,0.3075317272504171,0.011021806129700055,0.0
strengthen,120,R1_L1,0.04011012376149496,0.23601498748064043,4,R1_L1_fold_4,0.95,0.059889876238505044,0.1864626583735148,0.011972806749310758,0.0,False,0.18601498748064044,0.9489123584161203,0.029930698805920513,0.0
weaken,120,R1_L2,0.049135005142953665,2.280722267339627,0,R1_L2_fold_0,0.95,0.05086499485704634,0.06252813943227133,0.00959361633134661,0.0,False,2.230722267339627,2.330664812597633,1.7233508626508542,1.899847438808469
