active_scene,candidate_minus_keep_psnr_db,candidate_minus_shuffled_psnr_db,candidate_minus_uniform_psnr_db,cell,fold,material_scene,population,scene,selected_area,selected_area_fraction,selected_harm_area,total_area
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,0cc155a9804759866d3d9fcd9f8e0dd048fe2834c9f56654fd5072c913c0ad66,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,0d1945547f43ccb7609fe56f0e8cc46a33fd6125b525a569a369c589ea578332,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,0e9a9a5de1416a98d3371f53b1fa74bd9766b22746135c6aff3d9aea791d033b,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,0f0b28e60d89832bb68f838fde1d7110a23fca0cc60657bfe34abf192b71c6cc,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,0f46a279ccaeae86598126ff0c046a22058bad2b86c91a4a33e2d99481f5bcec,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,0fbcce9cb818a404c0cef3d93339e6c667819863ba1503cbfbe1b821a4cf6172,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,4,False,haze4k_train_oof,107d09977a8a5d14dce80e9a0dc1ef3099f3864376f05d7c4a133bbb16d26241,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,1,False,haze4k_train_oof,1210a1c1659b67cb090e0bbcf0a49eb195248d5f1494be777a6aa88cb9a489b9,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,121fcf5a8d8ee21b3209ccaf2f14a7c33b3230e6cea7e8edb43d285969ad8613,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,12395f8c4f4e5c8406b1fed03c4587798340bb06f7ae599c27c25d44898b6004,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,1353506cbc9880d0798f1061e1b7c366541309f8f7533a200c5a5f49fd3d21b7,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,13a0c02f0f43af8b0e13aa0cb8c256d9c7f78646f00eda177768033a75cbd4ad,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,1,False,haze4k_train_oof,14857ac65206ec4198e9a4f3810a536bb65d64b41c9c3615dff23922310c8601,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,1,False,haze4k_train_oof,14f23240dea2b607f55ce63fc2f2a990567cb2f690ed0317d52808c6cf0cd825,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,1590c2bfd2679f8fedd87e5453635fe86e61f9fc935bcc16f85f9f765cc7a08b,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,1,False,haze4k_train_oof,15af76ac38c9da480d3725249fa5c90eedc1b1fc882f0f060b7167b99ac773dd,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,162d074ea9b5536188c946ff9b6921c5a95304042fd04c6acea44164912ad962,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,4,False,haze4k_train_oof,166024886375fc48decb6f7aa00ff2cd118c44d8362e856c05a846e06bd452f0,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,16d269c2c3a4db7d56b569b9ca76d28207cf57ae557824788da572985afde8b0,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,1781559bca0e2743a88d2864ee5fb8e7d4cdf9f4ceca157bb401326567bc60af,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,4,False,haze4k_train_oof,17d39c01da2c8fe5ab2727c02faf694fbb699a6c825b1f56ea9cae614b7f57d7,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,1835efd9aba3a314fd2389e06c04c3a3491545d68f045d0daff2a772ed9669c6,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,19333c3babfb0a9a69c9f71ed92ffa2d508309ab62842e9c5c580e317a26ef73,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,196e3cd641a4a04c918a7743ab940b5ba671aff1791e9f2ddd477cea6f99fcc1,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,19cb138715501ef08e6674ae3db9fc4b67f8c3db522b82ca537a48a4a1ba686c,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,4,False,haze4k_train_oof,1a779e1118d7970aa2e393ba32621b8d525f7e5571745cfa5fc7a32c6ad73c37,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,1ab0c004bb2964b0b378f94f85ad121c666faebe30795b047c72c726eaa2e8d2,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,1b1aedc7dc8f1ee443d18d6b64aa92c0105bef9a96c2d5b28eb1c64254904b7a,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,1,False,haze4k_train_oof,1b27b11b2aad75933b851ef73eecd09037f32da058d87ea56cbfc1a7596e56a5,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,4,False,haze4k_train_oof,1bbe0348da6b87cf5fd18a053f0f7a1f36e58aaff094f96fa7d610bc028cf50f,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,1c24400b07ef576879fac0bf1b8bb08281872cc9fef0bcadbea0427c5103094a,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,1cd446767ca42538b195cf4c1d33dac9343d0ee71b83d6e1a7af20f744e84dbe,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,1d153d2f6f64ae1cf240e08d47eb0fecbad2fe9664c0fe654774bf4c180b75e4,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,1d2261d7c2b3f53b35e2a0fe172ba402eaa3d9d0e66352f5404e387776a62ade,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,3,False,haze4k_train_oof,1d74182b2493b63a96875bc876716088ac91dd77dd00f7b5b02a10f66f6f559a,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,1,False,haze4k_train_oof,1d82644808ec3bd80d4fef60d299a3b4deff30d93e9ac3ea926daf8e61b5c6c3,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,1e791fec8c93c964da8a45ec044944200f34b8e409842c4f797da62fbf4a9b25,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,1f7559f1a64089a8ae5254bc063121d972b8b10f4c9f95d12d469b9144dadc1e,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,1f8ef93a2ef1835f6198f124d519e264a07c7ec380eeb379f830af48b0d3cccf,0.0,0.0,0.0,160000.0
False,0.0,0.0,0.0,R2_L0,2,False,haze4k_train_oof,1fef587d86b4fbf6ee6a2ffb81dd4f704601e9fa609ee65f883c288ffee5aae3,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,201497c760d7885d5d067d3d065c5c0f4f887a865c06eb1f980735c8452097d1,0.0,0.0,0.0,307200.0
False,0.0,0.0,0.0,R2_L0,0,False,haze4k_train_oof,20606056e8cc47a7f37c3784a35e1b5ff62d361bbdb60dcf8396549ccb0ad109,0.0,0.0,0.0,160000.0
