variant,threshold,coverage,recall,precision,false_global,false_per_image_mean,false_per_image_p90,false_per_image_p95,ldhn_recall,ldhn_precision,ldhn_per_image_recall_p50,ldhn_per_image_recall_p75,ldhn_per_image_recall_p90,ldhn_images_with_support,pearson,spearman,auroc,auprc,auroc_high_vs_hard_negative,monotonic_pairs,monotonic_valid_pairs,target_high_prevalence
density_only_matched_threshold,4.515130513027543e-06,1.0,1.0,0.42529134114583333,1.0,1.0,1.0,1.0,1.0,0.2798194770255002,1.0,1.0,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.0016178592399228365,0.9927579752604166,0.9978338990964374,0.42746583534237614,0.9646941059081185,0.9682435449573081,1.0,1.0,0.9900865951754764,0.28339006153076735,1.0,1.0,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.003282204541998605,0.9842598470052083,0.9962896911201344,0.43048934709210773,0.9171690251747762,0.9321548949359664,1.0,1.0,0.9839303255127584,0.2891699781422655,1.0,1.0,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.005049918487202376,0.9754166666666667,0.9948124562283055,0.43374809776804785,0.8666409510116773,0.8981623229411504,1.0,1.0,0.9782176693992658,0.29571563262463174,0.9930555555555556,1.0,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.007144368129471938,0.9670418294270834,0.9932031886842276,0.4367967375269397,0.8225842958107923,0.8644310643618367,1.0,1.0,0.9722967865177694,0.3019796621035509,0.9850051706308169,1.0,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.00967351320044448,0.9581095377604166,0.9912380070340874,0.43999660246745803,0.7800195736514424,0.8275679953851293,1.0,1.0,0.9650224296442491,0.30852210810271047,0.9726027397260274,0.9994033412887828,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.012625880911946299,0.9492252604166667,0.9886538027317364,0.4429569241637574,0.7424088342838562,0.7932162217627263,1.0,1.0,0.9554802116670363,0.31434226221944894,0.9576271186440678,0.9957203994293866,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.01599085354246199,0.9406148274739583,0.985897381926452,0.4457654797104239,0.7092196998919305,0.7612573568364778,1.0,1.0,0.9456528135510359,0.31969656624643816,0.9457364341085271,0.991218441273326,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.019648024439811708,0.93205810546875,0.9828587174080268,0.44847129125400653,0.6799963020463073,0.7330559283857826,1.0,1.0,0.9352233684753727,0.3246193320103638,0.9266666666666666,0.9849624060150376,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.02349728099070489,0.9237174479166667,0.9797014148542474,0.45106707639393023,0.6540628078307358,0.7061827171879678,1.0,1.0,0.9245359032741396,0.3291725157178982,0.9102564102564102,0.9795918367346939,1.0,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
