variant,name,threshold,ldhn_pixels,ldhn_recall,pred_high_coverage
density_only_matched_threshold,110_0.55_1.08.png,0.43738746643066406,106,0.4528301886792453,0.592041015625
d7c_mc_topk_hn_ordinal,1113_0.9_0.52.png,0.5773006677627563,638,0.03605015673981191,0.13720703125
d7c_mc_hn_ordinal,1113_0.9_0.52.png,0.5773006677627563,638,0.08620689655172414,0.12841796875
density_only_matched_threshold,1113_0.9_0.52.png,0.43738746643066406,638,0.0,0.1044921875
d7c_mc_topk_hn_ordinal,1122_0.94_0.53.png,0.5773006677627563,213,0.004694835680751174,0.16748046875
d7c_mc_hn_ordinal,1122_0.94_0.53.png,0.5773006677627563,213,0.018779342723004695,0.176025390625
density_only_matched_threshold,1122_0.94_0.53.png,0.43738746643066406,213,0.0,0.001953125
d7c_mc_topk_hn_ordinal,1124_0.74_1.17.png,0.5773006677627563,255,0.12156862745098039,0.441650390625
d7c_mc_hn_ordinal,1124_0.74_1.17.png,0.5773006677627563,255,0.17254901960784313,0.434326171875
density_only_matched_threshold,1124_0.74_1.17.png,0.43738746643066406,255,0.00784313725490196,0.103759765625
d7c_mc_topk_hn_ordinal,1134_0.69_1.2.png,0.5773006677627563,541,0.11090573012939002,0.322998046875
d7c_mc_hn_ordinal,1134_0.69_1.2.png,0.5773006677627563,541,0.19593345656192238,0.335693359375
density_only_matched_threshold,1134_0.69_1.2.png,0.43738746643066406,541,0.49168207024029575,0.525146484375
d7c_mc_topk_hn_ordinal,1140_0.67_1.42.png,0.5773006677627563,1265,0.0,0.00341796875
d7c_mc_hn_ordinal,1140_0.67_1.42.png,0.5773006677627563,1265,0.06719367588932806,0.0546875
density_only_matched_threshold,1140_0.67_1.42.png,0.43738746643066406,1265,0.3233201581027668,0.511962890625
d7c_mc_topk_hn_ordinal,1143_0.73_1.33.png,0.5773006677627563,13,0.0,0.60986328125
d7c_mc_hn_ordinal,1143_0.73_1.33.png,0.5773006677627563,13,0.0,0.453125
density_only_matched_threshold,1143_0.73_1.33.png,0.43738746643066406,13,0.0,0.79541015625
d7c_mc_topk_hn_ordinal,1145_0.9_1.2.png,0.5773006677627563,483,0.0,0.029296875
d7c_mc_hn_ordinal,1145_0.9_1.2.png,0.5773006677627563,483,0.031055900621118012,0.03076171875
density_only_matched_threshold,1145_0.9_1.2.png,0.43738746643066406,483,0.020703933747412008,0.459228515625
d7c_mc_topk_hn_ordinal,1146_0.89_0.87.png,0.5773006677627563,591,0.0,0.001953125
d7c_mc_hn_ordinal,1146_0.89_0.87.png,0.5773006677627563,591,0.005076142131979695,0.007080078125
density_only_matched_threshold,1146_0.89_0.87.png,0.43738746643066406,591,0.032148900169204735,0.420166015625
d7c_mc_topk_hn_ordinal,114_0.75_1.45.png,0.5773006677627563,236,0.05508474576271186,0.441162109375
d7c_mc_hn_ordinal,114_0.75_1.45.png,0.5773006677627563,236,0.2966101694915254,0.38232421875
density_only_matched_threshold,114_0.75_1.45.png,0.43738746643066406,236,0.3644067796610169,0.407470703125
d7c_mc_topk_hn_ordinal,1150_0.8_1.27.png,0.5773006677627563,163,0.0,0.6982421875
d7c_mc_hn_ordinal,1150_0.8_1.27.png,0.5773006677627563,163,0.012269938650306749,0.69873046875
density_only_matched_threshold,1150_0.8_1.27.png,0.43738746643066406,163,0.0,0.51416015625
d7c_mc_topk_hn_ordinal,1155_0.63_1.27.png,0.5773006677627563,508,0.02952755905511811,0.203369140625
d7c_mc_hn_ordinal,1155_0.63_1.27.png,0.5773006677627563,508,0.12401574803149606,0.339599609375
density_only_matched_threshold,1155_0.63_1.27.png,0.43738746643066406,508,0.013779527559055118,0.145751953125
d7c_mc_topk_hn_ordinal,1162_0.65_1.7.png,0.5773006677627563,12,0.25,0.62060546875
d7c_mc_hn_ordinal,1162_0.65_1.7.png,0.5773006677627563,12,0.5,0.603515625
density_only_matched_threshold,1162_0.65_1.7.png,0.43738746643066406,12,0.0,0.519287109375
d7c_mc_topk_hn_ordinal,1164_0.79_1.96.png,0.5773006677627563,10,0.0,0.858642578125
d7c_mc_hn_ordinal,1164_0.79_1.96.png,0.5773006677627563,10,0.8,0.69384765625
density_only_matched_threshold,1164_0.79_1.96.png,0.43738746643066406,10,0.0,0.543701171875
d7c_mc_topk_hn_ordinal,1168_0.56_0.69.png,0.5773006677627563,1196,0.004180602006688963,0.002685546875
d7c_mc_hn_ordinal,1168_0.56_0.69.png,0.5773006677627563,1196,0.010033444816053512,0.005615234375
density_only_matched_threshold,1168_0.56_0.69.png,0.43738746643066406,1196,0.06020066889632107,0.041748046875
d7c_mc_topk_hn_ordinal,116_0.64_1.08.png,0.5773006677627563,498,0.0,0.12353515625
d7c_mc_hn_ordinal,116_0.64_1.08.png,0.5773006677627563,498,0.030120481927710843,0.089111328125
density_only_matched_threshold,116_0.64_1.08.png,0.43738746643066406,498,0.05421686746987952,0.260009765625
d7c_mc_topk_hn_ordinal,1170_0.71_1.78.png,0.5773006677627563,119,0.0,0.515869140625
d7c_mc_hn_ordinal,1170_0.71_1.78.png,0.5773006677627563,119,0.0,0.328857421875
density_only_matched_threshold,1170_0.71_1.78.png,0.43738746643066406,119,0.0,0.580078125
d7c_mc_topk_hn_ordinal,1179_0.56_1.96.png,0.5773006677627563,721,0.030513176144244106,0.127685546875
d7c_mc_hn_ordinal,1179_0.56_1.96.png,0.5773006677627563,721,0.06657420249653259,0.210693359375
density_only_matched_threshold,1179_0.56_1.96.png,0.43738746643066406,721,0.8349514563106796,0.696044921875
d7c_mc_topk_hn_ordinal,1187_0.82_1.57.png,0.5773006677627563,785,0.02802547770700637,0.38720703125
d7c_mc_hn_ordinal,1187_0.82_1.57.png,0.5773006677627563,785,0.04713375796178344,0.389892578125
density_only_matched_threshold,1187_0.82_1.57.png,0.43738746643066406,785,0.0,0.376953125
d7c_mc_topk_hn_ordinal,119_0.6_1.7.png,0.5773006677627563,424,0.25707547169811323,0.67529296875
d7c_mc_hn_ordinal,119_0.6_1.7.png,0.5773006677627563,424,0.6462264150943396,0.67626953125
density_only_matched_threshold,119_0.6_1.7.png,0.43738746643066406,424,0.07783018867924528,0.757568359375
d7c_mc_topk_hn_ordinal,1200_0.97_0.52.png,0.5773006677627563,226,0.0,0.093505859375
d7c_mc_hn_ordinal,1200_0.97_0.52.png,0.5773006677627563,226,0.0,0.033203125
density_only_matched_threshold,1200_0.97_0.52.png,0.43738746643066406,226,0.5088495575221239,0.07080078125
d7c_mc_topk_hn_ordinal,1205_0.78_1.01.png,0.5773006677627563,42,0.047619047619047616,0.784912109375
d7c_mc_hn_ordinal,1205_0.78_1.01.png,0.5773006677627563,42,0.07142857142857142,0.758544921875
density_only_matched_threshold,1205_0.78_1.01.png,0.43738746643066406,42,0.0,0.5
d7c_mc_topk_hn_ordinal,1208_0.63_0.83.png,0.5773006677627563,77,0.05194805194805195,0.461181640625
d7c_mc_hn_ordinal,1208_0.63_0.83.png,0.5773006677627563,77,0.07792207792207792,0.39990234375
density_only_matched_threshold,1208_0.63_0.83.png,0.43738746643066406,77,0.0,0.25146484375
d7c_mc_topk_hn_ordinal,1211_0.88_1.93.png,0.5773006677627563,63,0.4603174603174603,0.710205078125
d7c_mc_hn_ordinal,1211_0.88_1.93.png,0.5773006677627563,63,0.6984126984126984,0.873046875
density_only_matched_threshold,1211_0.88_1.93.png,0.43738746643066406,63,0.0,0.01513671875
d7c_mc_topk_hn_ordinal,1231_0.98_1.26.png,0.5773006677627563,488,0.03278688524590164,0.113037109375
d7c_mc_hn_ordinal,1231_0.98_1.26.png,0.5773006677627563,488,0.23770491803278687,0.112548828125
density_only_matched_threshold,1231_0.98_1.26.png,0.43738746643066406,488,0.26639344262295084,0.525390625
d7c_mc_topk_hn_ordinal,123_0.94_1.22.png,0.5773006677627563,71,0.0,0.4267578125
d7c_mc_hn_ordinal,123_0.94_1.22.png,0.5773006677627563,71,0.0,0.444580078125
density_only_matched_threshold,123_0.94_1.22.png,0.43738746643066406,71,0.0,0.289794921875
d7c_mc_topk_hn_ordinal,1240_0.64_0.5.png,0.5773006677627563,748,0.0106951871657754,0.008544921875
d7c_mc_hn_ordinal,1240_0.64_0.5.png,0.5773006677627563,748,0.0213903743315508,0.01611328125
density_only_matched_threshold,1240_0.64_0.5.png,0.43738746643066406,748,0.09759358288770054,0.066162109375
d7c_mc_topk_hn_ordinal,1246_0.62_2.0.png,0.5773006677627563,351,0.02849002849002849,0.315185546875
d7c_mc_hn_ordinal,1246_0.62_2.0.png,0.5773006677627563,351,0.08547008547008547,0.303955078125
density_only_matched_threshold,1246_0.62_2.0.png,0.43738746643066406,351,0.33903133903133903,0.2958984375
d7c_mc_topk_hn_ordinal,1250_0.57_0.61.png,0.5773006677627563,1385,0.0,0.013916015625
d7c_mc_hn_ordinal,1250_0.57_0.61.png,0.5773006677627563,1385,0.005776173285198556,0.019775390625
density_only_matched_threshold,1250_0.57_0.61.png,0.43738746643066406,1385,0.0,0.083740234375
d7c_mc_topk_hn_ordinal,1254_0.97_1.31.png,0.5773006677627563,19,0.0,0.561767578125
d7c_mc_hn_ordinal,1254_0.97_1.31.png,0.5773006677627563,19,0.0,0.503662109375
density_only_matched_threshold,1254_0.97_1.31.png,0.43738746643066406,19,0.0,0.736328125
d7c_mc_topk_hn_ordinal,1263_0.9_1.41.png,0.5773006677627563,50,0.28,0.3564453125
d7c_mc_hn_ordinal,1263_0.9_1.41.png,0.5773006677627563,50,0.66,0.281982421875
density_only_matched_threshold,1263_0.9_1.41.png,0.43738746643066406,50,0.12,0.399169921875
d7c_mc_topk_hn_ordinal,1266_0.96_1.34.png,0.5773006677627563,60,0.2,0.67236328125
d7c_mc_hn_ordinal,1266_0.96_1.34.png,0.5773006677627563,60,0.3333333333333333,0.6865234375
density_only_matched_threshold,1266_0.96_1.34.png,0.43738746643066406,60,0.16666666666666666,0.357177734375
d7c_mc_topk_hn_ordinal,126_0.75_1.47.png,0.5773006677627563,595,0.06050420168067227,0.29638671875
d7c_mc_hn_ordinal,126_0.75_1.47.png,0.5773006677627563,595,0.15126050420168066,0.310302734375
density_only_matched_threshold,126_0.75_1.47.png,0.43738746643066406,595,0.7159663865546219,0.578857421875
d7c_mc_topk_hn_ordinal,1271_0.65_1.66.png,0.5773006677627563,306,0.042483660130718956,0.332275390625
d7c_mc_hn_ordinal,1271_0.65_1.66.png,0.5773006677627563,306,0.21895424836601307,0.441650390625
density_only_matched_threshold,1271_0.65_1.66.png,0.43738746643066406,306,0.0,0.313720703125
d7c_mc_topk_hn_ordinal,1281_0.89_0.85.png,0.5773006677627563,271,0.1033210332103321,0.117919921875
d7c_mc_hn_ordinal,1281_0.89_0.85.png,0.5773006677627563,271,0.16605166051660517,0.1630859375
