variant,epoch,steps,loss_mean,elapsed_sec
perm_all_supervision,1,300,0.6293529389301936,40.133134841918945
perm_all_supervision,2,300,0.6243334879477819,38.3742516040802
perm_all_supervision,3,300,0.6247267490625381,38.64297962188721
perm_all_supervision,4,300,0.6210252277056376,38.619383096694946
perm_all_supervision,5,300,0.6236130811770757,38.45446801185608
perm_all_supervision,6,300,0.6224431025981904,38.513100147247314
perm_need_keep_density,1,300,0.6280402318636576,38.70168662071228
perm_need_keep_density,2,300,0.621890207529068,38.64295244216919
perm_need_keep_density,3,300,0.6222285534938177,38.79480957984924
perm_need_keep_density,4,300,0.6210991370677948,38.64868688583374
perm_need_keep_density,5,300,0.6234095680713654,38.661606311798096
perm_need_keep_density,6,300,0.61859783411026,38.620848417282104
