operator_label,fold,image_count,mean_lift_vs_fixed_db,mean_lift_vs_uniform_025_db,mean_pixel_coverage
D_ref,0,240,0.04996539112583836,0.025562495096465673,0.18193083333333332
D_ref,1,240,0.04615894352948888,0.021143182554218824,0.18172597222222223
D_ref,2,240,0.04620292848276176,0.022454096095785112,0.1787629166666667
D_ref,3,240,0.047644396450569684,0.023951202448639346,0.18393513888888888
D_ref,4,240,0.04743783501026558,0.02590763201630367,0.17605638888888892
D_rep,0,240,0.048998863511714855,0.024658871737638276,0.18124597222222225
D_rep,1,240,0.04579001740268656,0.021335853140858063,0.1816761111111111
D_rep,2,240,0.0470897546021327,0.0227366744161997,0.17949
D_rep,3,240,0.04837905537504442,0.024140549342489947,0.18385638888888892
D_rep,4,240,0.04675455740998502,0.02439339802858232,0.17647555555555558
