operator_label,fold,gain_0125_to_025_block_count,gain_0125_to_025_beneficial_block_count,gain_0125_to_025_harmful_block_count,gain_0125_to_025_net_sse,gain_0125_to_025_beneficial_sse,gain_0125_to_025_harmful_sse,gain_0125_to_025_harmful_to_beneficial,gain_025_to_05_block_count,gain_025_to_05_beneficial_block_count,gain_025_to_05_harmful_block_count,gain_025_to_05_net_sse,gain_025_to_05_beneficial_sse,gain_025_to_05_harmful_sse,gain_025_to_05_harmful_to_beneficial,gain_05_to_10_block_count,gain_05_to_10_beneficial_block_count,gain_05_to_10_harmful_block_count,gain_05_to_10_net_sse,gain_05_to_10_beneficial_sse,gain_05_to_10_harmful_sse,gain_05_to_10_harmful_to_beneficial
D_ref,0,3750,1530,765,10.909032839542814,15.544350040097932,4.63531720055512,0.2981994865399928,3750,1470,825,19.1953051940119,29.30453310133746,10.109227907325579,0.34497147155926516,3750,1349,946,27.90531066983489,51.887586717561895,23.98227604772687,0.46219679050152895
D_ref,1,3125,881,1151,-1.7387977592585402,3.8288745832926137,5.567672342551157,1.4541276350094696,3125,784,1248,-5.392938292503635,6.875193698061229,12.268131990564862,1.7844052879592929,3125,620,1412,-18.43654338368745,11.098729519133869,29.535272902821315,2.661139984707566
D_ref,2,4375,2597,910,17.466138510458915,22.847130280011914,5.380991769552951,0.23552156019614315,4375,2472,1035,30.92176802807687,42.64090574381015,11.719137715733453,0.274833226717625,4375,2195,1312,45.80945100764416,73.9557330835429,28.146282075898885,0.3805828284347326
D_ref,3,4375,1931,870,9.373332849072812,13.588233178584918,4.214900329512105,0.3101875184299012,4375,1840,961,16.272081917955127,25.47252773190427,9.20044581394918,0.36119092344438386,4375,1674,1127,22.651860796807465,44.61811310335742,21.966252306549926,0.4923169264389401
D_ref,4,4375,2238,1278,13.333086770827782,19.792989329582767,6.459902558754981,0.32637326536118305,4375,2114,1402,22.91063594460059,37.16683790148119,14.256201956880624,0.383573173339895,4375,1866,1650,30.80655599006652,65.33027912809693,34.52372313803033,0.5284490377017619
D_rep,0,3750,1536,759,10.47209997012552,15.046793188699144,4.574693218573632,0.3040311089016259,3750,1477,818,18.379091550658266,28.351841820243216,9.972750269584969,0.3517496440906504,3750,1341,954,26.503003359997333,50.15437112253486,23.651367762537493,0.4715714150767349
D_rep,1,3125,857,1175,-1.7662512280273923,3.887787968631108,5.654039196658493,1.4543074988344291,3125,773,1259,-5.415669541720346,7.013131483976947,12.42880102569729,1.7722184524978093,3125,617,1415,-18.353450077121575,11.418420794470821,29.771870871592387,2.6073545026479423
D_rep,2,4375,2626,881,17.5839272383974,23.04939099681407,5.465463758416605,0.23711966008872215,4375,2506,1001,31.0967125594648,42.98971018040709,11.892997620942282,0.2766475412612252,4375,2240,1267,45.91719117144453,74.44831119331756,28.531120021873125,0.3832339453313759
D_rep,3,4375,1923,878,9.366432406065968,13.534727261252412,4.16829485518645,0.3079703620714663,4375,1829,972,16.242751530504428,25.34744195745246,9.104690426948098,0.35919563174189284,4375,1664,1137,22.53027455428417,44.316511866162415,21.786237311878182,0.49160541735941365
D_rep,4,4375,2231,1285,13.1067212501047,18.691022769114433,5.584301519009718,0.29876917855117985,4375,2077,1439,22.529392473544707,35.02497220273178,12.495579729186987,0.3567620170220261,4375,1779,1737,30.331111878522652,61.370837579292754,31.039725700770177,0.5057732128988142
