operator_label,fold,gain_0125_to_025_block_count,gain_0125_to_025_beneficial_block_count,gain_0125_to_025_harmful_block_count,gain_0125_to_025_net_sse,gain_0125_to_025_beneficial_sse,gain_0125_to_025_harmful_sse,gain_0125_to_025_harmful_to_beneficial,gain_025_to_05_block_count,gain_025_to_05_beneficial_block_count,gain_025_to_05_harmful_block_count,gain_025_to_05_net_sse,gain_025_to_05_beneficial_sse,gain_025_to_05_harmful_sse,gain_025_to_05_harmful_to_beneficial,gain_05_to_10_block_count,gain_05_to_10_beneficial_block_count,gain_05_to_10_harmful_block_count,gain_05_to_10_net_sse,gain_05_to_10_beneficial_sse,gain_05_to_10_harmful_sse,gain_05_to_10_harmful_to_beneficial
D_ref,ALL,20000,9177,4974,49.342793210643755,75.60157741157012,26.25878420092636,0.3473311682106212,20000,8680,5471,83.90685279214082,141.45999817659487,57.55314538445358,0.4068510259176292,20000,7704,6447,108.73663508066569,246.89044155169245,138.15380647102742,0.5595753549742087
D_rep,ALL,20000,9173,4978,48.76292963666627,74.20972218451112,25.446792547844876,0.34290375706535214,20000,8662,5489,82.83227857245203,138.72709764481152,55.89481907235948,0.40291204834018224,20000,7641,6510,106.92813088712705,241.708452555778,134.78032166865125,0.5576152602174663
