fold,probe,step,loss
0,linear,100,0.703843355178833
0,linear,200,0.7030073404312134
0,linear,300,0.704914391040802
0,linear,320,0.7044711709022522
0,dw3x3,100,0.7043230533599854
0,dw3x3,200,0.7033775448799133
0,dw3x3,300,0.7021566033363342
0,dw3x3,400,0.7031057476997375
0,dw3x3,420,0.7030999660491943
1,linear,100,0.7062174677848816
1,linear,200,0.7032310962677002
1,linear,300,0.7037032246589661
1,linear,320,0.703681230545044
1,dw3x3,100,0.7030413150787354
1,dw3x3,200,0.7035562992095947
1,dw3x3,300,0.7028524279594421
1,dw3x3,400,0.7032233476638794
1,dw3x3,420,0.7036160826683044
2,linear,100,0.7036140561103821
2,linear,200,0.7041880488395691
2,linear,300,0.7032315135002136
2,linear,320,0.704051673412323
2,dw3x3,100,0.703223466873169
2,dw3x3,200,0.7039096355438232
2,dw3x3,300,0.7036769390106201
2,dw3x3,400,0.7041699886322021
2,dw3x3,420,0.7032318115234375
3,linear,100,0.7083827257156372
3,linear,200,0.705341637134552
3,linear,300,0.703248918056488
3,linear,320,0.7042067050933838
3,dw3x3,100,0.702784538269043
3,dw3x3,200,0.7027670741081238
3,dw3x3,300,0.702721357345581
3,dw3x3,400,0.7034940719604492
3,dw3x3,420,0.702854573726654
4,linear,100,0.7060108780860901
4,linear,200,0.7027977705001831
4,linear,300,0.7043821811676025
4,linear,320,0.7034657001495361
4,dw3x3,100,0.7033471465110779
4,dw3x3,200,0.7028920650482178
4,dw3x3,300,0.7032070755958557
4,dw3x3,400,0.7037779688835144
4,dw3x3,420,0.7023758292198181
