policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,best_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count,mean_mse_gain,mean_alpha_mass_fraction,mean_binary_active_fraction,mean_boundary_ratio,mean_component_count,mean_largest_component,mean_selected_count
A0,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPHA_SECANT_CONT,600,0.4128460553799076,0.3391358407870868,0.06037402505994009,0.025324900174011945,-0.00024148151366887305,1.6908196673508868,0.9933333333333333,0,0,2.3239279150099417e-05,0.5047610578437646,0.5047273956570668,1.8565876312452454,912.8366666666667,1063.595,8939.878333333334
ALPHA_SECANT_Q3,600,0.41287911603436905,0.3391716594803498,0.06022598335944167,0.02552791969285977,-0.00024148151366887305,1.6911167420038211,0.9933333333333333,0,0,2.324168145605654e-05,0.5047482162217299,0.5015370730516698,1.8657089523392778,925.4616666666667,1004.53,8876.475
ALPHA_SECANT_Q5,600,0.4128455979929581,0.33889178211175874,0.06066178451847293,0.02552791969285977,-0.00024148151366887305,1.6916497605724174,0.9933333333333333,0,0,2.3240826884223983e-05,0.5047577149669329,0.5031287232165572,1.8612113125460874,919.1816666666666,1036.5083333333334,8907.91
BLOCK2_OPEN_TOP_0.5,600,0.2854623514142031,0.23125211197992002,0.04383885116031436,0.0183282838941075,-0.000916167331801887,1.1863142813244778,0.995,0,0,1.5760930009491857e-05,0.5015676783521971,0.501567680096312,1.196662993431198,386.635,1096.8433333333332,8734.458333333334
BLOCK4_OPEN_TOP_0.5,600,0.1906903980891041,0.1575486536352919,0.029967131909072006,0.012852113722929914,-0.013259468864774249,0.8234574899285079,0.99,0,0,9.947496719178162e-06,0.502842229406039,0.5028422295750432,0.8261679548721141,168.775,1761.17,8738.966666666667
BLOCK8_OPEN_TOP_0.5,600,0.12999663886968457,0.10351480796656887,0.017021975853582918,0.0074208533928199925,-0.017814575611240002,0.6269647277403294,0.9816666666666667,0,0,6.310035011362439e-06,0.5061482122540474,0.5061482125025376,0.6286672365128758,88.585,2646.31,8755.518333333333
CC_MIN16_FROM_OPEN_TOP_0.5,600,0.31078375553542914,0.24096811330817047,0.025554998187448774,0.007609009595132932,0.0,1.3960754527274162,0.98,0,0,1.7829640592026406e-05,0.3114824874109278,0.31148248759622194,1.4405269579322286,91.15666666666667,747.055,6262.41
CC_MIN4_FROM_OPEN_TOP_0.5,600,0.37990767419573956,0.3072821961654775,0.050981448286665905,0.019527775820644067,0.0,1.5738805082292444,0.9916666666666667,0,0,2.1530927615458495e-05,0.4257225956767797,0.42572259557748654,1.610656882739985,305.065,747.175,7811.1483333333335
HARD_D7C_ALPHA1,600,0.012783813961729357,-0.0010759805321356453,-0.12151199691896011,-0.17617702338978383,-0.40053883645291677,0.5147968323806609,0.485,23,0,-7.947499261717894e-07,0.9983333247900009,0.9983333333333333,0.45312384521813914,75.44,15148.495,17466.203333333335
