operator_label,split,label,feature,n,positive_count,negative_count,auc_high_feature_positive,best_oriented_auc,best_orientation
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_mean,600,125,475,0.6071915789473684,0.6071915789473684,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_std,600,125,475,0.4818357894736842,0.5181642105263158,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_min,600,125,475,0.5,0.5,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_p05,600,125,475,0.6438652631578947,0.6438652631578947,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_p10,600,125,475,0.6516378947368421,0.6516378947368421,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_p25,600,125,475,0.6342821052631579,0.6342821052631579,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_p50,600,125,475,0.5916884210526315,0.5916884210526315,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,haze_mean,600,125,475,0.3928084210526316,0.6071915789473684,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,frac_t_lt_0p2,600,125,475,0.39806315789473684,0.6019368421052631,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,frac_t_lt_0p3,600,125,475,0.4127494736842105,0.5872505263157894,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,frac_t_lt_0p4,600,125,475,0.41669052631578946,0.5833094736842106,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,frac_t_lt_0p5,600,125,475,0.42112,0.5788800000000001,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,frac_t_lt_0p6,600,125,475,0.4244547368421053,0.5755452631578948,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,frac_t_lt_0p7,600,125,475,0.4189473684210526,0.5810526315789474,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_grad_mean,600,125,475,0.5956884210526315,0.5956884210526315,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_severe_le_0p2,t_grad_p90,600,125,475,0.4215242105263158,0.5784757894736843,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,t_mean,600,47,553,0.5232195760070794,0.5232195760070794,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,t_std,600,47,553,0.5242199222807895,0.5242199222807895,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,t_min,600,47,553,0.5,0.5,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,t_p05,600,47,553,0.5308568350582894,0.5308568350582894,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,t_p10,600,47,553,0.5428802277711515,0.5428802277711515,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,t_p25,600,47,553,0.5557500673309992,0.5557500673309992,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,t_p50,600,47,553,0.5220268554499634,0.5220268554499634,high_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,haze_mean,600,47,553,0.47678042399292064,0.5232195760070794,low_predicts_positive
D_ref,CONFIRM_AUDIT_ONLY,direct_hard_le_0p5,frac_t_lt_0p2,600,47,553,0.4883998307106306,0.5116001692893695,low_predicts_positive
