operator_label,split,direct_severe_best_auc,direct_severe_feature,direct_severe_orientation,low_alpha_best_auc,low_alpha_feature,low_alpha_orientation,wrong_or_harmful_best_auc,wrong_or_harmful_feature,wrong_or_harmful_orientation,route_confirm_used_for_strategy_selection,privileged_trans_direct_risk_pass,privileged_trans_low_alpha_pass,privileged_trans_supporting_wrong_harmful_pass,privileged_transmission_gate_pass
D_ref,OOF,0.6354025290314506,t_p10,high_predicts_positive,0.6585955596077079,t_p10,high_predicts_positive,0.6890161397425532,t_p05,high_predicts_positive,False,False,True,True,False
D_rep,OOF,0.6309333162513612,t_p10,high_predicts_positive,0.6590128615060821,t_p10,high_predicts_positive,0.6858609131638337,t_p10,high_predicts_positive,False,False,True,True,False
