operator_label,split,n,alpha_star_mean,alpha_star_p10,alpha_star_p50,alpha_star_p90,wrong_direction_count,harmful_overshoot_count,beneficial_but_oversized_count,full_step_conservative_or_ok_count,no_step_or_degenerate_count,mean_relative_excess_mse
D_ref,CONFIRM_AUDIT_ONLY,600,0.9857113551772885,-0.5814662269648009,0.5847200497884703,3.227239993931299,156,129,83,232,0,-0.017321076938784038
D_ref,OOF,1200,0.8387706697090097,-0.7305305147178138,0.525012260633283,2.9163347022202992,323,268,189,419,1,-0.009617359937423343
D_rep,CONFIRM_AUDIT_ONLY,600,0.9829206208366524,-0.7114801117548026,0.6025612933878524,3.2460086084074105,159,122,83,236,0,-0.015025500007093488
D_rep,OOF,1200,0.8568133647804086,-0.7285507820065757,0.5360858169052279,2.9456501876485333,319,267,181,432,1,-0.010369275473973977
