operator_label,split,policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,best_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count,mean_selected_alpha_mean,mean_selected_alpha_p10,mean_selected_alpha_p50,mean_selected_alpha_p90,mean_selected_alpha_zero_fraction,mean_selected_alpha_one_fraction
D_ref,CONFIRM_AUDIT_ONLY,A0,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,DIRECT_CONTEXT_ALPHA1,600,0.1016372482360025,0.014073447717205312,-0.4455134632186457,-0.6337850333422921,-1.4775311451870223,1.4558444689253491,0.525,125,47,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.125,600,0.0331283994809902,0.01927295073249269,-0.023264695777978517,-0.04604967034435497,-0.1617020902297881,0.19538503054685208,0.7116666666666667,0,0,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.25,600,0.06053371847425614,0.03168609299535774,-0.056798219005277414,-0.10073154175306555,-0.3322476933758054,0.3869254549273151,0.6866666666666666,11,0,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.375,600,0.08211540871265416,0.041352461049577016,-0.09506313042408081,-0.1568154953032149,-0.5104089371134037,0.5736819550355818,0.6566666666666666,22,1,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.5,600,0.09780839368479036,0.0468519139813246,-0.1471421834275425,-0.233474889157268,-0.6950137874181408,0.7546303367822631,0.6316666666666667,39,6,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.75,600,0.11144764637773408,0.035207790483847035,-0.27741786756024955,-0.40742331735064,-1.0793212552241869,1.1043885395553303,0.5816666666666667,87,19,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_1,600,0.1016372482360025,0.014073447717205312,-0.4455134632186457,-0.6337850333422921,-1.4775311451870223,1.4558444689253491,0.525,125,47,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,HARD_D7C_ALPHA1,600,0.008634343867902773,0.0019312297462281691,-0.13134300922241735,-0.1759438353143171,-0.3497653327339876,0.6653993149518982,0.5166666666666667,23,0,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,ORACLE_BLOCK16_GRID,600,0.3988165973243689,0.28494342822711616,0.01182982834615629,0.004924639486384308,0.0,1.660439799323413,0.9983333333333333,0,0,0.2606167673611111,0.0017291666666666664,0.155,0.7027708333333332,0.6816318333333333,0.2096968333333333
D_ref,CONFIRM_AUDIT_ONLY,ORACLE_BLOCK32_GRID,600,0.373979593551946,0.2564190744261374,0.009814124123376188,0.0028207302878854533,0.0,1.6187217675245904,0.9983333333333333,0,0,0.3045513611522025,0.0035312500000000005,0.205703125,0.7725520833333335,0.615856936226167,0.23698228139381985
D_ref,CONFIRM_AUDIT_ONLY,ORACLE_IMAGE_GRID,600,0.23608215401455368,0.05700991724494031,0.0,0.0,0.0,1.4558444689253491,0.7366666666666667,0,0,0.54015625,0.54015625,0.54015625,0.54015625,0.2633333333333333,0.38666666666666666
D_ref,CONFIRM_AUDIT_ONLY,ORACLE_PIXEL_SCALAR_CONTINUOUS,600,0.456179838906125,0.35145346311491643,0.02345703130102876,0.011610502630740527,1.6930610229337617e-06,1.7379412437189075,1.0,0,0,0.17476684062550088,0.0,0.06801187659769009,0.5241752753988838,0.7971859626736112,0.14839837152777777
