policy,operator_count,operators,dual_operator_pass,min_mean_lift,min_ci95_low
ORACLE_BLOCK16_GRID,2,"D_ref,D_rep",True,0.35625572947762,0.33838137046643285
ORACLE_BLOCK32_GRID,2,"D_ref,D_rep",True,0.3295519185780974,0.3124775317009522
ORACLE_IMAGE_GRID,2,"D_ref,D_rep",True,0.18084776198748717,0.16543918865369367
ORACLE_PIXEL_SCALAR_CONTINUOUS,2,"D_ref,D_rep",True,0.4188771246726236,0.398082061338943
