low_size,K,fold,valid_count,coeff_mse,coeff_r2,coeff_corr,lowspace_weighted_field_l1
32,4,0,265,0.06325218081474304,0.380305747590751,0.6231287121772766,0.010387720606960983
32,4,1,265,0.06241776794195175,0.34684394002226515,0.6199673414230347,0.010169209218547933
32,4,2,265,0.06246150657534599,0.3936858487524385,0.6406888961791992,0.009828781822934033
32,4,3,265,0.0560605525970459,0.3713254726179771,0.6203630566596985,0.00980568939702125
32,4,4,264,0.06075167655944824,0.41232575074854316,0.6523287892341614,0.009919108374982992
32,4,mean,1324,0.06098873689770699,0.38089735194639496,0.631295359134674,0.010022101884089439
32,8,0,265,0.037780895829200745,0.35466991881237797,0.6051903367042542,0.010261956919140695
32,8,1,265,0.03736948221921921,0.3233464142896738,0.6012879014015198,0.010025637196640836
32,8,2,265,0.03810808062553406,0.3553851506236051,0.6153285503387451,0.009758964886709263
32,8,3,265,0.034282952547073364,0.33592011090271834,0.5966567397117615,0.009719362646416324
32,8,4,264,0.03630592301487923,0.3815613622762214,0.62968909740448,0.009866126016401796
32,8,mean,1324,0.03676946684718132,0.35017659138091933,0.6096305251121521,0.009926409533061783
32,16,0,265,0.02198892831802368,0.32355945726223134,0.5791864395141602,0.010248483033372219
32,16,1,265,0.021795880049467087,0.2932073253253421,0.5750243663787842,0.010005417384489183
32,16,2,265,0.02186240255832672,0.32455357004127616,0.5898882746696472,0.009750126758789977
32,16,3,265,0.02032088302075863,0.3004722298845445,0.5663782358169556,0.009702066259951962
32,16,4,264,0.0209710281342268,0.3509292958059902,0.6054631471633911,0.009827029610888894
32,16,mean,1324,0.021387824416160585,0.31854437566387683,0.5831880927085876,0.009906624609498448
32,32,0,265,0.012148755602538586,0.30302263336424806,0.5615354180335999,0.010240155749044657
32,32,1,265,0.012041855603456497,0.27331236985643115,0.5573115348815918,0.010000923106924355
32,32,2,265,0.012077061459422112,0.3036216315374787,0.5718821883201599,0.009745515910367776
32,32,3,265,0.011365811340510845,0.27626008919996736,0.5448150038719177,0.009712708204481287
32,32,4,264,0.011607224121689796,0.329361931929103,0.5873697400093079,0.009802176977450462
32,32,mean,1324,0.011848141625523567,0.29711573117744566,0.5645827770233154,0.009900295989653708
32,48,0,265,0.0084792859852314,0.2941148377033762,0.5536255240440369,0.010224680271725952
32,48,1,265,0.008412233553826809,0.2639877949588284,0.548947811126709,0.0100015964147057
32,48,2,265,0.008431565947830677,0.29384715931688543,0.5633726119995117,0.009745613306395609
32,48,3,265,0.007984206080436707,0.2660235143676749,0.5353770852088928,0.009711188925051548
32,48,4,264,0.008114328607916832,0.3194967019854008,0.5789328217506409,0.009796922931192427
32,48,mean,1324,0.008284324035048484,0.28749400166643313,0.5560511708259582,0.009896000369814247
48,4,0,265,0.1416827291250229,0.381218770660523,0.6236684322357178,0.010378880046398996
48,4,1,265,0.13981282711029053,0.34744798462141924,0.6196779608726501,0.01017101394533886
48,4,2,265,0.1401302069425583,0.3935518241239613,0.6413739323616028,0.009832709749928795
48,4,3,265,0.12526530027389526,0.3729872486058302,0.6244434118270874,0.00979442736479713
48,4,4,264,0.13625161349773407,0.412691796907818,0.652806282043457,0.009924684490249493
48,4,mean,1324,0.13662853538990022,0.38157952498391035,0.6323940038681031,0.010020343119342655
48,8,0,265,0.08458000421524048,0.3558033017295612,0.6050493717193604,0.01024981776638624
48,8,1,265,0.0835408866405487,0.3246892442631517,0.6009514927864075,0.010023420786777718
48,8,2,265,0.08542024344205856,0.35567438065018664,0.6143445372581482,0.009760999496688062
48,8,3,265,0.07647727429866791,0.33816799804350695,0.5976719856262207,0.009704388085480738
48,8,4,264,0.08139961957931519,0.3820219647399845,0.629970133304596,0.009868804619284547
48,8,mean,1324,0.08228360563516617,0.3512713778852782,0.6095975041389465,0.009921486150923461
48,16,0,265,0.049173735082149506,0.32499471756189247,0.5802285075187683,0.010236892269710834
48,16,1,265,0.04868200048804283,0.29482383081265284,0.5761338472366333,0.010002294926597117
48,16,2,265,0.04898039251565933,0.32519060384015097,0.5901109576225281,0.009752058446477382
48,16,3,265,0.04528861492872238,0.302860497666543,0.567910373210907,0.009686262739371227
48,16,4,264,0.046993646770715714,0.3515525252405829,0.6057044267654419,0.009829208685999256
48,16,mean,1324,0.047823677957057956,0.3198844350243644,0.5840176224708558,0.009901343413631164
48,32,0,265,0.027144327759742737,0.30459023887680803,0.5629096627235413,0.010227902271964004
48,32,1,265,0.02687796950340271,0.27498396222319765,0.5588660836219788,0.009998614692190273
48,32,2,265,0.027028772979974747,0.30456366731266227,0.5726547837257385,0.009746717826077592
48,32,3,265,0.02532823197543621,0.2786378521960977,0.5466424822807312,0.009694358295623165
48,32,4,264,0.025980081409215927,0.33032947159118575,0.5880753993988037,0.009803934199185743
48,32,mean,1324,0.026471876725554466,0.29862103843999027,0.5658296823501587,0.009894305457008156
48,48,0,265,0.018939904868602753,0.29590400409483264,0.5552671551704407,0.010209911490470151
48,48,1,265,0.01876133680343628,0.2659651452785333,0.5509457588195801,0.009999400818289575
48,48,2,265,0.0188643429428339,0.2949618647109016,0.5644417405128479,0.009746189832777705
48,48,3,265,0.017783088609576225,0.26851427049583265,0.5374568104743958,0.009692863441595497
48,48,4,264,0.018155042082071304,0.3206931096193687,0.5799656510353088,0.009794686129350723
48,48,mean,1324,0.018500743061304094,0.2892076788398938,0.5576154232025147,0.00988861034249673
