low_size,K,index,name,anchor_psnr,router_output_psnr,oracle_psnr,router_output_gain,oracle_gain,coeff_mse,coeff_mae,lowspace_weighted_field_l1,lowspace_field_corr,full_field_corr,P_benefit,proxy_score,M_safe_mean,target_abs_mean,pred_abs_mean
32,4,0,1000_0.74_1.6.png,36.89458465576172,38.213836669921875,38.789039611816406,1.3192520141601562,1.8944549560546875,9.769724959585169e-12,2.71631870418787e-06,0.005075120226833921,0.6558059453964233,0.6665010452270508,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.010337444953620434
32,8,0,1000_0.74_1.6.png,36.89458465576172,38.33417892456055,38.789039611816406,1.4395942687988281,1.8944549560546875,6.3768712532663585e-12,1.8997816368937492e-06,0.004397139776215649,0.7507772445678711,0.7593821287155151,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.010524150915443897
32,16,0,1000_0.74_1.6.png,36.89458465576172,38.43653869628906,38.789039611816406,1.5419540405273438,1.8944549560546875,2.6651489175300025e-12,1.0781805031001568e-06,0.003896178949573579,0.8289690613746643,0.833493709564209,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.01069908682256937
32,32,0,1000_0.74_1.6.png,36.89458465576172,38.491981506347656,38.789039611816406,1.5973968505859375,1.8944549560546875,1.6102445982504876e-12,7.709895726293325e-07,0.003559850097885557,0.8664873838424683,0.8670322895050049,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.010664451867341995
32,48,0,1000_0.74_1.6.png,36.89458465576172,38.530582427978516,38.789039611816406,1.6359977722167969,1.8944549560546875,1.3325975522712752e-12,6.394643605744932e-07,0.0032445671824712437,0.8917277455329895,0.8897601366043091,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.010734702460467815
48,4,0,1000_0.74_1.6.png,36.89458465576172,38.221431732177734,38.789039611816406,1.3268470764160156,1.8944549560546875,3.0026328645682554e-11,4.921370418742299e-06,0.005082359714318298,0.649002730846405,0.666205644607544,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.01044041570276022
48,8,0,1000_0.74_1.6.png,36.89458465576172,38.341285705566406,38.789039611816406,1.4467010498046875,1.8944549560546875,1.8342936544679667e-11,2.961896825581789e-06,0.0044531071806097325,0.7453078031539917,0.75923752784729,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.01060102041810751
48,16,0,1000_0.74_1.6.png,36.89458465576172,38.44446563720703,38.789039611816406,1.5498809814453125,1.8944549560546875,5.813073113147826e-12,1.6935518942773342e-06,0.003945409495206025,0.8246144652366638,0.8333656787872314,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.010780123062431812
48,32,0,1000_0.74_1.6.png,36.89458465576172,38.50020980834961,38.789039611816406,1.6056251525878906,1.8944549560546875,2.7789335502875767e-12,1.1216325219720602e-06,0.003591997708418681,0.8615317344665527,0.8662999272346497,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.010724697262048721
48,48,0,1000_0.74_1.6.png,36.89458465576172,38.54969787597656,38.789039611816406,1.6551132202148438,1.8944549560546875,1.7427098175995526e-12,8.145822789629165e-07,0.003185126784485022,0.8928910493850708,0.895448625087738,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.01078986655920744
32,4,1,1001_0.89_1.66.png,35.02743911743164,35.92333221435547,36.463478088378906,0.8958930969238281,1.4360389709472656,1.2332937449066605e-10,1.0515563189983368e-05,0.008802461490801829,0.5111838579177856,0.4899207651615143,1.0,0.9999926090240479,0.15698379278182983,0.013404681347310543,0.01293928362429142
32,8,1,1001_0.89_1.66.png,35.02743911743164,36.032108306884766,36.463478088378906,1.004669189453125,1.4360389709472656,8.718791660866643e-11,6.991795089561492e-06,0.007140762646479912,0.6841031908988953,0.6661432981491089,1.0,0.9999926090240479,0.15698379278182983,0.013404681347310543,0.013036335818469524
32,16,1,1001_0.89_1.66.png,35.02743911743164,36.10154724121094,36.463478088378906,1.0741081237792969,1.4360389709472656,6.653701895009689e-11,6.397400284186006e-06,0.00638874260137234,0.7551485300064087,0.7391895055770874,1.0,0.9999926090240479,0.15698379278182983,0.013404681347310543,0.013166015967726707
