low_size,K,active_count,explained_weighted_energy,count,open_count,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,pred_target_corr,mean_output_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_output_gain,hard_bottom25_oracle_gain,easy_top25_output_gain,strong_reference_cut_psnr,strong_reference_regressions,severe_regressions,gate0_pass
32,4,1324,0.6441887676827291,3000,1324,0.012677593419074616,0.0069558282066246495,0.45132897256675225,0.5959023939775517,0.25436134211222333,0.4528998940785726,0.5616281775241367,0.7295021667480469,1.1043733698527018,0.0042098897298177085,42.7606725692749,0,0,False
32,8,1324,0.737797053566207,3000,1324,0.012677593419074616,0.005963031873092773,0.5296400763159956,0.7042031082496317,0.29621716499328615,0.4528998940785726,0.6540455603239688,0.8310710220336914,1.1043733698527018,0.005231638590494791,42.7606725692749,0,0,False
32,16,1324,0.81398143032555,3000,1324,0.012677593419074616,0.005031697144988721,0.6031031301715304,0.7882405572607438,0.3326207167307536,0.4528998940785726,0.7344243641466782,0.9041017837524414,1.1043733698527018,0.006623774210611979,42.7606725692749,0,0,True
32,32,1324,0.8726248175652811,3000,1324,0.012677593419074616,0.004206579990226892,0.6681878136352203,0.8473985535050447,0.3621357479095459,0.4528998940785726,0.7995933596900329,0.9593847376505534,1.1043733698527018,0.008011642456054688,42.7606725692749,0,0,True
32,48,1324,0.9023676153991887,3000,1324,0.012677593419074616,0.0037217733666100455,0.7064290324210672,0.87579450542473,0.37693624369303386,0.4528998940785726,0.8322727574487797,0.986569844563802,1.1043733698527018,0.008678797403971355,42.7606725692749,0,0,True
48,4,1324,0.6433267968173929,3000,1324,0.012677593419074616,0.006952380340288613,0.45160093793289574,0.5957595672772485,0.2546794312795003,0.4528998940785726,0.5623305163222594,0.7303779627482097,1.1043733698527018,0.004212504069010417,42.7606725692749,0,0,False
48,8,1324,0.736738626509005,3000,1324,0.012677593419074616,0.0059559916319224925,0.5301954057809466,0.7048262787611418,0.2967171770731608,0.4528998940785726,0.6551495837216601,0.832631586710612,1.1043733698527018,0.005215586344401042,42.7606725692749,0,0,False
48,16,1324,0.8126384517275753,3000,1324,0.012677593419074616,0.005021773822548977,0.6038858751383167,0.7891296258595775,0.3333976535797119,0.4528998940785726,0.7361398356208745,0.90633607228597,1.1043733698527018,0.006597056070963542,42.7606725692749,0,0,True
48,32,1324,0.8709889832752234,3000,1324,0.012677593419074616,0.004188627659152498,0.6696038813762305,0.8486719288134503,0.3635418821970622,0.4528998940785726,0.8026980949878344,0.9628973210652669,1.1043733698527018,0.007935816446940105,42.7606725692749,0,0,True
48,48,1324,0.9007055137012874,3000,1324,0.012677593419074616,0.003693543858556382,0.708655756935768,0.8775858827317949,0.3789048633575439,0.4528998940785726,0.8366194567751623,0.9914772669474284,1.1043733698527018,0.008663304646809896,42.7606725692749,0,0,True
